"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"Nw3qJzIBJhkxMzYy";"Канал";"https://t.me/Nw3qJzIBJhkxMzYy"
"2";"N/A";"tellstroy";"Канал";"https://t.me/tellstroy"
"3";"N/A";"dC59Q3q8nMYyY2U6";"Канал";"https://t.me/dC59Q3q8nMYyY2U6"
"4";"N/A";"PTl_vNGejYs2ZGEy";"Канал";"https://t.me/PTl_vNGejYs2ZGEy"
"5";"N/A";"jPeDlcSL-HQ5Yzgy";"Канал";"https://t.me/jPeDlcSL-HQ5Yzgy"
"6";"N/A";"ru2ch_ban";"Канал";"https://t.me/ru2ch_ban"
"7";"N/A";"ubib-YL6mwkzYThi";"Канал";"https://t.me/ubib-YL6mwkzYThi"
"8";"N/A";"7CqC7lbty44zYjRi";"Канал";"https://t.me/7CqC7lbty44zYjRi"
"9";"N/A";"aKZv_qDq-Bc3MDA6";"Канал";"https://t.me/aKZv_qDq-Bc3MDA6"
"10";"N/A";"sNup8vhUCws5Y2E6";"Канал";"https://t.me/sNup8vhUCws5Y2E6"
"11";"N/A";"EqVHUADvNwA4Mzhi";"Канал";"https://t.me/EqVHUADvNwA4Mzhi"
"12";"N/A";"qV1Gis6Uk54wZDcy";"Канал";"https://t.me/qV1Gis6Uk54wZDcy"
"13";"N/A";"fgaWzwmz1Ro2Mzcy";"Канал";"https://t.me/fgaWzwmz1Ro2Mzcy"
"14";"N/A";"N4gc5gSklC83ZTUy";"Канал";"https://t.me/N4gc5gSklC83ZTUy"
"15";"N/A";"Naked_tiktok2";"Канал";"https://t.me/Naked_tiktok2"
"16";"N/A";"MPrziO4MaYQzZWVi";"Канал";"https://t.me/MPrziO4MaYQzZWVi"
"17";"N/A";"random_porn";"Канал";"https://t.me/random_porn"
"18";"N/A";"YW62mvKuGWkxMjJi";"Канал";"https://t.me/YW62mvKuGWkxMjJi"
"19";"N/A";"ZefXjigYDI4xYzcy";"Канал";"https://t.me/ZefXjigYDI4xYzcy"
"20";"N/A";"HGZQ2dVcEUg4Njc6";"Канал";"https://t.me/HGZQ2dVcEUg4Njc6"
"21";"N/A";"minguoshaonv";"Канал";"https://t.me/minguoshaonv"
"22";"N/A";"mNw_Tme30TJkYTNh";"Канал";"https://t.me/mNw_Tme30TJkYTNh"
"23";"N/A";"AAAAAEagKG2l4Qu5-N3gow";"Канал";"https://t.me/AAAAAEagKG2l4Qu5-N3gow"
"24";"N/A";"_zR8LlCHJO01NTIy";"Канал";"https://t.me/_zR8LlCHJO01NTIy"
"25";"N/A";"_WTayOl9xccwMDRi";"Канал";"https://t.me/_WTayOl9xccwMDRi"
"26";"N/A";"kUQmB8pG4UYwYWM6";"Канал";"https://t.me/kUQmB8pG4UYwYWM6"
"27";"N/A";"3yT9VjAaHf9kYWVi";"Канал";"https://t.me/3yT9VjAaHf9kYWVi"
"28";"N/A";"928NYvfClUFiNWVi";"Канал";"https://t.me/928NYvfClUFiNWVi"
"29";"N/A";"sraQHmbzcXA2MWQy";"Канал";"https://t.me/sraQHmbzcXA2MWQy"
