"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"pokraslampas";"Канал";"https://t.me/pokraslampas"
"2";"N/A";"7TPwz8Z0IRIxNDUy";"Канал";"https://t.me/7TPwz8Z0IRIxNDUy"
"3";"N/A";"artgallery";"Канал";"https://t.me/artgallery"
"4";"N/A";"kartiny_arteriart";"Канал";"https://t.me/kartiny_arteriart"
"5";"N/A";"FactsUniverses";"Канал";"https://t.me/FactsUniverses"
"6";"N/A";"nW3z1jIUEJ04MmRi";"Канал";"https://t.me/nW3z1jIUEJ04MmRi"
"7";"N/A";"O0UtKpitrIw4YTFi";"Канал";"https://t.me/O0UtKpitrIw4YTFi"
"8";"N/A";"kartiny_muzei_zhivopis";"Канал";"https://t.me/kartiny_muzei_zhivopis"
"9";"N/A";"i_am_artis";"Канал";"https://t.me/i_am_artis"
"10";"N/A";"2KFVEXImjjFmMTBi";"Канал";"https://t.me/2KFVEXImjjFmMTBi"
"11";"N/A";"oldradioteatr";"Канал";"https://t.me/oldradioteatr"
"12";"N/A";"darkmgimo";"Канал";"https://t.me/darkmgimo"
"13";"N/A";"6LVItMif4vphMWM6";"Канал";"https://t.me/6LVItMif4vphMWM6"
"14";"N/A";"msimonyan_literature";"Канал";"https://t.me/msimonyan_literature"
"15";"N/A";"RELuVTL7YA1kNDQy";"Канал";"https://t.me/RELuVTL7YA1kNDQy"
"16";"N/A";"maneormone1";"Канал";"https://t.me/maneormone1"
"17";"N/A";"HQSYj7zHNo84YzYy";"Канал";"https://t.me/HQSYj7zHNo84YzYy"
"18";"N/A";"kartiny_zhivopis_galereya";"Канал";"https://t.me/kartiny_zhivopis_galereya"
"19";"N/A";"desastresguerra";"Канал";"https://t.me/desastresguerra"
"20";"N/A";"statemuseum";"Канал";"https://t.me/statemuseum"
"21";"N/A";"ex_arte";"Канал";"https://t.me/ex_arte"
"22";"N/A";"leepotaa";"Канал";"https://t.me/leepotaa"
"23";"N/A";"sixtyfourmag";"Канал";"https://t.me/sixtyfourmag"
"24";"N/A";"teatr_msk";"Канал";"https://t.me/teatr_msk"
"25";"N/A";"schelkovo8";"Канал";"https://t.me/schelkovo8"
"26";"N/A";"aidolpolypoker";"Канал";"https://t.me/aidolpolypoker"
"27";"N/A";"people_theatre";"Канал";"https://t.me/people_theatre"
"28";"N/A";"teatrspb";"Канал";"https://t.me/teatrspb"
"29";"N/A";"simpleartist";"Канал";"https://t.me/simpleartist"
"30";"N/A";"kartiny_tg";"Канал";"https://t.me/kartiny_tg"
"31";"N/A";"bestiariy_mif";"Канал";"https://t.me/bestiariy_mif"
"32";"N/A";"sv_bezrukov";"Канал";"https://t.me/sv_bezrukov"
"33";"N/A";"muzei_tg";"Канал";"https://t.me/muzei_tg"
