"№";"Название";"Username";"Тип";"Подписчики";"ER %";"Ср. охват";"Цена поста";"CPM";"Категория";"Ссылка Telegram";"Ссылка TGStat";"Описание"
"1";"968 617";"ikniga";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ikniga";"https://tgstat.ru/channel/@ikniga";""
"2";"750 631";"from_CEO";"Канал";"N/A";"7 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/from_CEO";"https://tgstat.ru/channel/@from_CEO";""
"3";"635 560";"mosbusy";"Канал";"N/A";"54 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/mosbusy";"https://tgstat.ru/channel/@mosbusy";""
"4";"590 756";"RUmerger";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/RUmerger";"https://tgstat.ru/channel/@RUmerger";""
"5";"549 652";"Hour_25";"Канал";"N/A";"53 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Hour_25";"https://tgstat.ru/channel/@Hour_25";""
"6";"498 264";"IymTXnWq13cwNmNi";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/IymTXnWq13cwNmNi";"https://tgstat.ru/channel/IymTXnWq13cwNmNi";""
"7";"475 083";"sellerx";"Канал";"N/A";"7 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/sellerx";"https://tgstat.ru/channel/@sellerx";""
"8";"431 872";"SharksBz";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/SharksBz";"https://tgstat.ru/channel/@SharksBz";""
"9";"414 598";"kommerc";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kommerc";"https://tgstat.ru/channel/@kommerc";""
"10";"322 974";"Business_DNA_Russia";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Business_DNA_Russia";"https://tgstat.ru/channel/@Business_DNA_Russia";""
"11";"309 372";"retailrus";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/retailrus";"https://tgstat.ru/channel/@retailrus";""
"12";"297 314";"sberbusiness";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/sberbusiness";"https://tgstat.ru/channel/@sberbusiness";""
"13";"279 614";"commerc";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/commerc";"https://tgstat.ru/channel/@commerc";""
"14";"278 963";"IrtnfZwa87BmMTgy";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/IrtnfZwa87BmMTgy";"https://tgstat.ru/channel/IrtnfZwa87BmMTgy";""
"15";"232 711";"bussideas";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/bussideas";"https://tgstat.ru/channel/@bussideas";""
"16";"202 923";"wbsellerofficial";"Канал";"N/A";"56 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/wbsellerofficial";"https://tgstat.ru/channel/@wbsellerofficial";""
"17";"200 740";"gain_business";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/gain_business";"https://tgstat.ru/channel/@gain_business";""
"18";"190 086";"b_retail";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/b_retail";"https://tgstat.ru/channel/@b_retail";""
"19";"185 525";"podkasty24";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/podkasty24";"https://tgstat.ru/channel/@podkasty24";""
"20";"172 811";"Business_University";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Business_University";"https://tgstat.ru/channel/@Business_University";""
"21";"172 238";"misli_bogatich";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/misli_bogatich";"https://tgstat.ru/channel/@misli_bogatich";""
"22";"171 706";"Busspod";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Busspod";"https://tgstat.ru/channel/@Busspod";""
"23";"170 821";"rybakovigor";"Канал";"N/A";"7 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/rybakovigor";"https://tgstat.ru/channel/@rybakovigor";""
"24";"170 105";"dengivezde";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/dengivezde";"https://tgstat.ru/channel/@dengivezde";""
"25";"168 312";"business_podcast";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/business_podcast";"https://tgstat.ru/channel/@business_podcast";""
"26";"163 715";"svoygectar";"Канал";"N/A";"11 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/svoygectar";"https://tgstat.ru/channel/@svoygectar";""
"27";"160 974";"yandexfintech";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/yandexfintech";"https://tgstat.ru/channel/@yandexfintech";""
"28";"160 833";"BusinesProjects";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/BusinesProjects";"https://tgstat.ru/channel/@BusinesProjects";""
"29";"158 884";"BusinesAdvisor";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/BusinesAdvisor";"https://tgstat.ru/channel/@BusinesAdvisor";""
"30";"156 842";"tochkabis";"Канал";"N/A";"6 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/tochkabis";"https://tgstat.ru/channel/@tochkabis";""
