"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"AAAAAEfAkeKlY2M0_yzGyg";"Канал";"https://t.me/AAAAAEfAkeKlY2M0_yzGyg"
"2";"N/A";"hmoffice";"Канал";"https://t.me/hmoffice"
"3";"N/A";"Ae-GkYZFx7lkZmVk";"Канал";"https://t.me/Ae-GkYZFx7lkZmVk"
"4";"N/A";"theyseeku";"Канал";"https://t.me/theyseeku"
"5";"N/A";"wod5Ku89auY5YThi";"Канал";"https://t.me/wod5Ku89auY5YThi"
"6";"N/A";"freetasks";"Канал";"https://t.me/freetasks"
"7";"N/A";"AAAAAD9kXW8Nm0bPQeBZ-Q";"Канал";"https://t.me/AAAAAD9kXW8Nm0bPQeBZ-Q"
"8";"N/A";"ieNuyrS47XUwMzI6";"Канал";"https://t.me/ieNuyrS47XUwMzI6"
"9";"N/A";"VvZ8sFenXwJkMjBi";"Канал";"https://t.me/VvZ8sFenXwJkMjBi"
"10";"N/A";"-6et0qaw6aIzNGM6";"Канал";"https://t.me/-6et0qaw6aIzNGM6"
"11";"N/A";"QzaWuZoaqJfECMRI";"Канал";"https://t.me/QzaWuZoaqJfECMRI"
"12";"N/A";"IIM0ozXSir5lYWYy";"Канал";"https://t.me/IIM0ozXSir5lYWYy"
"13";"N/A";"soJGEr8YrlhjM2Ri";"Канал";"https://t.me/soJGEr8YrlhjM2Ri"
"14";"N/A";"474AcerQfbVlZTc6";"Канал";"https://t.me/474AcerQfbVlZTc6"
"15";"N/A";"vacanciesbest";"Канал";"https://t.me/vacanciesbest"
"16";"N/A";"m_marketd";"Канал";"https://t.me/m_marketd"
"17";"N/A";"profenture";"Канал";"https://t.me/profenture"
"18";"N/A";"horseatwork";"Канал";"https://t.me/horseatwork"
"19";"N/A";"south_work";"Канал";"https://t.me/south_work"
"20";"N/A";"careersber";"Канал";"https://t.me/careersber"
"21";"N/A";"N9wkjzlx3LQ5MmQy";"Канал";"https://t.me/N9wkjzlx3LQ5MmQy"
"22";"N/A";"AAAAAEasrUFoi-WGkUyDLw";"Канал";"https://t.me/AAAAAEasrUFoi-WGkUyDLw"
"23";"N/A";"careerspace";"Канал";"https://t.me/careerspace"
"24";"N/A";"zapwork";"Канал";"https://t.me/zapwork"
"25";"N/A";"g5_2qSiLu2EwNDQy";"Канал";"https://t.me/g5_2qSiLu2EwNDQy"
"26";"N/A";"musofir_ishonch";"Канал";"https://t.me/musofir_ishonch"
"27";"N/A";"AAAAAE8g8CBKqLgx08d3eQ";"Канал";"https://t.me/AAAAAE8g8CBKqLgx08d3eQ"
"28";"N/A";"YWm4Nqfyvo9hNzEy";"Канал";"https://t.me/YWm4Nqfyvo9hNzEy"
"29";"N/A";"evacuatejobs";"Канал";"https://t.me/evacuatejobs"
"30";"N/A";"normrabota";"Канал";"https://t.me/normrabota"
"31";"N/A";"0g41U4jhqzc1ZDUy";"Канал";"https://t.me/0g41U4jhqzc1ZDUy"
"32";"N/A";"flqvLX_caldiOGZi";"Канал";"https://t.me/flqvLX_caldiOGZi"
"33";"N/A";"budujobs";"Канал";"https://t.me/budujobs"
"34";"N/A";"hh_ru_official";"Канал";"https://t.me/hh_ru_official"
"35";"N/A";"nVSOWg_0xK43NTZi";"Канал";"https://t.me/nVSOWg_0xK43NTZi"
"36";"N/A";"AAAAAFN9xkVUVQdB9tegOA";"Канал";"https://t.me/AAAAAFN9xkVUVQdB9tegOA"
"37";"N/A";"Moskva_rabota_ishlar";"Канал";"https://t.me/Moskva_rabota_ishlar"
"38";"N/A";"theblueprintcareer";"Канал";"https://t.me/theblueprintcareer"
"39";"N/A";"PzmlrMK7FKA1Nzdi";"Канал";"https://t.me/PzmlrMK7FKA1Nzdi"
"40";"N/A";"WJPBvw4hY577Onev";"Канал";"https://t.me/WJPBvw4hY577Onev"
"41";"N/A";"work_finde";"Канал";"https://t.me/work_finde"
"42";"N/A";"moskva_rabotayu";"Канал";"https://t.me/moskva_rabotayu"
"43";"N/A";"Young_and_Yandex";"Канал";"https://t.me/Young_and_Yandex"
"44";"N/A";"IVCBufQ5iqtlZGY5";"Канал";"https://t.me/IVCBufQ5iqtlZGY5"
"45";"N/A";"qTOu4C-E3hUyNjcy";"Канал";"https://t.me/qTOu4C-E3hUyNjcy"
"46";"N/A";"he_5CRst-rhiM2Ri";"Канал";"https://t.me/he_5CRst-rhiM2Ri"
"47";"N/A";"stagirovky";"Канал";"https://t.me/stagirovky"
"48";"N/A";"huggabletalents";"Канал";"https://t.me/huggabletalents"
"49";"N/A";"w_SgWunYGXtkZDQy";"Канал";"https://t.me/w_SgWunYGXtkZDQy"
"50";"N/A";"kczJResovbU1MjFi";"Канал";"https://t.me/kczJResovbU1MjFi"
"51";"N/A";"AAAAAFButrH4A5_Tg5ch6w";"Канал";"https://t.me/AAAAAFButrH4A5_Tg5ch6w"
"52";"N/A";"y6J6YkP11Ic5YmVk";"Канал";"https://t.me/y6J6YkP11Ic5YmVk"
"53";"N/A";"SKfHhiNdmsiTvKgP";"Канал";"https://t.me/SKfHhiNdmsiTvKgP"
"54";"N/A";"dnative_job";"Канал";"https://t.me/dnative_job"
"55";"N/A";"nonGZeemDqMxZDYy";"Канал";"https://t.me/nonGZeemDqMxZDYy"
"56";"N/A";"worklis";"Канал";"https://t.me/worklis"
"57";"N/A";"6pITs1TTKPgxYjk6";"Канал";"https://t.me/6pITs1TTKPgxYjk6"
"58";"N/A";"workk_on";"Канал";"https://t.me/workk_on"
"59";"N/A";"xI2HnIJEryoyNGU6";"Канал";"https://t.me/xI2HnIJEryoyNGU6"
"60";"N/A";"dddwork";"Канал";"https://t.me/dddwork"
"61";"N/A";"AAAAAE0-dwHpA7GDEPuRnw";"Канал";"https://t.me/AAAAAE0-dwHpA7GDEPuRnw"
"62";"N/A";"Artem_Semenov";"Канал";"https://t.me/Artem_Semenov"
"63";"N/A";"rabota_onllinne";"Канал";"https://t.me/rabota_onllinne"
"64";"N/A";"zarubezhom_jobs";"Канал";"https://t.me/zarubezhom_jobs"
"65";"N/A";"samozanyatiye";"Канал";"https://t.me/samozanyatiye"
"66";"N/A";"rabotaa";"Канал";"https://t.me/rabotaa"
"67";"N/A";"bezaspera";"Канал";"https://t.me/bezaspera"
"68";"N/A";"rueventjob";"Канал";"https://t.me/rueventjob"
"69";"N/A";"jobi_jobs";"Канал";"https://t.me/jobi_jobs"
"70";"N/A";"AAAAAFjYLbsTElwWWsjl-w";"Канал";"https://t.me/AAAAAFjYLbsTElwWWsjl-w"
"71";"N/A";"jobforjunior";"Канал";"https://t.me/jobforjunior"
"72";"N/A";"xWr-v2ADdptjNTQy";"Канал";"https://t.me/xWr-v2ADdptjNTQy"
"73";"N/A";"naudalenkebro";"Канал";"https://t.me/naudalenkebro"
"74";"N/A";"8BuoWJ3T5qk5ZDQy";"Канал";"https://t.me/8BuoWJ3T5qk5ZDQy"
"75";"N/A";"Oa9BSazuXlMwYThi";"Канал";"https://t.me/Oa9BSazuXlMwYThi"
"76";"N/A";"it_vakansii_jobs";"Канал";"https://t.me/it_vakansii_jobs"
"77";"N/A";"profroom";"Канал";"https://t.me/profroom"
"78";"N/A";"castings";"Канал";"https://t.me/castings"
"79";"N/A";"workoo";"Канал";"https://t.me/workoo"
"80";"N/A";"mRESg60A-IhmNjVi";"Канал";"https://t.me/mRESg60A-IhmNjVi"
"81";"N/A";"YV20AqWnr2s3MDZk";"Канал";"https://t.me/YV20AqWnr2s3MDZk"
"82";"N/A";"dLd49IbAbDpiNzEy";"Канал";"https://t.me/dLd49IbAbDpiNzEy"
"83";"N/A";"poisk_ekat";"Канал";"https://t.me/poisk_ekat"
"84";"N/A";"zdemcv";"Канал";"https://t.me/zdemcv"
"85";"N/A";"AAAAAEBjWc_0k9qW9urKtg";"Канал";"https://t.me/AAAAAEBjWc_0k9qW9urKtg"
"86";"N/A";"morejobs";"Канал";"https://t.me/morejobs"
"87";"N/A";"rabotav_tomsk";"Канал";"https://t.me/rabotav_tomsk"
"88";"N/A";"jobifys";"Канал";"https://t.me/jobifys"
"89";"N/A";"workinart";"Канал";"https://t.me/workinart"
"90";"N/A";"young_june";"Канал";"https://t.me/young_june"
"91";"N/A";"stranavozmojnostey";"Канал";"https://t.me/stranavozmojnostey"
"92";"N/A";"ldDmmXQ5R1ViODY0";"Канал";"https://t.me/ldDmmXQ5R1ViODY0"
"93";"N/A";"kQc4F7ujB-05N2Yy";"Канал";"https://t.me/kQc4F7ujB-05N2Yy"
"94";"N/A";"Yo6CYkTd2VU3OTJi";"Канал";"https://t.me/Yo6CYkTd2VU3OTJi"
"95";"N/A";"juniors_rabota_jobs";"Канал";"https://t.me/juniors_rabota_jobs"
"96";"N/A";"edujobs";"Канал";"https://t.me/edujobs"
"97";"N/A";"workasap";"Канал";"https://t.me/workasap"
"98";"N/A";"sellerman";"Канал";"https://t.me/sellerman"
"99";"N/A";"9RBS5a2m2s5mOWUy";"Канал";"https://t.me/9RBS5a2m2s5mOWUy"
"100";"N/A";"noexperience";"Канал";"https://t.me/noexperience"
"101";"N/A";"distantsiya";"Канал";"https://t.me/distantsiya"
"102";"N/A";"forproducts";"Канал";"https://t.me/forproducts"
"103";"N/A";"ovO5M_GKf-k4N2E6";"Канал";"https://t.me/ovO5M_GKf-k4N2E6"
"104";"N/A";"WADmNJTW0flmZTEy";"Канал";"https://t.me/WADmNJTW0flmZTEy"
"105";"N/A";"vakansii_novosibirskxz";"Канал";"https://t.me/vakansii_novosibirskxz"
