"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"free_edu";"Канал";"https://t.me/free_edu"
"2";"N/A";"moe_obrazovanie";"Канал";"https://t.me/moe_obrazovanie"
"3";"N/A";"p0DS7Q_P8nBiNDhi";"Канал";"https://t.me/p0DS7Q_P8nBiNDhi"
"4";"N/A";"sharewood";"Канал";"https://t.me/sharewood"
"5";"N/A";"sharewood_ws";"Канал";"https://t.me/sharewood_ws"
"6";"N/A";"lektorium20";"Канал";"https://t.me/lektorium20"
"7";"N/A";"iAmbitious";"Канал";"https://t.me/iAmbitious"
"8";"N/A";"eruditurl24";"Канал";"https://t.me/eruditurl24"
"9";"N/A";"lektoritv";"Канал";"https://t.me/lektoritv"
"10";"N/A";"profi_kursi_gaidi";"Канал";"https://t.me/profi_kursi_gaidi"
"11";"N/A";"skillget";"Канал";"https://t.me/skillget"
"12";"N/A";"sliwbl";"Канал";"https://t.me/sliwbl"
"13";"N/A";"sliv_freedom";"Канал";"https://t.me/sliv_freedom"
"14";"N/A";"sharewood_biz";"Канал";"https://t.me/sharewood_biz"
"15";"N/A";"LH6v1PpFGYs0YmNi";"Канал";"https://t.me/LH6v1PpFGYs0YmNi"
"16";"N/A";"Kultura_obuchenie";"Канал";"https://t.me/Kultura_obuchenie"
"17";"N/A";"archivator_it";"Канал";"https://t.me/archivator_it"
"18";"N/A";"motionchek";"Канал";"https://t.me/motionchek"
"19";"N/A";"cgspeaks";"Канал";"https://t.me/cgspeaks"
"20";"N/A";"slivaker_it";"Канал";"https://t.me/slivaker_it"
"21";"N/A";"puzzlebrainru";"Канал";"https://t.me/puzzlebrainru"
"22";"N/A";"course_archive";"Канал";"https://t.me/course_archive"
"23";"N/A";"books_and_trainings";"Канал";"https://t.me/books_and_trainings"
"24";"N/A";"qt9O4hpPEj84NmE6";"Канал";"https://t.me/qt9O4hpPEj84NmE6"
"25";"N/A";"stradarium1";"Канал";"https://t.me/stradarium1"
"26";"N/A";"TYHAQVJrBa0zMTIy";"Канал";"https://t.me/TYHAQVJrBa0zMTIy"
"27";"N/A";"intensiv_Mamiev";"Канал";"https://t.me/intensiv_Mamiev"
"28";"N/A";"nikaevareels";"Канал";"https://t.me/nikaevareels"
"29";"N/A";"MIFcourses";"Канал";"https://t.me/MIFcourses"
"30";"N/A";"stepik_courses";"Канал";"https://t.me/stepik_courses"
"31";"N/A";"netology_ru";"Канал";"https://t.me/netology_ru"
"32";"N/A";"cheklistbllogger";"Канал";"https://t.me/cheklistbllogger"
"33";"N/A";"WmAYkJJx-BcyNmQ6";"Канал";"https://t.me/WmAYkJJx-BcyNmQ6"
"34";"N/A";"AAAAAFMmHrnPInSGjVjL2Q";"Канал";"https://t.me/AAAAAFMmHrnPInSGjVjL2Q"
"35";"N/A";"VNXa9MBIZd45ZjEy";"Канал";"https://t.me/VNXa9MBIZd45ZjEy"
"36";"N/A";"sliv_ot_blogerov_2_rezerv";"Канал";"https://t.me/sliv_ot_blogerov_2_rezerv"
"37";"N/A";"mGkW0-6dA7JkN2I6";"Канал";"https://t.me/mGkW0-6dA7JkN2I6"
"38";"N/A";"AAAAAFfTurcX7axLxI4sIg";"Канал";"https://t.me/AAAAAFfTurcX7axLxI4sIg"
"39";"N/A";"universitet20";"Канал";"https://t.me/universitet20"
"40";"N/A";"slivkb";"Канал";"https://t.me/slivkb"
"41";"N/A";"skladchina_kyrsi";"Канал";"https://t.me/skladchina_kyrsi"
"42";"N/A";"AAAAAFJDQGvM8CIePJXbEQ";"Канал";"https://t.me/AAAAAFJDQGvM8CIePJXbEQ"
"43";"N/A";"xOFGQtT9zABiZWE6";"Канал";"https://t.me/xOFGQtT9zABiZWE6"
"44";"N/A";"VtuFmSANJCgzMGY6";"Канал";"https://t.me/VtuFmSANJCgzMGY6"
"45";"N/A";"PROkyrs";"Канал";"https://t.me/PROkyrs"
"46";"N/A";"wI4yELxHL2gwY2Q0";"Канал";"https://t.me/wI4yELxHL2gwY2Q0"
"47";"N/A";"kurs_archive";"Канал";"https://t.me/kurs_archive"
"48";"N/A";"Y0-btx_1ectjNjEy";"Канал";"https://t.me/Y0-btx_1ectjNjEy"
"49";"N/A";"archive_course";"Канал";"https://t.me/archive_course"
"50";"N/A";"AAAAAEzVW2oczhthu6Yebw";"Канал";"https://t.me/AAAAAEzVW2oczhthu6Yebw"
"51";"N/A";"Rl-F5JLgTWc3MDIy";"Канал";"https://t.me/Rl-F5JLgTWc3MDIy"
"52";"N/A";"fr_edu";"Канал";"https://t.me/fr_edu"
"53";"N/A";"mywayguides";"Канал";"https://t.me/mywayguides"
"54";"N/A";"beauty_ot_blogerov";"Канал";"https://t.me/beauty_ot_blogerov"
"55";"N/A";"izibizischool";"Канал";"https://t.me/izibizischool"
"56";"N/A";"IX138zSebz84ZjEy";"Канал";"https://t.me/IX138zSebz84ZjEy"
"57";"N/A";"alfa_campus";"Канал";"https://t.me/alfa_campus"
"58";"N/A";"slivoffcom";"Канал";"https://t.me/slivoffcom"
"59";"N/A";"AAAAAEzHHOVvTi9WnCtkqg";"Канал";"https://t.me/AAAAAEzHHOVvTi9WnCtkqg"
"60";"N/A";"konditer_kyrsi";"Канал";"https://t.me/konditer_kyrsi"
"61";"N/A";"slivotblogerov";"Канал";"https://t.me/slivotblogerov"
"62";"N/A";"AAAAAFBtDR00-PlNY3_Srg";"Канал";"https://t.me/AAAAAFBtDR00-PlNY3_Srg"
"63";"N/A";"tlgrmuniver";"Канал";"https://t.me/tlgrmuniver"
"64";"N/A";"AAAAAEinM3AY-AdpwVOgWA";"Канал";"https://t.me/AAAAAEinM3AY-AdpwVOgWA"
"65";"N/A";"edoocate";"Канал";"https://t.me/edoocate"
"66";"N/A";"H87XAiKpgnZmODU0";"Канал";"https://t.me/H87XAiKpgnZmODU0"
"67";"N/A";"slivydownload";"Канал";"https://t.me/slivydownload"
"68";"N/A";"cluster_hub";"Канал";"https://t.me/cluster_hub"
"69";"N/A";"AAAAAFHcmo3Sa058PeVleQ";"Канал";"https://t.me/AAAAAFHcmo3Sa058PeVleQ"
"70";"N/A";"sliv_ot_blogerov_2";"Канал";"https://t.me/sliv_ot_blogerov_2"
