"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"worko_com";"Канал";"https://t.me/worko_com"
"2";"N/A";"wi_brYkaIM44NjY8";"Канал";"https://t.me/wi_brYkaIM44NjY8"
"3";"N/A";"JokerDPR";"Канал";"https://t.me/JokerDPR"
"4";"N/A";"professor_youtube_reborn";"Канал";"https://t.me/professor_youtube_reborn"
"5";"N/A";"Rm8HxgPB-h0bdaLf";"Канал";"https://t.me/Rm8HxgPB-h0bdaLf"
"6";"N/A";"X6LwXjagh59iMTJk";"Канал";"https://t.me/X6LwXjagh59iMTJk"
"7";"N/A";"dQ73tutz__MwMDI6";"Канал";"https://t.me/dQ73tutz__MwMDI6"
"8";"N/A";"overload";"Канал";"https://t.me/overload"
"9";"N/A";"dataleak";"Канал";"https://t.me/dataleak"
"10";"N/A";"LeakAlarm";"Канал";"https://t.me/LeakAlarm"
"11";"N/A";"iditelesom_help";"Канал";"https://t.me/iditelesom_help"
"12";"N/A";"gXHcr9fUlW1lYTky";"Канал";"https://t.me/gXHcr9fUlW1lYTky"
"13";"N/A";"AAAAAFctleTXc-KAesMf2Q";"Канал";"https://t.me/AAAAAFctleTXc-KAesMf2Q"
"14";"N/A";"iqYFiv1KkexlOWFi";"Канал";"https://t.me/iqYFiv1KkexlOWFi"
"15";"N/A";"UIc1fK_HvKBmMTYy";"Канал";"https://t.me/UIc1fK_HvKBmMTYy"
"16";"N/A";"DoxGramTg";"Канал";"https://t.me/DoxGramTg"
"17";"N/A";"AAAAAFMx1O_mhmYRp-_nKA";"Канал";"https://t.me/AAAAAFMx1O_mhmYRp-_nKA"
"18";"N/A";"0ikU1vcxBbkwMDVi";"Канал";"https://t.me/0ikU1vcxBbkwMDVi"
"19";"N/A";"AAAAAEStGXgEzgMONTgeZw";"Канал";"https://t.me/AAAAAEStGXgEzgMONTgeZw"
"20";"N/A";"r7FB0aTepP4xYTAy";"Канал";"https://t.me/r7FB0aTepP4xYTAy"
"21";"N/A";"cyberbezopasno";"Канал";"https://t.me/cyberbezopasno"
"22";"N/A";"KladovkaPavlu";"Канал";"https://t.me/KladovkaPavlu"
"23";"N/A";"tarifRF";"Канал";"https://t.me/tarifRF"
"24";"N/A";"software_softs";"Канал";"https://t.me/software_softs"
