"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"cgplugin";"Канал";"https://t.me/cgplugin"
"2";"N/A";"AETemp";"Канал";"https://t.me/AETemp"
"3";"N/A";"desgang";"Канал";"https://t.me/desgang"
"4";"N/A";"wtfont";"Канал";"https://t.me/wtfont"
"5";"N/A";"sexyfont";"Канал";"https://t.me/sexyfont"
"6";"N/A";"photoshop_figma";"Канал";"https://t.me/photoshop_figma"
"7";"N/A";"photosed";"Канал";"https://t.me/photosed"
"8";"N/A";"figmadesign";"Канал";"https://t.me/figmadesign"
"9";"N/A";"stl_zone";"Канал";"https://t.me/stl_zone"
"10";"N/A";"31Tf5mYbZmViMTQy";"Канал";"https://t.me/31Tf5mYbZmViMTQy"
"11";"N/A";"Dk72RywtgBMzYjgy";"Канал";"https://t.me/Dk72RywtgBMzYjgy"
"12";"N/A";"designdealer";"Канал";"https://t.me/designdealer"
"13";"N/A";"morozprintm";"Канал";"https://t.me/morozprintm"
"14";"N/A";"Hp5DjFnpWXdhMTBi";"Канал";"https://t.me/Hp5DjFnpWXdhMTBi"
"15";"N/A";"dsgn_tutorial";"Канал";"https://t.me/dsgn_tutorial"
"16";"N/A";"Free3DSky";"Канал";"https://t.me/Free3DSky"
"17";"N/A";"design_telega";"Канал";"https://t.me/design_telega"
"18";"N/A";"Gambody";"Канал";"https://t.me/Gambody"
"19";"N/A";"free_brushes";"Канал";"https://t.me/free_brushes"
"20";"N/A";"pinterest_design_art";"Канал";"https://t.me/pinterest_design_art"
"21";"N/A";"phhhphhh";"Канал";"https://t.me/phhhphhh"
"22";"N/A";"stl_for_Home";"Канал";"https://t.me/stl_for_Home"
"23";"N/A";"cgcours";"Канал";"https://t.me/cgcours"
"24";"N/A";"designhunters";"Канал";"https://t.me/designhunters"
"25";"N/A";"Oasis3d";"Канал";"https://t.me/Oasis3d"
"26";"N/A";"AEStorage";"Канал";"https://t.me/AEStorage"
"27";"N/A";"designer_ru";"Канал";"https://t.me/designer_ru"
"28";"N/A";"fontsch";"Канал";"https://t.me/fontsch"
"29";"N/A";"Best_STL_3D";"Канал";"https://t.me/Best_STL_3D"
"30";"N/A";"photoshopforyou";"Канал";"https://t.me/photoshopforyou"
"31";"N/A";"mokaposhnaya";"Канал";"https://t.me/mokaposhnaya"
"32";"N/A";"after_effects_motion";"Канал";"https://t.me/after_effects_motion"
"33";"N/A";"fontovik";"Канал";"https://t.me/fontovik"
"34";"N/A";"dbooks";"Канал";"https://t.me/dbooks"
"35";"N/A";"crucian31";"Канал";"https://t.me/crucian31"
"36";"N/A";"pdigest";"Канал";"https://t.me/pdigest"
"37";"N/A";"me2jcWwvWXBiZjhi";"Канал";"https://t.me/me2jcWwvWXBiZjhi"
"38";"N/A";"photoshop_hack";"Канал";"https://t.me/photoshop_hack"
"39";"N/A";"shrift_free";"Канал";"https://t.me/shrift_free"
"40";"N/A";"mockup_club";"Канал";"https://t.me/mockup_club"
"41";"N/A";"seif_designera";"Канал";"https://t.me/seif_designera"
"42";"N/A";"posterino";"Канал";"https://t.me/posterino"
"43";"N/A";"4qw4ag-irk5iMGMy";"Канал";"https://t.me/4qw4ag-irk5iMGMy"
"44";"N/A";"top_capcut";"Канал";"https://t.me/top_capcut"
"45";"N/A";"moCUPS";"Канал";"https://t.me/moCUPS"
"46";"N/A";"ArchiveStl";"Канал";"https://t.me/ArchiveStl"
"47";"N/A";"STL_Print";"Канал";"https://t.me/STL_Print"
"48";"N/A";"dsgn_box";"Канал";"https://t.me/dsgn_box"
"49";"N/A";"designbirzha";"Канал";"https://t.me/designbirzha"
"50";"N/A";"designrar";"Канал";"https://t.me/designrar"
"51";"N/A";"texture4photoshop";"Канал";"https://t.me/texture4photoshop"
"52";"N/A";"yudaevdesign";"Канал";"https://t.me/yudaevdesign"
"53";"N/A";"figma2html";"Канал";"https://t.me/figma2html"
"54";"N/A";"dsgn_teacher";"Канал";"https://t.me/dsgn_teacher"
"55";"N/A";"photoshop_guru";"Канал";"https://t.me/photoshop_guru"
"56";"N/A";"brushprocreate";"Канал";"https://t.me/brushprocreate"
"57";"N/A";"uxfromhell";"Канал";"https://t.me/uxfromhell"
"58";"N/A";"you_are_designer";"Канал";"https://t.me/you_are_designer"
"59";"N/A";"mockup_curator";"Канал";"https://t.me/mockup_curator"
"60";"N/A";"a_study";"Канал";"https://t.me/a_study"
"61";"N/A";"Figma_dsgn";"Канал";"https://t.me/Figma_dsgn"
"62";"N/A";"Illustrationlessons";"Канал";"https://t.me/Illustrationlessons"
"63";"N/A";"miniatures_all";"Канал";"https://t.me/miniatures_all"
"64";"N/A";"prvtdsgn";"Канал";"https://t.me/prvtdsgn"
"65";"N/A";"figmaweb";"Канал";"https://t.me/figmaweb"
"66";"N/A";"behancerdsgn";"Канал";"https://t.me/behancerdsgn"
"67";"N/A";"free_3d_models_download";"Канал";"https://t.me/free_3d_models_download"
"68";"N/A";"privatedesigner";"Канал";"https://t.me/privatedesigner"
"69";"N/A";"WVjsPHt0wJU3MmYy";"Канал";"https://t.me/WVjsPHt0wJU3MmYy"
"70";"N/A";"Pixel_3D_STL";"Канал";"https://t.me/Pixel_3D_STL"
"71";"N/A";"Voroninkim";"Канал";"https://t.me/Voroninkim"
"72";"N/A";"DesignWorld";"Канал";"https://t.me/DesignWorld"
"73";"N/A";"fontscapcuts";"Канал";"https://t.me/fontscapcuts"
"74";"N/A";"illustrt";"Канал";"https://t.me/illustrt"
"75";"N/A";"unid_gd";"Канал";"https://t.me/unid_gd"
"76";"N/A";"Photoshop_dsgn";"Канал";"https://t.me/Photoshop_dsgn"
"77";"N/A";"dsgn_edu";"Канал";"https://t.me/dsgn_edu"
"78";"N/A";"jun_hi_vacancies";"Канал";"https://t.me/jun_hi_vacancies"
"79";"N/A";"figma_maketss";"Канал";"https://t.me/figma_maketss"
"80";"N/A";"cyrillicdesign";"Канал";"https://t.me/cyrillicdesign"
"81";"N/A";"perasperagram";"Канал";"https://t.me/perasperagram"
"82";"N/A";"sexycolors";"Канал";"https://t.me/sexycolors"
"83";"N/A";"ebmf0_Je0ys0OTcy";"Канал";"https://t.me/ebmf0_Je0ys0OTcy"
"84";"N/A";"fourdesign";"Канал";"https://t.me/fourdesign"
"85";"N/A";"ooutsidepsd";"Канал";"https://t.me/ooutsidepsd"
"86";"N/A";"abcletters";"Канал";"https://t.me/abcletters"
"87";"N/A";"awdee";"Канал";"https://t.me/awdee"
"88";"N/A";"qlD-P_M5bkU3MWQ6";"Канал";"https://t.me/qlD-P_M5bkU3MWQ6"
"89";"N/A";"logomachinee";"Канал";"https://t.me/logomachinee"
"90";"N/A";"PremTemp";"Канал";"https://t.me/PremTemp"
"91";"N/A";"visualmove";"Канал";"https://t.me/visualmove"
"92";"N/A";"APH24UI7X5s5OGIy";"Канал";"https://t.me/APH24UI7X5s5OGIy"
"93";"N/A";"design_hell";"Канал";"https://t.me/design_hell"
"94";"N/A";"tildanews";"Канал";"https://t.me/tildanews"
"95";"N/A";"CGKit_pro";"Канал";"https://t.me/CGKit_pro"
"96";"N/A";"brushes_and_patterns";"Канал";"https://t.me/brushes_and_patterns"
"97";"N/A";"thedesigner";"Канал";"https://t.me/thedesigner"
"98";"N/A";"secondpilots_cg";"Канал";"https://t.me/secondpilots_cg"
"99";"N/A";"vidguru";"Канал";"https://t.me/vidguru"
"100";"N/A";"poly3ds";"Канал";"https://t.me/poly3ds"
"101";"N/A";"capcut_asst";"Канал";"https://t.me/capcut_asst"
"102";"N/A";"true_figma";"Канал";"https://t.me/true_figma"
"103";"N/A";"psd_eu";"Канал";"https://t.me/psd_eu"
"104";"N/A";"Blend3d";"Канал";"https://t.me/Blend3d"
"105";"N/A";"Premiere023";"Канал";"https://t.me/Premiere023"
"106";"N/A";"creative_resource";"Канал";"https://t.me/creative_resource"
"107";"N/A";"designsniper";"Канал";"https://t.me/designsniper"
"108";"N/A";"Design_Garage";"Канал";"https://t.me/Design_Garage"
"109";"N/A";"lgvdsgner";"Канал";"https://t.me/lgvdsgner"
"110";"N/A";"behancedsgn";"Канал";"https://t.me/behancedsgn"
"111";"N/A";"PPTSECRETS";"Канал";"https://t.me/PPTSECRETS"
"112";"N/A";"nmntzh";"Канал";"https://t.me/nmntzh"
"113";"N/A";"videohive_templates";"Канал";"https://t.me/videohive_templates"
"114";"N/A";"intelligentdsgners";"Канал";"https://t.me/intelligentdsgners"
"115";"N/A";"megacoursenew";"Канал";"https://t.me/megacoursenew"
"116";"N/A";"easyfigma";"Канал";"https://t.me/easyfigma"
"117";"N/A";"figma60sec";"Канал";"https://t.me/figma60sec"
"118";"N/A";"desprod";"Канал";"https://t.me/desprod"
