"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"B9dN7jF9FH44NDQy";"Канал";"https://t.me/B9dN7jF9FH44NDQy"
"2";"N/A";"Sport_Llfe";"Канал";"https://t.me/Sport_Llfe"
"3";"N/A";"SG1A9dGe6_BlZTFi";"Канал";"https://t.me/SG1A9dGe6_BlZTFi"
"4";"N/A";"tibet_health";"Канал";"https://t.me/tibet_health"
"5";"N/A";"c6AOyjGm4RQzZDMy";"Канал";"https://t.me/c6AOyjGm4RQzZDMy"
"6";"N/A";"AAAAAFk7LcSkwO0KCxUBEg";"Канал";"https://t.me/AAAAAFk7LcSkwO0KCxUBEg"
"7";"N/A";"oDQkIwXM0ipiMTcy";"Канал";"https://t.me/oDQkIwXM0ipiMTcy"
"8";"N/A";"zdorovay_eda1";"Канал";"https://t.me/zdorovay_eda1"
"9";"N/A";"dr_ales";"Канал";"https://t.me/dr_ales"
"10";"N/A";"doctor_zubareva";"Канал";"https://t.me/doctor_zubareva"
"11";"N/A";"nox2j8BQ5qJkMzQy";"Канал";"https://t.me/nox2j8BQ5qJkMzQy"
"12";"N/A";"Vs_KbRI4E9c2YmE6";"Канал";"https://t.me/Vs_KbRI4E9c2YmE6"
"13";"N/A";"AAAAAEhVecc6QuE-NV8jxA";"Канал";"https://t.me/AAAAAEhVecc6QuE-NV8jxA"
"14";"N/A";"Qj-z9QSlhd85NTBi";"Канал";"https://t.me/Qj-z9QSlhd85NTBi"
"15";"N/A";"UUmyMqILtUU3YTJi";"Канал";"https://t.me/UUmyMqILtUU3YTJi"
"16";"N/A";"AAAAAEtHSQC62N1EVEMEGw";"Канал";"https://t.me/AAAAAEtHSQC62N1EVEMEGw"
"17";"N/A";"sportsmens1";"Канал";"https://t.me/sportsmens1"
"18";"N/A";"DrDzari";"Канал";"https://t.me/DrDzari"
"19";"N/A";"temvrenenemvseok";"Канал";"https://t.me/temvrenenemvseok"
"20";"N/A";"28zU0z9g_MBhMzVi";"Канал";"https://t.me/28zU0z9g_MBhMzVi"
"21";"N/A";"poltorapomidora";"Канал";"https://t.me/poltorapomidora"
"22";"N/A";"btgCjULB_9BiMjdi";"Канал";"https://t.me/btgCjULB_9BiMjdi"
"23";"N/A";"hqdMbZULz59hYmYy";"Канал";"https://t.me/hqdMbZULz59hYmYy"
"24";"N/A";"olga_pomoynetskaya";"Канал";"https://t.me/olga_pomoynetskaya"
"25";"N/A";"cwWBZyNuexJhNGQy";"Канал";"https://t.me/cwWBZyNuexJhNGQy"
"26";"N/A";"6usEYCIBns41OGRi";"Канал";"https://t.me/6usEYCIBns41OGRi"
"27";"N/A";"mashablinovafit";"Канал";"https://t.me/mashablinovafit"
"28";"N/A";"volkovaforwomen";"Канал";"https://t.me/volkovaforwomen"
"29";"N/A";"id4j4buznwUxNjYy";"Канал";"https://t.me/id4j4buznwUxNjYy"
"30";"N/A";"oJrw_-Awa7A3M2Ey";"Канал";"https://t.me/oJrw_-Awa7A3M2Ey"
"31";"N/A";"xH3cY0KKn95jMWMy";"Канал";"https://t.me/xH3cY0KKn95jMWMy"
"32";"N/A";"vivoyoga_larisa";"Канал";"https://t.me/vivoyoga_larisa"
"33";"N/A";"_hx7ajT3Av80N2My";"Канал";"https://t.me/_hx7ajT3Av80N2My"
"34";"N/A";"opIXbOsB5KAwNmYy";"Канал";"https://t.me/opIXbOsB5KAwNmYy"
"35";"N/A";"N9OsI46KEocwN2Vi";"Канал";"https://t.me/N9OsI46KEocwN2Vi"
"36";"N/A";"pro_zdorovie_telegram";"Канал";"https://t.me/pro_zdorovie_telegram"
"37";"N/A";"ya_hudeu1";"Канал";"https://t.me/ya_hudeu1"
"38";"N/A";"N0DAvroqlZw3ZTky";"Канал";"https://t.me/N0DAvroqlZw3ZTky"
"39";"N/A";"JDD0QNeo5LM4ZDJi";"Канал";"https://t.me/JDD0QNeo5LM4ZDJi"
"40";"N/A";"helenkornilova";"Канал";"https://t.me/helenkornilova"
"41";"N/A";"8haRVmeMLrUzZTM6";"Канал";"https://t.me/8haRVmeMLrUzZTM6"
"42";"N/A";"H-uTUbFSPicwNDcy";"Канал";"https://t.me/H-uTUbFSPicwNDcy"
"43";"N/A";"karmatsky_timofey";"Канал";"https://t.me/karmatsky_timofey"
"44";"N/A";"fiztransform";"Канал";"https://t.me/fiztransform"
"45";"N/A";"Max_anti_trainer";"Канал";"https://t.me/Max_anti_trainer"
"46";"N/A";"StretchLab";"Канал";"https://t.me/StretchLab"
"47";"N/A";"anyclass_bodymind";"Канал";"https://t.me/anyclass_bodymind"
"48";"N/A";"4f9GjvVLHtVhZThi";"Канал";"https://t.me/4f9GjvVLHtVhZThi"
"49";"N/A";"mama_pro_zdorovie";"Канал";"https://t.me/mama_pro_zdorovie"
"50";"N/A";"tQB6nSbfSSo3Mzdi";"Канал";"https://t.me/tQB6nSbfSSo3Mzdi"
"51";"N/A";"zdorovex";"Канал";"https://t.me/zdorovex"
"52";"N/A";"mnEg6y0MdcAxMGFh";"Канал";"https://t.me/mnEg6y0MdcAxMGFh"
"53";"N/A";"mageryachistka";"Канал";"https://t.me/mageryachistka"
"54";"N/A";"zhxLYMQsKigwZWNi";"Канал";"https://t.me/zhxLYMQsKigwZWNi"
"55";"N/A";"Swlb4Cf4jnxbV3DI";"Канал";"https://t.me/Swlb4Cf4jnxbV3DI"
"56";"N/A";"Vppn1jvNh3JjNTUy";"Канал";"https://t.me/Vppn1jvNh3JjNTUy"
"57";"N/A";"sgRoKvs8W9dmOTRk";"Канал";"https://t.me/sgRoKvs8W9dmOTRk"
"58";"N/A";"nxARCumcZPY3YzE6";"Канал";"https://t.me/nxARCumcZPY3YzE6"
"59";"N/A";"bmchn";"Канал";"https://t.me/bmchn"
"60";"N/A";"newyorkfitspo";"Канал";"https://t.me/newyorkfitspo"
"61";"N/A";"WX2tbJY4PkIxOWEy";"Канал";"https://t.me/WX2tbJY4PkIxOWEy"
"62";"N/A";"I_QVl80XgGwxYTJi";"Канал";"https://t.me/I_QVl80XgGwxYTJi"
"63";"N/A";"runforhealth";"Канал";"https://t.me/runforhealth"
"64";"N/A";"sportXpres";"Канал";"https://t.me/sportXpres"
"65";"N/A";"pptonya";"Канал";"https://t.me/pptonya"
"66";"N/A";"yogabylera";"Канал";"https://t.me/yogabylera"
"67";"N/A";"znak_kachestva_tg";"Канал";"https://t.me/znak_kachestva_tg"
"68";"N/A";"babbiebuttt";"Канал";"https://t.me/babbiebuttt"
"69";"N/A";"flex_mybody";"Канал";"https://t.me/flex_mybody"
"70";"N/A";"ddxfitness_official";"Канал";"https://t.me/ddxfitness_official"
"71";"N/A";"v4ZVzYq-0fE1ZTYy";"Канал";"https://t.me/v4ZVzYq-0fE1ZTYy"
"72";"N/A";"hQIgKtHAeIo0ZDgy";"Канал";"https://t.me/hQIgKtHAeIo0ZDgy"
"73";"N/A";"L2tDU2KxguczMzE6";"Канал";"https://t.me/L2tDU2KxguczMzE6"
"74";"N/A";"regina_doctor";"Канал";"https://t.me/regina_doctor"
"75";"N/A";"aeZ8CUj9kZtiZTZi";"Канал";"https://t.me/aeZ8CUj9kZtiZTZi"
"76";"N/A";"csgo4love";"Канал";"https://t.me/csgo4love"
"77";"N/A";"jjNSyYRMaNEzZTMy";"Канал";"https://t.me/jjNSyYRMaNEzZTMy"
"78";"N/A";"VtIVMOBXvGEzNTZi";"Канал";"https://t.me/VtIVMOBXvGEzNTZi"
"79";"N/A";"6A1LCotmkFY5NDAy";"Канал";"https://t.me/6A1LCotmkFY5NDAy"
"80";"N/A";"nas_pakhomova";"Канал";"https://t.me/nas_pakhomova"
"81";"N/A";"1sQcbhk-LLFmMDE6";"Канал";"https://t.me/1sQcbhk-LLFmMDE6"
"82";"N/A";"IXc6svnWWGViZmEy";"Канал";"https://t.me/IXc6svnWWGViZmEy"
"83";"N/A";"life_osnov";"Канал";"https://t.me/life_osnov"
"84";"N/A";"pisareva_health";"Канал";"https://t.me/pisareva_health"
"85";"N/A";"viksi666tg";"Канал";"https://t.me/viksi666tg"
"86";"N/A";"3-ELaG2SfM44MzRi";"Канал";"https://t.me/3-ELaG2SfM44MzRi"
"87";"N/A";"avokado_xudeet";"Канал";"https://t.me/avokado_xudeet"
"88";"N/A";"Ep4Ftm5Vz_0yYjli";"Канал";"https://t.me/Ep4Ftm5Vz_0yYjli"
"89";"N/A";"real_vitalii_dan";"Канал";"https://t.me/real_vitalii_dan"
"90";"N/A";"sjbodyfit";"Канал";"https://t.me/sjbodyfit"
