№;Число подписчиков;Username;Тип;Ссылка Telegram
1;1 254 160;bezposhady;Канал;https://t.me/bezposhady
2;1 161 626;ecotopor;Канал;https://t.me/ecotopor
3;1 046 894;economica;Канал;https://t.me/economica
4;940 790;AlfaBank;Канал;https://t.me/AlfaBank
5;823 852;banki_economy;Канал;https://t.me/banki_economy
6;813 638;sberbank;Канал;https://t.me/sberbank
7;658 544;multievan;Канал;https://t.me/multievan
8;648 725;alfa_investments;Канал;https://t.me/alfa_investments
9;585 932;profinansy;Канал;https://t.me/profinansy
10;569 342;tb_invest_official;Канал;https://t.me/tb_invest_official
11;549 824;bloomeconomy;Канал;https://t.me/bloomeconomy
12;514 381;ruble30;Канал;https://t.me/ruble30
13;492 687;banki_oil;Канал;https://t.me/banki_oil
14;431 205;economylive;Канал;https://t.me/economylive
15;414 756;banksta;Канал;https://t.me/banksta
16;412 320;BLEgOZKEShI0YjYy;Канал;https://t.me/BLEgOZKEShI0YjYy
17;396 016;bankrollo;Канал;https://t.me/bankrollo
18;361 783;bankvtb;Канал;https://t.me/bankvtb
19;346 989;Coin_Post;Канал;https://t.me/Coin_Post
20;342 346;ozon_bank_official;Канал;https://t.me/ozon_bank_official
21;339 582;tbank;Канал;https://t.me/tbank
22;333 898;cb_economics;Канал;https://t.me/cb_economics
23;315 430;markettwits;Канал;https://t.me/markettwits
24;311 204;fintex;Канал;https://t.me/fintex
25;304 332;investingcorp;Канал;https://t.me/investingcorp
26;278 665;bitkogan;Канал;https://t.me/bitkogan
27;268 098;lemonfortea;Канал;https://t.me/lemonfortea
28;260 936;4S0rfd-DTtU4OGNi;Канал;https://t.me/4S0rfd-DTtU4OGNi
29;255 985;SberInvestments;Канал;https://t.me/SberInvestments
30;240 320;forbesrussia;Канал;https://t.me/forbesrussia
31;235 502;centralbank_russia;Канал;https://t.me/centralbank_russia
32;217 836;LfPLYKcjzNU2MjJi;Канал;https://t.me/LfPLYKcjzNU2MjJi
33;217 424;x4XgW0gyvhE4NDQy;Канал;https://t.me/x4XgW0gyvhE4NDQy
