"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"simplecdz";"Канал";"https://t.me/simplecdz"
"2";"N/A";"matematik_andrei_channel";"Канал";"https://t.me/matematik_andrei_channel"
"3";"N/A";"gnYsqjKzec1hNjMy";"Канал";"https://t.me/gnYsqjKzec1hNjMy"
"4";"N/A";"bVcZ8Hy5Nec5MzEy";"Канал";"https://t.me/bVcZ8Hy5Nec5MzEy"
"5";"N/A";"otveti_ege_oge2025";"Канал";"https://t.me/otveti_ege_oge2025"
"6";"N/A";"hacks_excel";"Канал";"https://t.me/hacks_excel"
"7";"N/A";"OwYhedLTI8RlMGFi";"Канал";"https://t.me/OwYhedLTI8RlMGFi"
"8";"N/A";"jzIg5qXPR2M1OWJi";"Канал";"https://t.me/jzIg5qXPR2M1OWJi"
"9";"N/A";"OByI9YOks3k5NmIy";"Канал";"https://t.me/OByI9YOks3k5NmIy"
"10";"N/A";"reshatorgdz";"Канал";"https://t.me/reshatorgdz"
"11";"N/A";"sWx7yCuF-yk0MDcy";"Канал";"https://t.me/sWx7yCuF-yk0MDcy"
"12";"N/A";"danirmath";"Канал";"https://t.me/danirmath"
"13";"N/A";"V3lywArhyXu5ADGe";"Канал";"https://t.me/V3lywArhyXu5ADGe"
"14";"N/A";"Vkratce_book";"Канал";"https://t.me/Vkratce_book"
"15";"N/A";"nastya_umschool_russ";"Канал";"https://t.me/nastya_umschool_russ"
"16";"N/A";"PirCimsDN3k2YWIy";"Канал";"https://t.me/PirCimsDN3k2YWIy"
"17";"N/A";"razgovory_o_vazhnom";"Канал";"https://t.me/razgovory_o_vazhnom"
"18";"N/A";"depobr_mos";"Канал";"https://t.me/depobr_mos"
"19";"N/A";"pandaexamen";"Канал";"https://t.me/pandaexamen"
"20";"N/A";"studyqa";"Канал";"https://t.me/studyqa"
"21";"N/A";"4VyvNaMZs6ZiMzli";"Канал";"https://t.me/4VyvNaMZs6ZiMzli"
"22";"N/A";"kingmash_official";"Канал";"https://t.me/kingmash_official"
"23";"N/A";"physics_lib";"Канал";"https://t.me/physics_lib"
"24";"N/A";"Pedagogi_Rossii";"Канал";"https://t.me/Pedagogi_Rossii"
"25";"N/A";"SXTTcvzti6Y2MjFi";"Канал";"https://t.me/SXTTcvzti6Y2MjFi"
"26";"N/A";"konspekty_ege";"Канал";"https://t.me/konspekty_ege"
"27";"N/A";"obshestvoznaika_el";"Канал";"https://t.me/obshestvoznaika_el"
"28";"N/A";"KFBEac5KDf9jMGIy";"Канал";"https://t.me/KFBEac5KDf9jMGIy"
"29";"N/A";"solving_CDZ_tests_channel";"Канал";"https://t.me/solving_CDZ_tests_channel"
"30";"N/A";"otlichnica1";"Канал";"https://t.me/otlichnica1"
"31";"N/A";"razgovori_o_vajnom";"Канал";"https://t.me/razgovori_o_vajnom"
"32";"N/A";"obr_mo";"Канал";"https://t.me/obr_mo"
"33";"N/A";"ravil_candi";"Канал";"https://t.me/ravil_candi"
"34";"N/A";"ilchegg";"Канал";"https://t.me/ilchegg"
"35";"N/A";"UchH8PnQwlnLmVfZ";"Канал";"https://t.me/UchH8PnQwlnLmVfZ"
"36";"N/A";"justexcel24";"Канал";"https://t.me/justexcel24"
"37";"N/A";"sK66gkcTF7QwMjgy";"Канал";"https://t.me/sK66gkcTF7QwMjgy"
"38";"N/A";"otvets1";"Канал";"https://t.me/otvets1"
"39";"N/A";"sovuche";"Канал";"https://t.me/sovuche"
"40";"N/A";"pedagogi_online";"Канал";"https://t.me/pedagogi_online"
"41";"N/A";"kruzhok_ns";"Канал";"https://t.me/kruzhok_ns"
"42";"N/A";"Aa8Bk3CpNzNjZDVi";"Канал";"https://t.me/Aa8Bk3CpNzNjZDVi"
"43";"N/A";"pepsi_exam";"Канал";"https://t.me/pepsi_exam"
