"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"AAAAAEkGd2IVaPLOV0aLZg";"Канал";"https://t.me/AAAAAEkGd2IVaPLOV0aLZg"
"2";"N/A";"giftsbattle";"Канал";"https://t.me/giftsbattle"
"3";"N/A";"Yc9TVtyUrd4xZWMy";"Канал";"https://t.me/Yc9TVtyUrd4xZWMy"
"4";"N/A";"AAAAAEj3hLGCmp7vrPXBOA";"Канал";"https://t.me/AAAAAEj3hLGCmp7vrPXBOA"
"5";"N/A";"-DxfoV3Nukw0ODgy";"Канал";"https://t.me/-DxfoV3Nukw0ODgy"
"6";"N/A";"AAAAAFFxgFgeWCa9hLnNMw";"Канал";"https://t.me/AAAAAFFxgFgeWCa9hLnNMw"
"7";"N/A";"assmilfhots";"Канал";"https://t.me/assmilfhots"
"8";"N/A";"AAAAAFPAbXWSP6wIGqRNBQ";"Канал";"https://t.me/AAAAAFPAbXWSP6wIGqRNBQ"
"9";"N/A";"n-EjsRYlFPU4NGIy";"Канал";"https://t.me/n-EjsRYlFPU4NGIy"
"10";"N/A";"AAAAAE-Xu0Ah6FIrMt9E9w";"Канал";"https://t.me/AAAAAE-Xu0Ah6FIrMt9E9w"
"11";"N/A";"9iLA1NmYjPxhYmYy";"Канал";"https://t.me/9iLA1NmYjPxhYmYy"
"12";"N/A";"bBpxH8OUkB00ZjZk";"Канал";"https://t.me/bBpxH8OUkB00ZjZk"
"13";"N/A";"AKyvuaJL6m85NDQy";"Канал";"https://t.me/AKyvuaJL6m85NDQy"
"14";"N/A";"intimiugolok";"Канал";"https://t.me/intimiugolok"
"15";"N/A";"40B2e8_H-ooxYWUy";"Канал";"https://t.me/40B2e8_H-ooxYWUy"
"16";"N/A";"1Ra6Xa4nj1Q0ZmRi";"Канал";"https://t.me/1Ra6Xa4nj1Q0ZmRi"
"17";"N/A";"y2Zx55iEisk3NDdi";"Канал";"https://t.me/y2Zx55iEisk3NDdi"
"18";"N/A";"ZxlHiBt_7QAwYWNi";"Канал";"https://t.me/ZxlHiBt_7QAwYWNi"
"19";"N/A";"nBC9uLXRIJ1kYzVh";"Канал";"https://t.me/nBC9uLXRIJ1kYzVh"
"20";"N/A";"PLr0TJf80vo1ZmNi";"Канал";"https://t.me/PLr0TJf80vo1ZmNi"
"21";"N/A";"sapiscience";"Канал";"https://t.me/sapiscience"
"22";"N/A";"ggEs7rWJ3ewxMzEy";"Канал";"https://t.me/ggEs7rWJ3ewxMzEy"
"23";"N/A";"L8h1i9wKrhw3N2Qy";"Канал";"https://t.me/L8h1i9wKrhw3N2Qy"
"24";"N/A";"AAAAAEPl6u_nS-YLRpgjiA";"Канал";"https://t.me/AAAAAEPl6u_nS-YLRpgjiA"
"25";"N/A";"z65hawDaMMNjNTVi";"Канал";"https://t.me/z65hawDaMMNjNTVi"
"26";"N/A";"B-pLN7Akb6ZmNTVi";"Канал";"https://t.me/B-pLN7Akb6ZmNTVi"
"27";"N/A";"2Q5LFmxb-LczNjdi";"Канал";"https://t.me/2Q5LFmxb-LczNjdi"
"28";"N/A";"3eMWSCFxR-FmY2E6";"Канал";"https://t.me/3eMWSCFxR-FmY2E6"
"29";"N/A";"d_OAvnMjOJdmN2M0";"Канал";"https://t.me/d_OAvnMjOJdmN2M0"
"30";"N/A";"9VUwHehnJAE5Yzky";"Канал";"https://t.me/9VUwHehnJAE5Yzky"
"31";"N/A";"parashutisi";"Канал";"https://t.me/parashutisi"
"32";"N/A";"EGb82nxLt7FjMWYy";"Канал";"https://t.me/EGb82nxLt7FjMWYy"
"33";"N/A";"m0AjWLdPtYBmY2Ey";"Канал";"https://t.me/m0AjWLdPtYBmY2Ey"
"34";"N/A";"KEqMlm7HQ_AzNmRi";"Канал";"https://t.me/KEqMlm7HQ_AzNmRi"
"35";"N/A";"coMWBkKJbjBjYjky";"Канал";"https://t.me/coMWBkKJbjBjYjky"
"36";"N/A";"AgJLzDVbgDYzMDYy";"Канал";"https://t.me/AgJLzDVbgDYzMDYy"
"37";"N/A";"dvach18";"Канал";"https://t.me/dvach18"
"38";"N/A";"jOsMiYXBk440MWZk";"Канал";"https://t.me/jOsMiYXBk440MWZk"
"39";"N/A";"RjlhpZRoEnxhNjBi";"Канал";"https://t.me/RjlhpZRoEnxhNjBi"
"40";"N/A";"_N32LGQDDz9kOTdi";"Канал";"https://t.me/_N32LGQDDz9kOTdi"
"41";"N/A";"playcommics";"Канал";"https://t.me/playcommics"
"42";"N/A";"h5ZE_ixTwsA5YTU6";"Канал";"https://t.me/h5ZE_ixTwsA5YTU6"
"43";"N/A";"s64U4qh1jvtjZmUy";"Канал";"https://t.me/s64U4qh1jvtjZmUy"
"44";"N/A";"ITvrsz0pkeliZDM6";"Канал";"https://t.me/ITvrsz0pkeliZDM6"
"45";"N/A";"-DTnZnjBpSU3ODI6";"Канал";"https://t.me/-DTnZnjBpSU3ODI6"
"46";"N/A";"OCy7-Fw1gMY2N2Vi";"Канал";"https://t.me/OCy7-Fw1gMY2N2Vi"
"47";"N/A";"ZtjmY39LG5w3NzAy";"Канал";"https://t.me/ZtjmY39LG5w3NzAy"
"48";"N/A";"_nIVWbduh002Mzc6";"Канал";"https://t.me/_nIVWbduh002Mzc6"
"49";"N/A";"gkUeE-7WThRlYjIy";"Канал";"https://t.me/gkUeE-7WThRlYjIy"
"50";"N/A";"BJDeMNYMNxlmNDc8";"Канал";"https://t.me/BJDeMNYMNxlmNDc8"
"51";"N/A";"catalog_stickerov";"Канал";"https://t.me/catalog_stickerov"
"52";"N/A";"QPGWwYsFrwAzM2My";"Канал";"https://t.me/QPGWwYsFrwAzM2My"
"53";"N/A";"XbCiC5NBYnA3MzMy";"Канал";"https://t.me/XbCiC5NBYnA3MzMy"
"54";"N/A";"5q5WhylxtWQ5YTdi";"Канал";"https://t.me/5q5WhylxtWQ5YTdi"
"55";"N/A";"p2u8koo6VTBmZTZi";"Канал";"https://t.me/p2u8koo6VTBmZTZi"
"56";"N/A";"QYIgRANZFoY0OTEy";"Канал";"https://t.me/QYIgRANZFoY0OTEy"
"57";"N/A";"manhvsp";"Канал";"https://t.me/manhvsp"
"58";"N/A";"0PTvVXsALi84ZjIy";"Канал";"https://t.me/0PTvVXsALi84ZjIy"
"59";"N/A";"G0wbyK-R63xmMWYy";"Канал";"https://t.me/G0wbyK-R63xmMWYy"
"60";"N/A";"AAAAAEKfH2YZ2rNgAqOlMw";"Канал";"https://t.me/AAAAAEKfH2YZ2rNgAqOlMw"
"61";"N/A";"hellaway";"Канал";"https://t.me/hellaway"
"62";"N/A";"EKuEthicVacxYmUy";"Канал";"https://t.me/EKuEthicVacxYmUy"
"63";"N/A";"ESTv9LsOLZUzNjQy";"Канал";"https://t.me/ESTv9LsOLZUzNjQy"
"64";"N/A";"WecExqeB18MyY2Qy";"Канал";"https://t.me/WecExqeB18MyY2Qy"
"65";"N/A";"P1OCQ93OXCxkNWU6";"Канал";"https://t.me/P1OCQ93OXCxkNWU6"
"66";"N/A";"qD9Q87rkmmdmY2Uy";"Канал";"https://t.me/qD9Q87rkmmdmY2Uy"
"67";"N/A";"jqD8EAdXmEk1MWYy";"Канал";"https://t.me/jqD8EAdXmEk1MWYy"
"68";"N/A";"8-XcY4p_7SBiNWMy";"Канал";"https://t.me/8-XcY4p_7SBiNWMy"
"69";"N/A";"72ll8psbnIowZjcy";"Канал";"https://t.me/72ll8psbnIowZjcy"
"70";"N/A";"S2Owsbl-AFZhNDNi";"Канал";"https://t.me/S2Owsbl-AFZhNDNi"
"71";"N/A";"wRtClfwGPuQxMTAy";"Канал";"https://t.me/wRtClfwGPuQxMTAy"
"72";"N/A";"cosplayro";"Канал";"https://t.me/cosplayro"
"73";"N/A";"veron";"Канал";"https://t.me/veron"
"74";"N/A";"c-Em0UtA3UM0N2Iy";"Канал";"https://t.me/c-Em0UtA3UM0N2Iy"
"75";"N/A";"shittcomics";"Канал";"https://t.me/shittcomics"
"76";"N/A";"RwHy0Rz3k3RlODYy";"Канал";"https://t.me/RwHy0Rz3k3RlODYy"
