"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"astrogiks";"Канал";"https://t.me/astrogiks"
"2";"N/A";"i-P6zrhJT8dlOTli";"Канал";"https://t.me/i-P6zrhJT8dlOTli"
"3";"N/A";"taroiren";"Канал";"https://t.me/taroiren"
"4";"N/A";"Y7G7jvvRtkk4OGIy";"Канал";"https://t.me/Y7G7jvvRtkk4OGIy"
"5";"N/A";"daragan_konstantin";"Канал";"https://t.me/daragan_konstantin"
"6";"N/A";"goro_kirill";"Канал";"https://t.me/goro_kirill"
"7";"N/A";"nudaznaki";"Канал";"https://t.me/nudaznaki"
"8";"N/A";"ForMagicLife_RU";"Канал";"https://t.me/ForMagicLife_RU"
"9";"N/A";"nehgoro";"Канал";"https://t.me/nehgoro"
"10";"N/A";"O6gC5zSLXChjNjcy";"Канал";"https://t.me/O6gC5zSLXChjNjcy"
"11";"N/A";"zvezdanutyygoro";"Канал";"https://t.me/zvezdanutyygoro"
"12";"N/A";"abdartartemka";"Канал";"https://t.me/abdartartemka"
"13";"N/A";"tg_horoscope";"Канал";"https://t.me/tg_horoscope"
"14";"N/A";"aaxEy29XDkw2NGEy";"Канал";"https://t.me/aaxEy29XDkw2NGEy"
"15";"N/A";"9PQKfNaf9HdjY2Ni";"Канал";"https://t.me/9PQKfNaf9HdjY2Ni"
"16";"N/A";"_H0d3Ja0gW0xMjcy";"Канал";"https://t.me/_H0d3Ja0gW0xMjcy"
"17";"N/A";"AAAAAEGnpzCc5thGJt1EBQ";"Канал";"https://t.me/AAAAAEGnpzCc5thGJt1EBQ"
"18";"N/A";"esoterices";"Канал";"https://t.me/esoterices"
"19";"N/A";"tarogks";"Канал";"https://t.me/tarogks"
"20";"N/A";"mylablife";"Канал";"https://t.me/mylablife"
"21";"N/A";"59Sl2J2icoYyNGEy";"Канал";"https://t.me/59Sl2J2icoYyNGEy"
"22";"N/A";"Tp9mBo8dNW85NWMy";"Канал";"https://t.me/Tp9mBo8dNW85NWMy"
"23";"N/A";"lykova_taro";"Канал";"https://t.me/lykova_taro"
"24";"N/A";"neo_goroskop";"Канал";"https://t.me/neo_goroskop"
"25";"N/A";"wWotsnvPx8FhNDMy";"Канал";"https://t.me/wWotsnvPx8FhNDMy"
"26";"N/A";"nudagoroskop";"Канал";"https://t.me/nudagoroskop"
"27";"N/A";"goroscope2020";"Канал";"https://t.me/goroscope2020"
"28";"N/A";"RxfDaSwNTes3YWM6";"Канал";"https://t.me/RxfDaSwNTes3YWM6"
"29";"N/A";"EYj3saQksOgzODEy";"Канал";"https://t.me/EYj3saQksOgzODEy"
"30";"N/A";"anael_numerolog";"Канал";"https://t.me/anael_numerolog"
"31";"N/A";"tvoigor";"Канал";"https://t.me/tvoigor"
"32";"N/A";"nrKv_eNMH1U2NjYy";"Канал";"https://t.me/nrKv_eNMH1U2NjYy"
"33";"N/A";"myastrologer";"Канал";"https://t.me/myastrologer"
"34";"N/A";"vselenamaster_ps";"Канал";"https://t.me/vselenamaster_ps"
"35";"N/A";"lenaboroda4";"Канал";"https://t.me/lenaboroda4"
"36";"N/A";"RFnHE64W0HplN2Ni";"Канал";"https://t.me/RFnHE64W0HplN2Ni"
"37";"N/A";"kIPf55ETkGBlMTdi";"Канал";"https://t.me/kIPf55ETkGBlMTdi"
"38";"N/A";"gGBDD3uh9b1hMjQy";"Канал";"https://t.me/gGBDD3uh9b1hMjQy"
"39";"N/A";"gadaju";"Канал";"https://t.me/gadaju"
"40";"N/A";"obolenova";"Канал";"https://t.me/obolenova"
"41";"N/A";"podsoznanie_you";"Канал";"https://t.me/podsoznanie_you"
"42";"N/A";"alexanderpalienko";"Канал";"https://t.me/alexanderpalienko"
"43";"N/A";"magiaezoterica";"Канал";"https://t.me/magiaezoterica"
"44";"N/A";"8offOhBeyuswYzdi";"Канал";"https://t.me/8offOhBeyuswYzdi"
"45";"N/A";"ritataro";"Канал";"https://t.me/ritataro"
"46";"N/A";"tatakalnitskaya";"Канал";"https://t.me/tatakalnitskaya"
"47";"N/A";"planetazemlyaastro";"Канал";"https://t.me/planetazemlyaastro"
"48";"N/A";"dy0OTmwBsWJkY2Vi";"Канал";"https://t.me/dy0OTmwBsWJkY2Vi"
"49";"N/A";"taro_jennifer";"Канал";"https://t.me/taro_jennifer"
"50";"N/A";"astro_chayka";"Канал";"https://t.me/astro_chayka"
"51";"N/A";"K5nztphkbmpmNjBi";"Канал";"https://t.me/K5nztphkbmpmNjBi"
"52";"N/A";"white_magia";"Канал";"https://t.me/white_magia"
"53";"N/A";"moodpsyc";"Канал";"https://t.me/moodpsyc"
"54";"N/A";"ezoterika_female";"Канал";"https://t.me/ezoterika_female"
"55";"N/A";"bitva_extrasensi";"Канал";"https://t.me/bitva_extrasensi"
"56";"N/A";"esotericse";"Канал";"https://t.me/esotericse"
"57";"N/A";"5pF5rOwRsAxkNTJi";"Канал";"https://t.me/5pF5rOwRsAxkNTJi"
"58";"N/A";"artem_blok1";"Канал";"https://t.me/artem_blok1"
"59";"N/A";"goroskop_astrologii";"Канал";"https://t.me/goroskop_astrologii"
"60";"N/A";"loves_go";"Канал";"https://t.me/loves_go"
"61";"N/A";"ROsiG_30irZhMzQ6";"Канал";"https://t.me/ROsiG_30irZhMzQ6"
"62";"N/A";"tebe_goroskop";"Канал";"https://t.me/tebe_goroskop"
"63";"N/A";"ezoterik_dnevnik";"Канал";"https://t.me/ezoterik_dnevnik"
"64";"N/A";"NumerologLiana2525";"Канал";"https://t.me/NumerologLiana2525"
"65";"N/A";"taroworlds";"Канал";"https://t.me/taroworlds"
"66";"N/A";"kosmo_woman22";"Канал";"https://t.me/kosmo_woman22"
"67";"N/A";"ezomir369";"Канал";"https://t.me/ezomir369"
"68";"N/A";"horoscopeiin";"Канал";"https://t.me/horoscopeiin"
"69";"N/A";"tvoi_goro";"Канал";"https://t.me/tvoi_goro"
"70";"N/A";"wwwitttchhh";"Канал";"https://t.me/wwwitttchhh"
"71";"N/A";"new_era_esoterica";"Канал";"https://t.me/new_era_esoterica"
"72";"N/A";"angelapearl_astrology";"Канал";"https://t.me/angelapearl_astrology"
"73";"N/A";"karmavbiznese";"Канал";"https://t.me/karmavbiznese"
"74";"N/A";"8QyAk4OZRH80YmI6";"Канал";"https://t.me/8QyAk4OZRH80YmI6"
"75";"N/A";"horoscope_all";"Канал";"https://t.me/horoscope_all"
"76";"N/A";"tarohear";"Канал";"https://t.me/tarohear"
"77";"N/A";"womworlds";"Канал";"https://t.me/womworlds"
"78";"N/A";"navstrechy_zvezdam";"Канал";"https://t.me/navstrechy_zvezdam"
