"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"gosuslugiforparents";"Канал";"https://t.me/gosuslugiforparents"
"2";"N/A";"kids_razvitie";"Канал";"https://t.me/kids_razvitie"
"3";"N/A";"pavlov_family_tg";"Канал";"https://t.me/pavlov_family_tg"
"4";"N/A";"razv_deti";"Канал";"https://t.me/razv_deti"
"5";"N/A";"ellamachilskaya";"Канал";"https://t.me/ellamachilskaya"
"6";"N/A";"-8cQV4Q6K-hiMTFi";"Канал";"https://t.me/-8cQV4Q6K-hiMTFi"
"7";"N/A";"vikadmitrieva_psiholog";"Канал";"https://t.me/vikadmitrieva_psiholog"
"8";"N/A";"hf878E9jpa05MzIy";"Канал";"https://t.me/hf878E9jpa05MzIy"
"9";"N/A";"valentinapaevskaya";"Канал";"https://t.me/valentinapaevskaya"
"10";"N/A";"AAAAAFdK-41K92XSoGhObw";"Канал";"https://t.me/AAAAAFdK-41K92XSoGhObw"
"11";"N/A";"travel_my_family";"Канал";"https://t.me/travel_my_family"
"12";"N/A";"-ygXmHGv4VA1NTBi";"Канал";"https://t.me/-ygXmHGv4VA1NTBi"
"13";"N/A";"u_xosDLoVAQxMzVi";"Канал";"https://t.me/u_xosDLoVAQxMzVi"
"14";"N/A";"shamilahmadullin";"Канал";"https://t.me/shamilahmadullin"
"15";"N/A";"NSTmfbMXEvk1N2Uy";"Канал";"https://t.me/NSTmfbMXEvk1N2Uy"
"16";"N/A";"big_myfamily";"Канал";"https://t.me/big_myfamily"
"17";"N/A";"detstvo_msk";"Канал";"https://t.me/detstvo_msk"
"18";"N/A";"moscokids";"Канал";"https://t.me/moscokids"
"19";"N/A";"posobia_momolesya";"Канал";"https://t.me/posobia_momolesya"
"20";"N/A";"aliexspresskids";"Канал";"https://t.me/aliexspresskids"
"21";"N/A";"pretty_mom_love";"Канал";"https://t.me/pretty_mom_love"
"22";"N/A";"my_familly_blogg";"Канал";"https://t.me/my_familly_blogg"
"23";"N/A";"tvorimsdetkami";"Канал";"https://t.me/tvorimsdetkami"
"24";"N/A";"hxuTcsoD2mUwNzAy";"Канал";"https://t.me/hxuTcsoD2mUwNzAy"
"25";"N/A";"podelki_dlya_detei";"Канал";"https://t.me/podelki_dlya_detei"
"26";"N/A";"msk_deti";"Канал";"https://t.me/msk_deti"
"27";"N/A";"comedymamaofficial";"Канал";"https://t.me/comedymamaofficial"
"28";"N/A";"5VA7ZqUI24AwNDUy";"Канал";"https://t.me/5VA7ZqUI24AwNDUy"
"29";"N/A";"QwhdW9l-BrGp84ok";"Канал";"https://t.me/QwhdW9l-BrGp84ok"
"30";"N/A";"cJGDDGfNolA5ZWZi";"Канал";"https://t.me/cJGDDGfNolA5ZWZi"
"31";"N/A";"mamnevdekrete";"Канал";"https://t.me/mamnevdekrete"
"32";"N/A";"life_travel_fam";"Канал";"https://t.me/life_travel_fam"
"33";"N/A";"detlektor";"Канал";"https://t.me/detlektor"
"34";"N/A";"papiny_skazki_official";"Канал";"https://t.me/papiny_skazki_official"
"35";"N/A";"hixcz35CxF4wZjdi";"Канал";"https://t.me/hixcz35CxF4wZjdi"
"36";"N/A";"RoditeliDetiru";"Канал";"https://t.me/RoditeliDetiru"
"37";"N/A";"Religiya_pravoslavie";"Канал";"https://t.me/Religiya_pravoslavie"
"38";"N/A";"polina_education";"Канал";"https://t.me/polina_education"
"39";"N/A";"L704TNDuZKw4YmJi";"Канал";"https://t.me/L704TNDuZKw4YmJi"
"40";"N/A";"Nv8uPTuwygAyN2Uy";"Канал";"https://t.me/Nv8uPTuwygAyN2Uy"
"41";"N/A";"etidetyy";"Канал";"https://t.me/etidetyy"
"42";"N/A";"knshu23";"Канал";"https://t.me/knshu23"
"43";"N/A";"Ya_Valeri_AY";"Канал";"https://t.me/Ya_Valeri_AY"
"44";"N/A";"mscrisstg";"Канал";"https://t.me/mscrisstg"
"45";"N/A";"meseduprodetstvo";"Канал";"https://t.me/meseduprodetstvo"
"46";"N/A";"massagist_novokrinitskii";"Канал";"https://t.me/massagist_novokrinitskii"
"47";"N/A";"posekretymamochkam";"Канал";"https://t.me/posekretymamochkam"
"48";"N/A";"S9Go6o4OSucyNzk6";"Канал";"https://t.me/S9Go6o4OSucyNzk6"
"49";"N/A";"pamonashvili";"Канал";"https://t.me/pamonashvili"
"50";"N/A";"MomCanD0";"Канал";"https://t.me/MomCanD0"
"51";"N/A";"K-3IU0CRKxs1OGZi";"Канал";"https://t.me/K-3IU0CRKxs1OGZi"
"52";"N/A";"mamochkagotovitpp";"Канал";"https://t.me/mamochkagotovitpp"
"53";"N/A";"skazkiaudio";"Канал";"https://t.me/skazkiaudio"
"54";"N/A";"_Szqygvb7qYxNTA6";"Канал";"https://t.me/_Szqygvb7qYxNTA6"
"55";"N/A";"besedki_nasedki";"Канал";"https://t.me/besedki_nasedki"
"56";"N/A";"lepka_roditelyam";"Канал";"https://t.me/lepka_roditelyam"
"57";"N/A";"hIoOfjj7FaFmNDgy";"Канал";"https://t.me/hIoOfjj7FaFmNDgy"
"58";"N/A";"zaykinaskazka";"Канал";"https://t.me/zaykinaskazka"
"59";"N/A";"solo_ninka";"Канал";"https://t.me/solo_ninka"
"60";"N/A";"mamaalye";"Канал";"https://t.me/mamaalye"
"61";"N/A";"PodgotovishkaDeti";"Канал";"https://t.me/PodgotovishkaDeti"
"62";"N/A";"zagadki_golovolomki_100";"Канал";"https://t.me/zagadki_golovolomki_100"
"63";"N/A";"u9sXxhRwIOIxZDUy";"Канал";"https://t.me/u9sXxhRwIOIxZDUy"
"64";"N/A";"detskoe_posobie";"Канал";"https://t.me/detskoe_posobie"
"65";"N/A";"detstvo_spb";"Канал";"https://t.me/detstvo_spb"
"66";"N/A";"uqRk4afEpY00ZDRi";"Канал";"https://t.me/uqRk4afEpY00ZDRi"
"67";"N/A";"melfm";"Канал";"https://t.me/melfm"
"68";"N/A";"schreinerkate_life";"Канал";"https://t.me/schreinerkate_life"
"69";"N/A";"anyclass_supermama";"Канал";"https://t.me/anyclass_supermama"
"70";"N/A";"Familycherkesov";"Канал";"https://t.me/Familycherkesov"
"71";"N/A";"malyssh_ok";"Канал";"https://t.me/malyssh_ok"
"72";"N/A";"j4RbacgQ_dA5YjIy";"Канал";"https://t.me/j4RbacgQ_dA5YjIy"
