"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"goldapple";"Канал";"https://t.me/goldapple"
"2";"N/A";"QBJtwNE7IpI3NTgy";"Канал";"https://t.me/QBJtwNE7IpI3NTgy"
"3";"N/A";"ZkaaiAghVXxjNzRi";"Канал";"https://t.me/ZkaaiAghVXxjNzRi"
"4";"N/A";"mixit_mood";"Канал";"https://t.me/mixit_mood"
"5";"N/A";"a4MbAliBsJo1ZWMy";"Канал";"https://t.me/a4MbAliBsJo1ZWMy"
"6";"N/A";"anyclass_faceonline";"Канал";"https://t.me/anyclass_faceonline"
"7";"N/A";"cNDuwPBHWJkyYmZi";"Канал";"https://t.me/cNDuwPBHWJkyYmZi"
"8";"N/A";"VA5R96v8jDGOoPXP";"Канал";"https://t.me/VA5R96v8jDGOoPXP"
"9";"N/A";"nails_nogotki";"Канал";"https://t.me/nails_nogotki"
"10";"N/A";"ElenaMixit";"Канал";"https://t.me/ElenaMixit"
"11";"N/A";"nMKNl0gK-vg1MDY6";"Канал";"https://t.me/nMKNl0gK-vg1MDY6"
"12";"N/A";"QmCFaTyuqxM1MDJi";"Канал";"https://t.me/QmCFaTyuqxM1MDJi"
"13";"N/A";"fAREV4lG0MQzZDM6";"Канал";"https://t.me/fAREV4lG0MQzZDM6"
"14";"N/A";"letoileofficial";"Канал";"https://t.me/letoileofficial"
"15";"N/A";"famila_offprice";"Канал";"https://t.me/famila_offprice"
"16";"N/A";"op_manic";"Канал";"https://t.me/op_manic"
"17";"N/A";"EpzfwGICVUkwNmRi";"Канал";"https://t.me/EpzfwGICVUkwNmRi"
"18";"N/A";"Hfbyn_Gu-NQ4ODUy";"Канал";"https://t.me/Hfbyn_Gu-NQ4ODUy"
"19";"N/A";"vois";"Канал";"https://t.me/vois"
"20";"N/A";"GlamLifeBlog";"Канал";"https://t.me/GlamLifeBlog"
"21";"N/A";"promokody_skidky_tg";"Канал";"https://t.me/promokody_skidky_tg"
