"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"Kulinariya_retsept";"Канал";"https://t.me/Kulinariya_retsept"
"2";"N/A";"tspyaterochka";"Канал";"https://t.me/tspyaterochka"
"3";"N/A";"NRZYjwzHl_NmMTZi";"Канал";"https://t.me/NRZYjwzHl_NmMTZi"
"4";"N/A";"AAAAAFczbli2UqYdQsHZ0g";"Канал";"https://t.me/AAAAAFczbli2UqYdQsHZ0g"
"5";"N/A";"prostoy_retsept";"Канал";"https://t.me/prostoy_retsept"
"6";"N/A";"min2ru";"Канал";"https://t.me/min2ru"
"7";"N/A";"Vt1bAWcdEV43NjYy";"Канал";"https://t.me/Vt1bAWcdEV43NjYy"
"8";"N/A";"xE4tYkSzJAZiZWQy";"Канал";"https://t.me/xE4tYkSzJAZiZWQy"
"9";"N/A";"dx7Lzu0Pgfw3YjVi";"Канал";"https://t.me/dx7Lzu0Pgfw3YjVi"
"10";"N/A";"6tX5MJlIPqxiY2Iy";"Канал";"https://t.me/6tX5MJlIPqxiY2Iy"
"11";"N/A";"QwJj_STYOscwNWQy";"Канал";"https://t.me/QwJj_STYOscwNWQy"
"12";"N/A";"P7uLZyGoRE85Zjcy";"Канал";"https://t.me/P7uLZyGoRE85Zjcy"
"13";"N/A";"b7xfUXiZelxhNGEy";"Канал";"https://t.me/b7xfUXiZelxhNGEy"
"14";"N/A";"XHMpX1ikCMI1Zjdi";"Канал";"https://t.me/XHMpX1ikCMI1Zjdi"
"15";"N/A";"chizhikmagazin";"Канал";"https://t.me/chizhikmagazin"
"16";"N/A";"20-uo5l-HvRhODk6";"Канал";"https://t.me/20-uo5l-HvRhODk6"
"17";"N/A";"aerogrill_recepti";"Канал";"https://t.me/aerogrill_recepti"
"18";"N/A";"AAAAAEj3r1xo5T_a_nUDEA";"Канал";"https://t.me/AAAAAEj3r1xo5T_a_nUDEA"
"19";"N/A";"KzT96r9XyeI1NjEy";"Канал";"https://t.me/KzT96r9XyeI1NjEy"
"20";"N/A";"q6V7MPZ12ZdkMTAy";"Канал";"https://t.me/q6V7MPZ12ZdkMTAy"
"21";"N/A";"xxjYd6F17slmZTNi";"Канал";"https://t.me/xxjYd6F17slmZTNi"
"22";"N/A";"pitanie798";"Канал";"https://t.me/pitanie798"
"23";"N/A";"RI5jqcNZwHM1YzYy";"Канал";"https://t.me/RI5jqcNZwHM1YzYy"
"24";"N/A";"UfifS9wLdWQ5MmE6";"Канал";"https://t.me/UfifS9wLdWQ5MmE6"
"25";"N/A";"sysoevfm";"Канал";"https://t.me/sysoevfm"
"26";"N/A";"tLtmwa6OoOk4YTA6";"Канал";"https://t.me/tLtmwa6OoOk4YTA6"
"27";"N/A";"netmonet_co";"Канал";"https://t.me/netmonet_co"
"28";"N/A";"rPwuc5sf9WxiZDcy";"Канал";"https://t.me/rPwuc5sf9WxiZDcy"
"29";"N/A";"po_receptj";"Канал";"https://t.me/po_receptj"
"30";"N/A";"skWquJiFdJAwNzZi";"Канал";"https://t.me/skWquJiFdJAwNzZi"
"31";"N/A";"OE7j5Mp8yus2MGUy";"Канал";"https://t.me/OE7j5Mp8yus2MGUy"
"32";"N/A";"QGAcnefwwpUzZDZi";"Канал";"https://t.me/QGAcnefwwpUzZDZi"
"33";"N/A";"dauotkysit";"Канал";"https://t.me/dauotkysit"
"34";"N/A";"Kulinaria_Receptii";"Канал";"https://t.me/Kulinaria_Receptii"
"35";"N/A";"EIwscIiglBhlY2Zi";"Канал";"https://t.me/EIwscIiglBhlY2Zi"
"36";"N/A";"nar7ug2aOD1lY2E6";"Канал";"https://t.me/nar7ug2aOD1lY2E6"
"37";"N/A";"_dMIQMEN-qg0YTJi";"Канал";"https://t.me/_dMIQMEN-qg0YTJi"
"38";"N/A";"chiko_russia";"Канал";"https://t.me/chiko_russia"
"39";"N/A";"QQK43Nd3J2g2NmEy";"Канал";"https://t.me/QQK43Nd3J2g2NmEy"
"40";"N/A";"r-PaYVeLdk5kMTFi";"Канал";"https://t.me/r-PaYVeLdk5kMTFi"
"41";"N/A";"Fastrecepts";"Канал";"https://t.me/Fastrecepts"
"42";"N/A";"vit_russia";"Канал";"https://t.me/vit_russia"
"43";"N/A";"shelusha_food";"Канал";"https://t.me/shelusha_food"
"44";"N/A";"topretsept";"Канал";"https://t.me/topretsept"
"45";"N/A";"iSJ9fpVommw2NGMy";"Канал";"https://t.me/iSJ9fpVommw2NGMy"
"46";"N/A";"BZLqweU5qz83OGVi";"Канал";"https://t.me/BZLqweU5qz83OGVi"
"47";"N/A";"Cb0cn0Rp3z5lNTI6";"Канал";"https://t.me/Cb0cn0Rp3z5lNTI6"
"48";"N/A";"ue9cS-XHmyU4NDEy";"Канал";"https://t.me/ue9cS-XHmyU4NDEy"
"49";"N/A";"kuper_ru";"Канал";"https://t.me/kuper_ru"
"50";"N/A";"foodmog";"Канал";"https://t.me/foodmog"
"51";"N/A";"Qxlz6ejMUywEoHVa";"Канал";"https://t.me/Qxlz6ejMUywEoHVa"
"52";"N/A";"xmB7II8tAhJmOTBi";"Канал";"https://t.me/xmB7II8tAhJmOTBi"
"53";"N/A";"home_recept";"Канал";"https://t.me/home_recept"
"54";"N/A";"wI7hrQgqRbI3OGMy";"Канал";"https://t.me/wI7hrQgqRbI3OGMy"
"55";"N/A";"tKmilHULY4czZWY6";"Канал";"https://t.me/tKmilHULY4czZWY6"
"56";"N/A";"coy61kCLINNlMzZi";"Канал";"https://t.me/coy61kCLINNlMzZi"
"57";"N/A";"X8qkvspIRIljY2Vi";"Канал";"https://t.me/X8qkvspIRIljY2Vi"
"58";"N/A";"ffolcYbMDghiNTQy";"Канал";"https://t.me/ffolcYbMDghiNTQy"
"59";"N/A";"9_vyjLrMK1E3YzUy";"Канал";"https://t.me/9_vyjLrMK1E3YzUy"
"60";"N/A";"9sbohcnNRjhjMjgy";"Канал";"https://t.me/9sbohcnNRjhjMjgy"
"61";"N/A";"UlW_YB8QCuk2ODBi";"Канал";"https://t.me/UlW_YB8QCuk2ODBi"
"62";"N/A";"dodorus";"Канал";"https://t.me/dodorus"
"63";"N/A";"edadeal_official";"Канал";"https://t.me/edadeal_official"
"64";"N/A";"NmGOpS6ZvXUyMTJi";"Канал";"https://t.me/NmGOpS6ZvXUyMTJi"
"65";"N/A";"ySech9TZoMg2Y2Zi";"Канал";"https://t.me/ySech9TZoMg2Y2Zi"
"66";"N/A";"7RAOLOoivuI3YWIy";"Канал";"https://t.me/7RAOLOoivuI3YWIy"
"67";"N/A";"RjhFks3tPd5mNGNi";"Канал";"https://t.me/RjhFks3tPd5mNGNi"
"68";"N/A";"6hKHC2O0-4o4NjQy";"Канал";"https://t.me/6hKHC2O0-4o4NjQy"
"69";"N/A";"aaaJGcUBq3k0NDgy";"Канал";"https://t.me/aaaJGcUBq3k0NDgy"
"70";"N/A";"daniya_alt";"Канал";"https://t.me/daniya_alt"
"71";"N/A";"HLgMYJfMGCthZTYy";"Канал";"https://t.me/HLgMYJfMGCthZTYy"
"72";"N/A";"ld4qZGQlFZU0OTEy";"Канал";"https://t.me/ld4qZGQlFZU0OTEy"
"73";"N/A";"oixBg7y7oM4zNzJi";"Канал";"https://t.me/oixBg7y7oM4zNzJi"
"74";"N/A";"aKeiggXCxGIzMzRi";"Канал";"https://t.me/aKeiggXCxGIzMzRi"
"75";"N/A";"gotovim33";"Канал";"https://t.me/gotovim33"
"76";"N/A";"VTecJot-xKQ4NTg6";"Канал";"https://t.me/VTecJot-xKQ4NTg6"
"77";"N/A";"yagufeNf9vxmZjRi";"Канал";"https://t.me/yagufeNf9vxmZjRi"
"78";"N/A";"X2rAbTk7UtwxODc6";"Канал";"https://t.me/X2rAbTk7UtwxODc6"
"79";"N/A";"thesaltmagazine";"Канал";"https://t.me/thesaltmagazine"
"80";"N/A";"magnit_retail";"Канал";"https://t.me/magnit_retail"
"81";"N/A";"Zakusky_Kulinaria";"Канал";"https://t.me/Zakusky_Kulinaria"
"82";"N/A";"multivarka_recept";"Канал";"https://t.me/multivarka_recept"
"83";"N/A";"ApdSJKEsuOYzYTky";"Канал";"https://t.me/ApdSJKEsuOYzYTky"
"84";"N/A";"qMElXeqYMVRkZjMy";"Канал";"https://t.me/qMElXeqYMVRkZjMy"
"85";"N/A";"14CSThwO5RphYTdi";"Канал";"https://t.me/14CSThwO5RphYTdi"
"86";"N/A";"foodrumedia";"Канал";"https://t.me/foodrumedia"
"87";"N/A";"T5qSzbfqo6MwY2Uy";"Канал";"https://t.me/T5qSzbfqo6MwY2Uy"
"88";"N/A";"sKrDu8CheIQ3NzQ6";"Канал";"https://t.me/sKrDu8CheIQ3NzQ6"
"89";"N/A";"yandexedachannel";"Канал";"https://t.me/yandexedachannel"
"90";"N/A";"bM5Fd8Mcn3kyN2Yy";"Канал";"https://t.me/bM5Fd8Mcn3kyN2Yy"
"91";"N/A";"MmSxqXMyOMcxOWYy";"Канал";"https://t.me/MmSxqXMyOMcxOWYy"
"92";"N/A";"tTFqaFu19ihjNTQy";"Канал";"https://t.me/tTFqaFu19ihjNTQy"
"93";"N/A";"qe3VxMdAobBiYWMy";"Канал";"https://t.me/qe3VxMdAobBiYWMy"
"94";"N/A";"5CXIKk15j1w4OTZi";"Канал";"https://t.me/5CXIKk15j1w4OTZi"
"95";"N/A";"the_ksusha_foodblog";"Канал";"https://t.me/the_ksusha_foodblog"
"96";"N/A";"demiand_grill";"Канал";"https://t.me/demiand_grill"
"97";"N/A";"NeRestorani";"Канал";"https://t.me/NeRestorani"
"98";"N/A";"koteoganezov";"Канал";"https://t.me/koteoganezov"
"99";"N/A";"S76w7FNUMsdDGaR7";"Канал";"https://t.me/S76w7FNUMsdDGaR7"
"100";"N/A";"B4bCmc6Rlls0ZTNi";"Канал";"https://t.me/B4bCmc6Rlls0ZTNi"
"101";"N/A";"HjM-jy5VUnkzNzli";"Канал";"https://t.me/HjM-jy5VUnkzNzli"
"102";"N/A";"kulinar_leniviy";"Канал";"https://t.me/kulinar_leniviy"
"103";"N/A";"XAw70lBqUI02NWFi";"Канал";"https://t.me/XAw70lBqUI02NWFi"
"104";"N/A";"koreakatya";"Канал";"https://t.me/koreakatya"
"105";"N/A";"venera_oss";"Канал";"https://t.me/venera_oss"
"106";"N/A";"kuhnya_recepti_kulinariaa";"Канал";"https://t.me/kuhnya_recepti_kulinariaa"
"107";"N/A";"mos_daily";"Канал";"https://t.me/mos_daily"
"108";"N/A";"h824tty";"Канал";"https://t.me/h824tty"
"109";"N/A";"mashastories1";"Канал";"https://t.me/mashastories1"
"110";"N/A";"ppreceptiki";"Канал";"https://t.me/ppreceptiki"
"111";"N/A";"zagotovki_koncervaciya";"Канал";"https://t.me/zagotovki_koncervaciya"
"112";"N/A";"ubwiOZDE_uBiZDUy";"Канал";"https://t.me/ubwiOZDE_uBiZDUy"
"113";"N/A";"UtN1zYTTKkw0YmJi";"Канал";"https://t.me/UtN1zYTTKkw0YmJi"
