"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"hand_knit";"Канал";"https://t.me/hand_knit"
"2";"N/A";"delotex";"Канал";"https://t.me/delotex"
"3";"N/A";"42UO8BmrQ3ZiMWUy";"Канал";"https://t.me/42UO8BmrQ3ZiMWUy"
"4";"N/A";"ZORqddSmVF4yMjNi";"Канал";"https://t.me/ZORqddSmVF4yMjNi"
"5";"N/A";"nqGD3-esCkg4Y2Qy";"Канал";"https://t.me/nqGD3-esCkg4Y2Qy"
"6";"N/A";"diaivay";"Канал";"https://t.me/diaivay"
"7";"N/A";"46VCtY3tzFc2ODk6";"Канал";"https://t.me/46VCtY3tzFc2ODk6"
"8";"N/A";"mCgbzCG0VvEwNWI6";"Канал";"https://t.me/mCgbzCG0VvEwNWI6"
"9";"N/A";"Gj7w_e9_I5JiNGFi";"Канал";"https://t.me/Gj7w_e9_I5JiNGFi"
"10";"N/A";"wit_prosto";"Канал";"https://t.me/wit_prosto"
"11";"N/A";"4_0ifHWXwjthNzli";"Канал";"https://t.me/4_0ifHWXwjthNzli"
"12";"N/A";"a4bUf3wvJ7ZmYjAy";"Канал";"https://t.me/a4bUf3wvJ7ZmYjAy"
"13";"N/A";"PpEIwJaldbJkOTMy";"Канал";"https://t.me/PpEIwJaldbJkOTMy"
"14";"N/A";"amigurumi_mc";"Канал";"https://t.me/amigurumi_mc"
"15";"N/A";"hobbyideas";"Канал";"https://t.me/hobbyideas"
"16";"N/A";"urokishitya";"Канал";"https://t.me/urokishitya"
"17";"N/A";"AAAAAE53f5PQqfAQCPZPWg";"Канал";"https://t.me/AAAAAE53f5PQqfAQCPZPWg"
"18";"N/A";"R_9vZtWQLVBotYHN";"Канал";"https://t.me/R_9vZtWQLVBotYHN"
"19";"N/A";"9wNbBnzVw0tiMTgy";"Канал";"https://t.me/9wNbBnzVw0tiMTgy"
"20";"N/A";"podarki1idei";"Канал";"https://t.me/podarki1idei"
"21";"N/A";"spize25";"Канал";"https://t.me/spize25"
"22";"N/A";"OmLPeuxqsYdhMzEy";"Канал";"https://t.me/OmLPeuxqsYdhMzEy"
"23";"N/A";"vikroyki_pdff";"Канал";"https://t.me/vikroyki_pdff"
"24";"N/A";"oZ9lYobDup8xODhi";"Канал";"https://t.me/oZ9lYobDup8xODhi"
"25";"N/A";"pdf_vikroyki";"Канал";"https://t.me/pdf_vikroyki"
"26";"N/A";"babushka_rucodelie";"Канал";"https://t.me/babushka_rucodelie"
"27";"N/A";"hand_sewing";"Канал";"https://t.me/hand_sewing"
"28";"N/A";"otkritki_ideas";"Канал";"https://t.me/otkritki_ideas"
"29";"N/A";"JwYjKFOndFQ0NzIy";"Канал";"https://t.me/JwYjKFOndFQ0NzIy"
"30";"N/A";"lihojtoporofficial";"Канал";"https://t.me/lihojtoporofficial"
"31";"N/A";"WDxVjYVuOjpjMjUy";"Канал";"https://t.me/WDxVjYVuOjpjMjUy"
"32";"N/A";"ideasforgirls";"Канал";"https://t.me/ideasforgirls"
"33";"N/A";"stilnoe_vjazanie";"Канал";"https://t.me/stilnoe_vjazanie"
"34";"N/A";"mkcrochet";"Канал";"https://t.me/mkcrochet"
"35";"N/A";"knitforsoul";"Канал";"https://t.me/knitforsoul"
"36";"N/A";"wool_dom_1";"Канал";"https://t.me/wool_dom_1"
"37";"N/A";"iz_bisera_amigurumi";"Канал";"https://t.me/iz_bisera_amigurumi"
"38";"N/A";"vikroyky_free";"Канал";"https://t.me/vikroyky_free"
"39";"N/A";"vjazanye_sumki";"Канал";"https://t.me/vjazanye_sumki"
"40";"N/A";"origamitop1";"Канал";"https://t.me/origamitop1"
"41";"N/A";"2C9p2rHKpSozYWZi";"Канал";"https://t.me/2C9p2rHKpSozYWZi"
"42";"N/A";"igornegodastartuem";"Канал";"https://t.me/igornegodastartuem"
"43";"N/A";"hm_by_polina_mayorova";"Канал";"https://t.me/hm_by_polina_mayorova"
"44";"N/A";"amigurumi_knit";"Канал";"https://t.me/amigurumi_knit"
"45";"N/A";"Sv-5b0kGQxFjOWI6";"Канал";"https://t.me/Sv-5b0kGQxFjOWI6"
"46";"N/A";"natalymasters";"Канал";"https://t.me/natalymasters"
"47";"N/A";"4TOJLJqIwwk5YmUy";"Канал";"https://t.me/4TOJLJqIwwk5YmUy"
"48";"N/A";"WMAacIM6eytkYzhi";"Канал";"https://t.me/WMAacIM6eytkYzhi"
"49";"N/A";"hochu_vyazat";"Канал";"https://t.me/hochu_vyazat"
"50";"N/A";"neskuchnovyazat";"Канал";"https://t.me/neskuchnovyazat"
"51";"N/A";"ok_wickedlynx";"Канал";"https://t.me/ok_wickedlynx"
"52";"N/A";"SZO6xDDulWw0ODky";"Канал";"https://t.me/SZO6xDDulWw0ODky"
"53";"N/A";"worldsewing";"Канал";"https://t.me/worldsewing"
"54";"N/A";"Uhxic-8xdk02NTFi";"Канал";"https://t.me/Uhxic-8xdk02NTFi"
"55";"N/A";"pts0RU_kk-VkZDMy";"Канал";"https://t.me/pts0RU_kk-VkZDMy"
"56";"N/A";"vyshivkaa";"Канал";"https://t.me/vyshivkaa"
"57";"N/A";"patternsvikisews";"Канал";"https://t.me/patternsvikisews"
"58";"N/A";"magic_sunduchek";"Канал";"https://t.me/magic_sunduchek"
"59";"N/A";"sewingpdf";"Канал";"https://t.me/sewingpdf"
"60";"N/A";"Vfpu6Y5mzU5lZWNi";"Канал";"https://t.me/Vfpu6Y5mzU5lZWNi"
"61";"N/A";"tmOMWN0DMANiODYy";"Канал";"https://t.me/tmOMWN0DMANiODYy"
"62";"N/A";"amigurumi_yarn";"Канал";"https://t.me/amigurumi_yarn"
"63";"N/A";"nevzorovaclub";"Канал";"https://t.me/nevzorovaclub"
"64";"N/A";"morosnikov_official";"Канал";"https://t.me/morosnikov_official"
"65";"N/A";"studioyusupova";"Канал";"https://t.me/studioyusupova"
"66";"N/A";"MSevbSfLDao1ZjAy";"Канал";"https://t.me/MSevbSfLDao1ZjAy"
"67";"N/A";"cjvyjq03";"Канал";"https://t.me/cjvyjq03"
"68";"N/A";"morozprint";"Канал";"https://t.me/morozprint"
"69";"N/A";"2QzHf5ukKCYzMDUy";"Канал";"https://t.me/2QzHf5ukKCYzMDUy"
"70";"N/A";"lazy_sewing";"Канал";"https://t.me/lazy_sewing"
"71";"N/A";"Journal_vykroek";"Канал";"https://t.me/Journal_vykroek"
"72";"N/A";"knitting_gr";"Канал";"https://t.me/knitting_gr"
"73";"N/A";"MalihEkaterina";"Канал";"https://t.me/MalihEkaterina"
"74";"N/A";"amigurumi_pattern_free";"Канал";"https://t.me/amigurumi_pattern_free"
"75";"N/A";"femme_handmade";"Канал";"https://t.me/femme_handmade"
"76";"N/A";"I-OhjrEpfrQ2NjQ6";"Канал";"https://t.me/I-OhjrEpfrQ2NjQ6"
"77";"N/A";"vyazanieprosto";"Канал";"https://t.me/vyazanieprosto"
"78";"N/A";"l9rbexZsQEtmOTYy";"Канал";"https://t.me/l9rbexZsQEtmOTYy"
"79";"N/A";"amig_time";"Канал";"https://t.me/amig_time"
"80";"N/A";"eco_rotang";"Канал";"https://t.me/eco_rotang"
"81";"N/A";"X6yeK5lYoBRlZDM0";"Канал";"https://t.me/X6yeK5lYoBRlZDM0"
"82";"N/A";"kopilka_uzorov";"Канал";"https://t.me/kopilka_uzorov"
"83";"N/A";"toys_handmade";"Канал";"https://t.me/toys_handmade"
"84";"N/A";"knitideas";"Канал";"https://t.me/knitideas"
"85";"N/A";"leytuvyjuj4";"Канал";"https://t.me/leytuvyjuj4"
"86";"N/A";"d03YAVgq5RAwNGEy";"Канал";"https://t.me/d03YAVgq5RAwNGEy"
"87";"N/A";"GyM81q7tS4oxMjAy";"Канал";"https://t.me/GyM81q7tS4oxMjAy"
"88";"N/A";"vjazanie_perevod";"Канал";"https://t.me/vjazanie_perevod"
"89";"N/A";"cuteknitting12";"Канал";"https://t.me/cuteknitting12"
"90";"N/A";"iUPvhoHtwS41OTI6";"Канал";"https://t.me/iUPvhoHtwS41OTI6"
"91";"N/A";"t225xT8QjB83OGNi";"Канал";"https://t.me/t225xT8QjB83OGNi"
"92";"N/A";"vyazanie_maria";"Канал";"https://t.me/vyazanie_maria"
"93";"N/A";"tkani_expert";"Канал";"https://t.me/tkani_expert"
"94";"N/A";"knittmi";"Канал";"https://t.me/knittmi"
"95";"N/A";"kniga_ruk";"Канал";"https://t.me/kniga_ruk"
"96";"N/A";"sew_house";"Канал";"https://t.me/sew_house"
"97";"N/A";"Samodelkino";"Канал";"https://t.me/Samodelkino"
"98";"N/A";"burdarussia";"Канал";"https://t.me/burdarussia"
"99";"N/A";"amimore";"Канал";"https://t.me/amimore"
"100";"N/A";"Ul3ulbcB0341NzAy";"Канал";"https://t.me/Ul3ulbcB0341NzAy"
"101";"N/A";"translationamigurumi";"Канал";"https://t.me/translationamigurumi"
"102";"N/A";"shvejnye_idei";"Канал";"https://t.me/shvejnye_idei"
"103";"N/A";"sewing_man";"Канал";"https://t.me/sewing_man"
"104";"N/A";"magicneedle";"Канал";"https://t.me/magicneedle"
"105";"N/A";"nHeBCmGKnzdjYTM6";"Канал";"https://t.me/nHeBCmGKnzdjYTM6"
"106";"N/A";"vyshivka_krestiki";"Канал";"https://t.me/vyshivka_krestiki"
"107";"N/A";"ya_sew";"Канал";"https://t.me/ya_sew"
"108";"N/A";"vikroykirukodeliye";"Канал";"https://t.me/vikroykirukodeliye"
"109";"N/A";"vjazanie_interier";"Канал";"https://t.me/vjazanie_interier"
"110";"N/A";"fabrika_ariel_official";"Канал";"https://t.me/fabrika_ariel_official"
"111";"N/A";"rucodelie2";"Канал";"https://t.me/rucodelie2"
"112";"N/A";"CG_Game_Models";"Канал";"https://t.me/CG_Game_Models"
"113";"N/A";"poufpeople";"Канал";"https://t.me/poufpeople"
"114";"N/A";"vykroikiPDF";"Канал";"https://t.me/vykroikiPDF"
"115";"N/A";"mokim_arafon";"Канал";"https://t.me/mokim_arafon"
"116";"N/A";"lovevjazanie";"Канал";"https://t.me/lovevjazanie"
"117";"N/A";"amigurumisi";"Канал";"https://t.me/amigurumisi"
"118";"N/A";"ami_scheme";"Канал";"https://t.me/ami_scheme"
"119";"N/A";"vyazanie_skhemy";"Канал";"https://t.me/vyazanie_skhemy"
"120";"N/A";"BFvNzvslJe05MDYy";"Канал";"https://t.me/BFvNzvslJe05MDYy"
"121";"N/A";"5ZhABGdXNc41OGI6";"Канал";"https://t.me/5ZhABGdXNc41OGI6"
"122";"N/A";"amiguru";"Канал";"https://t.me/amiguru"
"123";"N/A";"wallsshopru";"Канал";"https://t.me/wallsshopru"
"124";"N/A";"O5I2QwE6hyFmOWM6";"Канал";"https://t.me/O5I2QwE6hyFmOWM6"
"125";"N/A";"InteresnoeRukodelye";"Канал";"https://t.me/InteresnoeRukodelye"
"126";"N/A";"lenassewing";"Канал";"https://t.me/lenassewing"
"127";"N/A";"valentina_wowmaster";"Канал";"https://t.me/valentina_wowmaster"
"128";"N/A";"spizivyaz";"Канал";"https://t.me/spizivyaz"
"129";"N/A";"knigirukodelnici";"Канал";"https://t.me/knigirukodelnici"
"130";"N/A";"knitme";"Канал";"https://t.me/knitme"
"131";"N/A";"Emb_file";"Канал";"https://t.me/Emb_file"
"132";"N/A";"mariteks_tkani";"Канал";"https://t.me/mariteks_tkani"
"133";"N/A";"icrochetlove";"Канал";"https://t.me/icrochetlove"
"134";"N/A";"vikroyki_modelii";"Канал";"https://t.me/vikroyki_modelii"
"135";"N/A";"rzgPY2L4oTo1OTky";"Канал";"https://t.me/rzgPY2L4oTo1OTky"
"136";"N/A";"kozhevnya_Lykova";"Канал";"https://t.me/kozhevnya_Lykova"
"137";"N/A";"needlework1";"Канал";"https://t.me/needlework1"
"138";"N/A";"school_crafts";"Канал";"https://t.me/school_crafts"
"139";"N/A";"vushivkalove";"Канал";"https://t.me/vushivkalove"
"140";"N/A";"amigurum";"Канал";"https://t.me/amigurum"
"141";"N/A";"UID1NTLtuH8yYjky";"Канал";"https://t.me/UID1NTLtuH8yYjky"
"142";"N/A";"vY_7AhLDtZphY2Iy";"Канал";"https://t.me/vY_7AhLDtZphY2Iy"
"143";"N/A";"vazana_obuv";"Канал";"https://t.me/vazana_obuv"
"144";"N/A";"udachnye_momenty_svetlana";"Канал";"https://t.me/udachnye_momenty_svetlana"
"145";"N/A";"challenge_lub";"Канал";"https://t.me/challenge_lub"
"146";"N/A";"vyazaniea";"Канал";"https://t.me/vyazaniea"
"147";"N/A";"-CFByB8V5IhkYjUy";"Канал";"https://t.me/-CFByB8V5IhkYjUy"
"148";"N/A";"shkatulkamk";"Канал";"https://t.me/shkatulkamk"
"149";"N/A";"buono_deco";"Канал";"https://t.me/buono_deco"
"150";"N/A";"vikroykibesplatno";"Канал";"https://t.me/vikroykibesplatno"
"151";"N/A";"polkachudes";"Канал";"https://t.me/polkachudes"
"152";"N/A";"moenizhneebele";"Канал";"https://t.me/moenizhneebele"
"153";"N/A";"iQLf9SNmC4gyZmNi";"Канал";"https://t.me/iQLf9SNmC4gyZmNi"
"154";"N/A";"s_e_w_i_n_g";"Канал";"https://t.me/s_e_w_i_n_g"
"155";"N/A";"yzori_group";"Канал";"https://t.me/yzori_group"
"156";"N/A";"mkVyazanie";"Канал";"https://t.me/mkVyazanie"
"157";"N/A";"sizhu_vjazhu";"Канал";"https://t.me/sizhu_vjazhu"
"158";"N/A";"HeARTwood_official";"Канал";"https://t.me/HeARTwood_official"
"159";"N/A";"djozbag";"Канал";"https://t.me/djozbag"
"160";"N/A";"creative_knit";"Канал";"https://t.me/creative_knit"
