"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"futazhii";"Канал";"https://t.me/futazhii"
"2";"N/A";"capcutemplates1";"Канал";"https://t.me/capcutemplates1"
"3";"N/A";"jenskiydom";"Канал";"https://t.me/jenskiydom"
"4";"N/A";"visualtop";"Канал";"https://t.me/visualtop"
"5";"N/A";"vidstor";"Канал";"https://t.me/vidstor"
"6";"N/A";"fotodlyapranka1";"Канал";"https://t.me/fotodlyapranka1"
"7";"N/A";"piaceimpresets";"Канал";"https://t.me/piaceimpresets"
"8";"N/A";"s_golovoj";"Канал";"https://t.me/s_golovoj"
"9";"N/A";"storisgid";"Канал";"https://t.me/storisgid"
"10";"N/A";"foryourinst_18";"Канал";"https://t.me/foryourinst_18"
"11";"N/A";"silastories";"Канал";"https://t.me/silastories"
"12";"N/A";"stories_sticke";"Канал";"https://t.me/stories_sticke"
"13";"N/A";"pngshi";"Канал";"https://t.me/pngshi"
"14";"N/A";"memreels";"Канал";"https://t.me/memreels"
"15";"N/A";"vibe_stories";"Канал";"https://t.me/vibe_stories"
"16";"N/A";"nashpilkach";"Канал";"https://t.me/nashpilkach"
"17";"N/A";"vseprostoriespng";"Канал";"https://t.me/vseprostoriespng"
"18";"N/A";"storiesstoreee";"Канал";"https://t.me/storiesstoreee"
"19";"N/A";"inststoriesss";"Канал";"https://t.me/inststoriesss"
"20";"N/A";"mendomik";"Канал";"https://t.me/mendomik"
"21";"N/A";"goooddaysssss";"Канал";"https://t.me/goooddaysssss"
"22";"N/A";"presetyu";"Канал";"https://t.me/presetyu"
"23";"N/A";"divizdes";"Канал";"https://t.me/divizdes"
"24";"N/A";"BitchFake";"Канал";"https://t.me/BitchFake"
"25";"N/A";"Abramovskaya_Lusya";"Канал";"https://t.me/Abramovskaya_Lusya"
"26";"N/A";"reelstutor";"Канал";"https://t.me/reelstutor"
"27";"N/A";"smm_combo";"Канал";"https://t.me/smm_combo"
"28";"N/A";"persefoone";"Канал";"https://t.me/persefoone"
"29";"N/A";"aniri_prostories";"Канал";"https://t.me/aniri_prostories"
"30";"N/A";"stickerssni";"Канал";"https://t.me/stickerssni"
"31";"N/A";"allstori";"Канал";"https://t.me/allstori"
"32";"N/A";"kuulesh";"Канал";"https://t.me/kuulesh"
"33";"N/A";"AoSK6FR5CT5jNWQy";"Канал";"https://t.me/AoSK6FR5CT5jNWQy"
"34";"N/A";"Storymakersss";"Канал";"https://t.me/Storymakersss"
"35";"N/A";"ggenttleman";"Канал";"https://t.me/ggenttleman"
"36";"N/A";"creative_blogging";"Канал";"https://t.me/creative_blogging"
"37";"N/A";"menklub";"Канал";"https://t.me/menklub"
"38";"N/A";"topchikstory";"Канал";"https://t.me/topchikstory"
"39";"N/A";"storiesmagic2022";"Канал";"https://t.me/storiesmagic2022"
"40";"N/A";"Oblozki_free";"Канал";"https://t.me/Oblozki_free"
"41";"N/A";"beautifulinsta";"Канал";"https://t.me/beautifulinsta"
"42";"N/A";"Stories_png_7";"Канал";"https://t.me/Stories_png_7"
"43";"N/A";"lerushka_a_a";"Канал";"https://t.me/lerushka_a_a"
"44";"N/A";"luxstoris";"Канал";"https://t.me/luxstoris"
"45";"N/A";"storiesinstaa";"Канал";"https://t.me/storiesinstaa"
"46";"N/A";"gotovie_storis";"Канал";"https://t.me/gotovie_storis"
"47";"N/A";"creativity_ch";"Канал";"https://t.me/creativity_ch"
"48";"N/A";"delaimem";"Канал";"https://t.me/delaimem"
"49";"N/A";"storisexboy";"Канал";"https://t.me/storisexboy"
"50";"N/A";"artemronin";"Канал";"https://t.me/artemronin"
"51";"N/A";"alena_tolmacheva";"Канал";"https://t.me/alena_tolmacheva"
"52";"N/A";"stiker_gifka";"Канал";"https://t.me/stiker_gifka"
"53";"N/A";"scenariistoris";"Канал";"https://t.me/scenariistoris"
"54";"N/A";"stories_veis_sveta";"Канал";"https://t.me/stories_veis_sveta"
"55";"N/A";"for_stories";"Канал";"https://t.me/for_stories"
"56";"N/A";"semero4ka_videomaker";"Канал";"https://t.me/semero4ka_videomaker"
"57";"N/A";"stories_gaid";"Канал";"https://t.me/stories_gaid"
"58";"N/A";"pro_vizyal";"Канал";"https://t.me/pro_vizyal"
"59";"N/A";"AAAAAEZPE6mBC9uQh-6yDQ";"Канал";"https://t.me/AAAAAEZPE6mBC9uQh-6yDQ"
"60";"N/A";"AAAAAFlN9aDCjWVrE8-VPQ";"Канал";"https://t.me/AAAAAFlN9aDCjWVrE8-VPQ"
"61";"N/A";"gamesinsta";"Канал";"https://t.me/gamesinsta"
"62";"N/A";"strekoza221122";"Канал";"https://t.me/strekoza221122"
"63";"N/A";"storiespng0";"Канал";"https://t.me/storiespng0"
"64";"N/A";"pozlii";"Канал";"https://t.me/pozlii"
"65";"N/A";"kalinovastories";"Канал";"https://t.me/kalinovastories"
"66";"N/A";"AAAAAEnbF4NckJv6RBuuTg";"Канал";"https://t.me/AAAAAEnbF4NckJv6RBuuTg"
"67";"N/A";"AAAAAEw8rRWmHpGgG3T2Ig";"Канал";"https://t.me/AAAAAEw8rRWmHpGgG3T2Ig"
"68";"N/A";"im_moms_creator";"Канал";"https://t.me/im_moms_creator"
"69";"N/A";"beauty_visual";"Канал";"https://t.me/beauty_visual"
"70";"N/A";"instastoriesfree";"Канал";"https://t.me/instastoriesfree"
"71";"N/A";"ttvoi_pinterest";"Канал";"https://t.me/ttvoi_pinterest"
"72";"N/A";"AAAAAEfBNQpAr1OwWMctdg";"Канал";"https://t.me/AAAAAEfBNQpAr1OwWMctdg"
"73";"N/A";"storiesaestheticstop";"Канал";"https://t.me/storiesaestheticstop"
"74";"N/A";"stories_club";"Канал";"https://t.me/stories_club"
"75";"N/A";"capcuttemplate2024";"Канал";"https://t.me/capcuttemplate2024"
"76";"N/A";"pngmali";"Канал";"https://t.me/pngmali"
"77";"N/A";"anton_maker_tg";"Канал";"https://t.me/anton_maker_tg"
"78";"N/A";"ideasforphotoinst";"Канал";"https://t.me/ideasforphotoinst"
"79";"N/A";"burimovavisual";"Канал";"https://t.me/burimovavisual"
"80";"N/A";"oformleniye_mariya";"Канал";"https://t.me/oformleniye_mariya"
"81";"N/A";"AAAAAEMCs1wsyehc4O9mxg";"Канал";"https://t.me/AAAAAEMCs1wsyehc4O9mxg"
"82";"N/A";"instajoin";"Канал";"https://t.me/instajoin"
"83";"N/A";"yasenkaas";"Канал";"https://t.me/yasenkaas"
"84";"N/A";"png_min";"Канал";"https://t.me/png_min"
