"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"domeoru";"Канал";"https://t.me/domeoru"
"2";"N/A";"3IcZibkv65QxNTBi";"Канал";"https://t.me/3IcZibkv65QxNTBi"
"3";"N/A";"AAAAAFDLO3isWhuHliH7mg";"Канал";"https://t.me/AAAAAFDLO3isWhuHliH7mg"
"4";"N/A";"pik_ru";"Канал";"https://t.me/pik_ru"
"5";"N/A";"Byb93UgFhq4yNWIy";"Канал";"https://t.me/Byb93UgFhq4yNWIy"
"6";"N/A";"AAAAAEMyYVaEVqf6qMUEAQ";"Канал";"https://t.me/AAAAAEMyYVaEVqf6qMUEAQ"
"7";"N/A";"KlqVBcpkujg4MGJi";"Канал";"https://t.me/KlqVBcpkujg4MGJi"
"8";"N/A";"AAAAAEnehdflhXE2rVX_7w";"Канал";"https://t.me/AAAAAEnehdflhXE2rVX_7w"
"9";"N/A";"gHE47kPXgIcyZjFi";"Канал";"https://t.me/gHE47kPXgIcyZjFi"
"10";"N/A";"gk_fsk";"Канал";"https://t.me/gk_fsk"
"11";"N/A";"1f9tPsg1MBRkNGMy";"Канал";"https://t.me/1f9tPsg1MBRkNGMy"
"12";"N/A";"DHkOyxqbNPw3OGMy";"Канал";"https://t.me/DHkOyxqbNPw3OGMy"
"13";"N/A";"6wR7XQ2WqmsyZWQy";"Канал";"https://t.me/6wR7XQ2WqmsyZWQy"
"14";"N/A";"decor_journal";"Канал";"https://t.me/decor_journal"
"15";"N/A";"TbtMrgKcPGDvgvyh";"Канал";"https://t.me/TbtMrgKcPGDvgvyh"
"16";"N/A";"postroim_dom";"Канал";"https://t.me/postroim_dom"
"17";"N/A";"AAAAAFhAOtz_XSxmsdd-WA";"Канал";"https://t.me/AAAAAFhAOtz_XSxmsdd-WA"
"18";"N/A";"pervyidsk";"Канал";"https://t.me/pervyidsk"
"19";"N/A";"DMlo-10QvMFiNGJi";"Канал";"https://t.me/DMlo-10QvMFiNGJi"
"20";"N/A";"macters";"Канал";"https://t.me/macters"
"21";"N/A";"zY50I6LgyO8yNGUy";"Канал";"https://t.me/zY50I6LgyO8yNGUy"
"22";"N/A";"tvoudom_mechty";"Канал";"https://t.me/tvoudom_mechty"
"23";"N/A";"homeasy";"Канал";"https://t.me/homeasy"
"24";"N/A";"dezigas";"Канал";"https://t.me/dezigas"
"25";"N/A";"rukasty";"Канал";"https://t.me/rukasty"
"26";"N/A";"I2N9ksBb2UQyYWVi";"Канал";"https://t.me/I2N9ksBb2UQyYWVi"
"27";"N/A";"bdPoQKGb55U0OGMy";"Канал";"https://t.me/bdPoQKGb55U0OGMy"
"28";"N/A";"gGJVpZkdMNpkYmRi";"Канал";"https://t.me/gGJVpZkdMNpkYmRi"
"29";"N/A";"fdS3wXDPL7NjYTFi";"Канал";"https://t.me/fdS3wXDPL7NjYTFi"
"30";"N/A";"U0sdclPa8s8yNGZi";"Канал";"https://t.me/U0sdclPa8s8yNGZi"
"31";"N/A";"T7U-y3MRxGljNWY6";"Канал";"https://t.me/T7U-y3MRxGljNWY6"
"32";"N/A";"dNuYffhRW2diMzM6";"Канал";"https://t.me/dNuYffhRW2diMzM6"
"33";"N/A";"1dZMGKRnY0ZiZGQy";"Канал";"https://t.me/1dZMGKRnY0ZiZGQy"
"34";"N/A";"sam_remont";"Канал";"https://t.me/sam_remont"
"35";"N/A";"EgXZxgu-WowwZDZi";"Канал";"https://t.me/EgXZxgu-WowwZDZi"
"36";"N/A";"_fIzeF0BhWY5NDgy";"Канал";"https://t.me/_fIzeF0BhWY5NDgy"
"37";"N/A";"dbGbJu2JZPE1ZjU8";"Канал";"https://t.me/dbGbJu2JZPE1ZjU8"
"38";"N/A";"-HtMmJMb3F01N2Zi";"Канал";"https://t.me/-HtMmJMb3F01N2Zi"
"39";"N/A";"flats_for_friend";"Канал";"https://t.me/flats_for_friend"
"40";"N/A";"20tI97yd_IRjNTMy";"Канал";"https://t.me/20tI97yd_IRjNTMy"
"41";"N/A";"4taTVuWb1EU3NGQy";"Канал";"https://t.me/4taTVuWb1EU3NGQy"
"42";"N/A";"msc_estate";"Канал";"https://t.me/msc_estate"
"43";"N/A";"LzmjFhTUD6UxNTli";"Канал";"https://t.me/LzmjFhTUD6UxNTli"
"44";"N/A";"school_dekor";"Канал";"https://t.me/school_dekor"
"45";"N/A";"6jC4uhei21c1YjQy";"Канал";"https://t.me/6jC4uhei21c1YjQy"
"46";"N/A";"AAAAAE56hcYm9ayUoTR4Eg";"Канал";"https://t.me/AAAAAE56hcYm9ayUoTR4Eg"
"47";"N/A";"3KbnyhzDFWBjYjFi";"Канал";"https://t.me/3KbnyhzDFWBjYjFi"
"48";"N/A";"B8-qBq89-cI3ODAy";"Канал";"https://t.me/B8-qBq89-cI3ODAy"
"49";"N/A";"interior_wi";"Канал";"https://t.me/interior_wi"
"50";"N/A";"sUdmMMOMvxo1MDQy";"Канал";"https://t.me/sUdmMMOMvxo1MDQy"
"51";"N/A";"rerooms_design";"Канал";"https://t.me/rerooms_design"
"52";"N/A";"arkhlikbez";"Канал";"https://t.me/arkhlikbez"
"53";"N/A";"emIMrDA2YcRlNjQy";"Канал";"https://t.me/emIMrDA2YcRlNjQy"
"54";"N/A";"ychactok";"Канал";"https://t.me/ychactok"
"55";"N/A";"kvartira_interero_stroitelstvo";"Канал";"https://t.me/kvartira_interero_stroitelstvo"
"56";"N/A";"RussiaBuild";"Канал";"https://t.me/RussiaBuild"
"57";"N/A";"FJMuunOL5bVhNjgy";"Канал";"https://t.me/FJMuunOL5bVhNjgy"
"58";"N/A";"architectures_plus_city";"Канал";"https://t.me/architectures_plus_city"
"59";"N/A";"novostroi_baza";"Канал";"https://t.me/novostroi_baza"
"60";"N/A";"2MVtMY6nUuY2MjM6";"Канал";"https://t.me/2MVtMY6nUuY2MjM6"
"61";"N/A";"proekt_dizain";"Канал";"https://t.me/proekt_dizain"
"62";"N/A";"ikea_diz";"Канал";"https://t.me/ikea_diz"
"63";"N/A";"sbvX-LMBp1cxZjQ6";"Канал";"https://t.me/sbvX-LMBp1cxZjQ6"
"64";"N/A";"idei_sdelay_sam";"Канал";"https://t.me/idei_sdelay_sam"
"65";"N/A";"dachadomremont";"Канал";"https://t.me/dachadomremont"
"66";"N/A";"oqQs5mxL8TdjYTJi";"Канал";"https://t.me/oqQs5mxL8TdjYTJi"
"67";"N/A";"stroitelstvo_kvartira_interero";"Канал";"https://t.me/stroitelstvo_kvartira_interero"
"68";"N/A";"alexis_home";"Канал";"https://t.me/alexis_home"
"69";"N/A";"XT80Q7wTsE8zMTYy";"Канал";"https://t.me/XT80Q7wTsE8zMTYy"
"70";"N/A";"VseInstrumentiruDIY";"Канал";"https://t.me/VseInstrumentiruDIY"
"71";"N/A";"tddomovoy";"Канал";"https://t.me/tddomovoy"
"72";"N/A";"ggreat_of_development";"Канал";"https://t.me/ggreat_of_development"
"73";"N/A";"uDmLr6B4h1syOWJi";"Канал";"https://t.me/uDmLr6B4h1syOWJi"
"74";"N/A";"nedvigim_rf";"Канал";"https://t.me/nedvigim_rf"
"75";"N/A";"glyanka_ru";"Канал";"https://t.me/glyanka_ru"
"76";"N/A";"-6C1qlA04H1hMDEy";"Канал";"https://t.me/-6C1qlA04H1hMDEy"
"77";"N/A";"dizainer";"Канал";"https://t.me/dizainer"
"78";"N/A";"5UjNajR6gNZhY2U6";"Канал";"https://t.me/5UjNajR6gNZhY2U6"
"79";"N/A";"yut_interior";"Канал";"https://t.me/yut_interior"
"80";"N/A";"wallstalks";"Канал";"https://t.me/wallstalks"
"81";"N/A";"remontvkvartyre";"Канал";"https://t.me/remontvkvartyre"
"82";"N/A";"interiors_home";"Канал";"https://t.me/interiors_home"
"83";"N/A";"kirptelegraph";"Канал";"https://t.me/kirptelegraph"
"84";"N/A";"idei_decora_doma";"Канал";"https://t.me/idei_decora_doma"
"85";"N/A";"proekt_stroyka";"Канал";"https://t.me/proekt_stroyka"
"86";"N/A";"dom_designe";"Канал";"https://t.me/dom_designe"
"87";"N/A";"kvadrat_insides";"Канал";"https://t.me/kvadrat_insides"
"88";"N/A";"proektmechty";"Канал";"https://t.me/proektmechty"
"89";"N/A";"wEXDD7zhQwRmNzEy";"Канал";"https://t.me/wEXDD7zhQwRmNzEy"
"90";"N/A";"PROECT_DOMOV";"Канал";"https://t.me/PROECT_DOMOV"
"91";"N/A";"inmyroom";"Канал";"https://t.me/inmyroom"
"92";"N/A";"nedvyzhka_novosty";"Канал";"https://t.me/nedvyzhka_novosty"
"93";"N/A";"cool_construction";"Канал";"https://t.me/cool_construction"
"94";"N/A";"QzsJT9DyXLE4Mjky";"Канал";"https://t.me/QzsJT9DyXLE4Mjky"
"95";"N/A";"thedekoroom";"Канал";"https://t.me/thedekoroom"
"96";"N/A";"Building715";"Канал";"https://t.me/Building715"
"97";"N/A";"Bevzenkocom";"Канал";"https://t.me/Bevzenkocom"
"98";"N/A";"dom_tvoey_mechty";"Канал";"https://t.me/dom_tvoey_mechty"
"99";"N/A";"cvSe2gJDtx81NDcy";"Канал";"https://t.me/cvSe2gJDtx81NDcy"
"100";"N/A";"IdEi_dlya_DoMaa";"Канал";"https://t.me/IdEi_dlya_DoMaa"
"101";"N/A";"69zk4JxaR_thNGQy";"Канал";"https://t.me/69zk4JxaR_thNGQy"
"102";"N/A";"interior_collection";"Канал";"https://t.me/interior_collection"
"103";"N/A";"lTlA-DLmScpiNDNi";"Канал";"https://t.me/lTlA-DLmScpiNDNi"
"104";"N/A";"diskill_di";"Канал";"https://t.me/diskill_di"
"105";"N/A";"dtxnZnVD2IdkODhi";"Канал";"https://t.me/dtxnZnVD2IdkODhi"
"106";"N/A";"stroiteltut";"Канал";"https://t.me/stroiteltut"
"107";"N/A";"flowwow_tg";"Канал";"https://t.me/flowwow_tg"
"108";"N/A";"mansea8";"Канал";"https://t.me/mansea8"
"109";"N/A";"AAAAAFUUVPS5JXx5vW6h4w";"Канал";"https://t.me/AAAAAFUUVPS5JXx5vW6h4w"
"110";"N/A";"ZzN3LdLPxBQ3MzIy";"Канал";"https://t.me/ZzN3LdLPxBQ3MzIy"
"111";"N/A";"kakzhivutdrugie";"Канал";"https://t.me/kakzhivutdrugie"
"112";"N/A";"PankovaHome";"Канал";"https://t.me/PankovaHome"
"113";"N/A";"dizain_bl0g";"Канал";"https://t.me/dizain_bl0g"
"114";"N/A";"lemanapro_biznes";"Канал";"https://t.me/lemanapro_biznes"
"115";"N/A";"interiorplusdesign";"Канал";"https://t.me/interiorplusdesign"
"116";"N/A";"znaet_petrovich";"Канал";"https://t.me/znaet_petrovich"
"117";"N/A";"kpj8g2hoVPthZGE6";"Канал";"https://t.me/kpj8g2hoVPthZGE6"
"118";"N/A";"t-3CGKaIAas3ODAy";"Канал";"https://t.me/t-3CGKaIAas3ODAy"
"119";"N/A";"cozyhometoday";"Канал";"https://t.me/cozyhometoday"
"120";"N/A";"misha_des";"Канал";"https://t.me/misha_des"
"121";"N/A";"X0KMGBhJrhBhMjli";"Канал";"https://t.me/X0KMGBhJrhBhMjli"
"122";"N/A";"hUg2GsPq1V45N2Ri";"Канал";"https://t.me/hUg2GsPq1V45N2Ri"
"123";"N/A";"rodnaya_dac4a";"Канал";"https://t.me/rodnaya_dac4a"
"124";"N/A";"KvxGQC6A42o4MWVi";"Канал";"https://t.me/KvxGQC6A42o4MWVi"
"125";"N/A";"design_diy";"Канал";"https://t.me/design_diy"
"126";"N/A";"NatashkaPLUS";"Канал";"https://t.me/NatashkaPLUS"
"127";"N/A";"mIWbUn-hB-kyYmMy";"Канал";"https://t.me/mIWbUn-hB-kyYmMy"
"128";"N/A";"yuloo";"Канал";"https://t.me/yuloo"
"129";"N/A";"novostroyman";"Канал";"https://t.me/novostroyman"
"130";"N/A";"qe0QaCAfPKo2M2I6";"Канал";"https://t.me/qe0QaCAfPKo2M2I6"
"131";"N/A";"RussianArchitecture";"Канал";"https://t.me/RussianArchitecture"
"132";"N/A";"paritet_development";"Канал";"https://t.me/paritet_development"
"133";"N/A";"dom_mas";"Канал";"https://t.me/dom_mas"
"134";"N/A";"gici7rPctbU5YTky";"Канал";"https://t.me/gici7rPctbU5YTky"
"135";"N/A";"buro_designn";"Канал";"https://t.me/buro_designn"
"136";"N/A";"comfortindetal";"Канал";"https://t.me/comfortindetal"
"137";"N/A";"S1LMaR9VGtQxOGI6";"Канал";"https://t.me/S1LMaR9VGtQxOGI6"
"138";"N/A";"smart_desig";"Канал";"https://t.me/smart_desig"
"139";"N/A";"LUKm0mx47qdiNjYy";"Канал";"https://t.me/LUKm0mx47qdiNjYy"
"140";"N/A";"geometrium_school";"Канал";"https://t.me/geometrium_school"
"141";"N/A";"EQ7vsbLAJstmYjY6";"Канал";"https://t.me/EQ7vsbLAJstmYjY6"
"142";"N/A";"IDEI_HOUSE";"Канал";"https://t.me/IDEI_HOUSE"
"143";"N/A";"forumhouseru";"Канал";"https://t.me/forumhouseru"
"144";"N/A";"dizaina";"Канал";"https://t.me/dizaina"
"145";"N/A";"developers_policy";"Канал";"https://t.me/developers_policy"
"146";"N/A";"KBlBrCT-jFg2OTBi";"Канал";"https://t.me/KBlBrCT-jFg2OTBi"
"147";"N/A";"U3BPSJVq89lmOWMy";"Канал";"https://t.me/U3BPSJVq89lmOWMy"
"148";"N/A";"CbuCoi8kP0g3MWIy";"Канал";"https://t.me/CbuCoi8kP0g3MWIy"
"149";"N/A";"M3txAOcdrT04YmVi";"Канал";"https://t.me/M3txAOcdrT04YmVi"
"150";"N/A";"PabtwIvx_k1iYTYy";"Канал";"https://t.me/PabtwIvx_k1iYTYy"
"151";"N/A";"ZQTybEt7EPU0NmNi";"Канал";"https://t.me/ZQTybEt7EPU0NmNi"
"152";"N/A";"wPr8hho4WTQ2ODky";"Канал";"https://t.me/wPr8hho4WTQ2ODky"
"153";"N/A";"moscash";"Канал";"https://t.me/moscash"
"154";"N/A";"zimanzone";"Канал";"https://t.me/zimanzone"
"155";"N/A";"aliehome";"Канал";"https://t.me/aliehome"
"156";"N/A";"hoff_inspiration";"Канал";"https://t.me/hoff_inspiration"
"157";"N/A";"-a815z_QnHw1NjUy";"Канал";"https://t.me/-a815z_QnHw1NjUy"
"158";"N/A";"gre4ark";"Канал";"https://t.me/gre4ark"
"159";"N/A";"M5_T38O9hI0wY2Qy";"Канал";"https://t.me/M5_T38O9hI0wY2Qy"
"160";"N/A";"domostroy_channel";"Канал";"https://t.me/domostroy_channel"
"161";"N/A";"GXVaEpj0nts0MjNi";"Канал";"https://t.me/GXVaEpj0nts0MjNi"
"162";"N/A";"Dyl7Wpx6n84wZTEy";"Канал";"https://t.me/Dyl7Wpx6n84wZTEy"
"163";"N/A";"model_3dsmax";"Канал";"https://t.me/model_3dsmax"
"164";"N/A";"prozru";"Канал";"https://t.me/prozru"
"165";"N/A";"simsimmsk";"Канал";"https://t.me/simsimmsk"
"166";"N/A";"proekty_domov0";"Канал";"https://t.me/proekty_domov0"
"167";"N/A";"belinstrument";"Канал";"https://t.me/belinstrument"
"168";"N/A";"free_3ddd";"Канал";"https://t.me/free_3ddd"
"169";"N/A";"slezhuza_realty";"Канал";"https://t.me/slezhuza_realty"
"170";"N/A";"officialdivanru";"Канал";"https://t.me/officialdivanru"
"171";"N/A";"ZRT-HBAt_KllMWUy";"Канал";"https://t.me/ZRT-HBAt_KllMWUy"
"172";"N/A";"Vkhu_as8efQwYzky";"Канал";"https://t.me/Vkhu_as8efQwYzky"
"173";"N/A";"AAAAAFGjjdnWIl20Wam9CA";"Канал";"https://t.me/AAAAAFGjjdnWIl20Wam9CA"
"174";"N/A";"desingokey";"Канал";"https://t.me/desingokey"
"175";"N/A";"remont5designe";"Канал";"https://t.me/remont5designe"
"176";"N/A";"stroi_news";"Канал";"https://t.me/stroi_news"
"177";"N/A";"lookdekor";"Канал";"https://t.me/lookdekor"
"178";"N/A";"fashionpaper";"Канал";"https://t.me/fashionpaper"
"179";"N/A";"pro3dmodels_official";"Канал";"https://t.me/pro3dmodels_official"
"180";"N/A";"azbukadizaina";"Канал";"https://t.me/azbukadizaina"
"181";"N/A";"magic_home_decor";"Канал";"https://t.me/magic_home_decor"
"182";"N/A";"startyprodazh";"Канал";"https://t.me/startyprodazh"
"183";"N/A";"dmbt_media";"Канал";"https://t.me/dmbt_media"
"184";"N/A";"HORZ4ig0UzBlMWRi";"Канал";"https://t.me/HORZ4ig0UzBlMWRi"
"185";"N/A";"malenkayakvartira1";"Канал";"https://t.me/malenkayakvartira1"
"186";"N/A";"house_yuut";"Канал";"https://t.me/house_yuut"
"187";"N/A";"mydecorrussia";"Канал";"https://t.me/mydecorrussia"
"188";"N/A";"penzinalena";"Канал";"https://t.me/penzinalena"
"189";"N/A";"thehomeest";"Канал";"https://t.me/thehomeest"
"190";"N/A";"arxitek03";"Канал";"https://t.me/arxitek03"
"191";"N/A";"b-veQmkuhgUyN2Ri";"Канал";"https://t.me/b-veQmkuhgUyN2Ri"
"192";"N/A";"X_7ETR3pbqRlOWE6";"Канал";"https://t.me/X_7ETR3pbqRlOWE6"
"193";"N/A";"russiasmartcity";"Канал";"https://t.me/russiasmartcity"
"194";"N/A";"remont_na5";"Канал";"https://t.me/remont_na5"
"195";"N/A";"prostoremont";"Канал";"https://t.me/prostoremont"
"196";"N/A";"lab_remont";"Канал";"https://t.me/lab_remont"
"197";"N/A";"likvy_furniture_outlet";"Канал";"https://t.me/likvy_furniture_outlet"
"198";"N/A";"cozyhomerus";"Канал";"https://t.me/cozyhomerus"
"199";"N/A";"brusnikacompany";"Канал";"https://t.me/brusnikacompany"
"200";"N/A";"ivd_ru";"Канал";"https://t.me/ivd_ru"
"201";"N/A";"eUpLPOqRgMZhNTAy";"Канал";"https://t.me/eUpLPOqRgMZhNTAy"
"202";"N/A";"sima_land";"Канал";"https://t.me/sima_land"
"203";"N/A";"dach_ogorod";"Канал";"https://t.me/dach_ogorod"
"204";"N/A";"olya_homestaging";"Канал";"https://t.me/olya_homestaging"
"205";"N/A";"ya_na_vanilla";"Канал";"https://t.me/ya_na_vanilla"
"206";"N/A";"uragankuznetsov";"Канал";"https://t.me/uragankuznetsov"
"207";"N/A";"AThpzQ92tsI3Zjgy";"Канал";"https://t.me/AThpzQ92tsI3Zjgy"
"208";"N/A";"casacozy";"Канал";"https://t.me/casacozy"
"209";"N/A";"lifecircles_blog";"Канал";"https://t.me/lifecircles_blog"
"210";"N/A";"antipinantipin";"Канал";"https://t.me/antipinantipin"
"211";"N/A";"izhs_channel";"Канал";"https://t.me/izhs_channel"
"212";"N/A";"ad_interior";"Канал";"https://t.me/ad_interior"
"213";"N/A";"ustrou";"Канал";"https://t.me/ustrou"
"214";"N/A";"alicozy";"Канал";"https://t.me/alicozy"
"215";"N/A";"homelyandiya";"Канал";"https://t.me/homelyandiya"
"216";"N/A";"ahuytno";"Канал";"https://t.me/ahuytno"
"217";"N/A";"kPM4tqH-ZU41YTEy";"Канал";"https://t.me/kPM4tqH-ZU41YTEy"
"218";"N/A";"domrf_life";"Канал";"https://t.me/domrf_life"
"219";"N/A";"zNzw-Utgm20zZjFi";"Канал";"https://t.me/zNzw-Utgm20zZjFi"
"220";"N/A";"m21tF5ckfyEwZjAy";"Канал";"https://t.me/m21tF5ckfyEwZjAy"
"221";"N/A";"proekt_mas";"Канал";"https://t.me/proekt_mas"
"222";"N/A";"4ZdVhLeSh140YmRi";"Канал";"https://t.me/4ZdVhLeSh140YmRi"
"223";"N/A";"timremont1";"Канал";"https://t.me/timremont1"
"224";"N/A";"homepinterest";"Канал";"https://t.me/homepinterest"
"225";"N/A";"umestentorg";"Канал";"https://t.me/umestentorg"
"226";"N/A";"kuhnevru";"Канал";"https://t.me/kuhnevru"
"227";"N/A";"hitrosti_dizaina";"Канал";"https://t.me/hitrosti_dizaina"
"228";"N/A";"wrld_estate";"Канал";"https://t.me/wrld_estate"
"229";"N/A";"mf_marya";"Канал";"https://t.me/mf_marya"
"230";"N/A";"DekorDom2";"Канал";"https://t.me/DekorDom2"
"231";"N/A";"Sv6sHWHs7F5iMzYy";"Канал";"https://t.me/Sv6sHWHs7F5iMzYy"
"232";"N/A";"zaboris";"Канал";"https://t.me/zaboris"
"233";"N/A";"delazemelnie";"Канал";"https://t.me/delazemelnie"
"234";"N/A";"Smart_buiIder";"Канал";"https://t.me/Smart_buiIder"
"235";"N/A";"skdesigntg";"Канал";"https://t.me/skdesigntg"
"236";"N/A";"dnJALv5ZBcw1OWE6";"Канал";"https://t.me/dnJALv5ZBcw1OWE6"
"237";"N/A";"idei_dlya_doma_i_dachi";"Канал";"https://t.me/idei_dlya_doma_i_dachi"
"238";"N/A";"w-uMdPmPge8xY2Jk";"Канал";"https://t.me/w-uMdPmPge8xY2Jk"
"239";"N/A";"uNPjhazcStkzMjk0";"Канал";"https://t.me/uNPjhazcStkzMjk0"
"240";"N/A";"uyut_house";"Канал";"https://t.me/uyut_house"
"241";"N/A";"iliilitop";"Канал";"https://t.me/iliilitop"
"242";"N/A";"tg_estate_news";"Канал";"https://t.me/tg_estate_news"
"243";"N/A";"ivanov_yuriy_usi";"Канал";"https://t.me/ivanov_yuriy_usi"
"244";"N/A";"rooffer1";"Канал";"https://t.me/rooffer1"
"245";"N/A";"yut_for_home";"Канал";"https://t.me/yut_for_home"
"246";"N/A";"gradpolitica_mos";"Канал";"https://t.me/gradpolitica_mos"
"247";"N/A";"megabudka";"Канал";"https://t.me/megabudka"
"248";"N/A";"found_n";"Канал";"https://t.me/found_n"
"249";"N/A";"4-DQ4lGMjxkyYThi";"Канал";"https://t.me/4-DQ4lGMjxkyYThi"
"250";"N/A";"zTIr7bgblfphYTE6";"Канал";"https://t.me/zTIr7bgblfphYTE6"
"251";"N/A";"ihOYdEBZfJYxYWNi";"Канал";"https://t.me/ihOYdEBZfJYxYWNi"
"252";"N/A";"moscow_pro_fkr";"Канал";"https://t.me/moscow_pro_fkr"
