"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"lexicona";"Канал";"https://t.me/lexicona"
"2";"N/A";"fuckingenglish";"Канал";"https://t.me/fuckingenglish"
"3";"N/A";"english2020easy";"Канал";"https://t.me/english2020easy"
"4";"N/A";"state_english";"Канал";"https://t.me/state_english"
"5";"N/A";"Pycckuu_MAT";"Канал";"https://t.me/Pycckuu_MAT"
"6";"N/A";"petya_english";"Канал";"https://t.me/petya_english"
"7";"N/A";"gramotnaya_rech";"Канал";"https://t.me/gramotnaya_rech"
"8";"N/A";"EnglishBestChannel";"Канал";"https://t.me/EnglishBestChannel"
"9";"N/A";"Lingvaa";"Канал";"https://t.me/Lingvaa"
"10";"N/A";"yezhu_ponyatno";"Канал";"https://t.me/yezhu_ponyatno"
"11";"N/A";"ruGrammar";"Канал";"https://t.me/ruGrammar"
"12";"N/A";"deutschonline";"Канал";"https://t.me/deutschonline"
"13";"N/A";"englishmaria";"Канал";"https://t.me/englishmaria"
"14";"N/A";"Iju91Cf-qhkyNjhi";"Канал";"https://t.me/Iju91Cf-qhkyNjhi"
"15";"N/A";"skyengweekly";"Канал";"https://t.me/skyengweekly"
"16";"N/A";"spaceofeng";"Канал";"https://t.me/spaceofeng"
"17";"N/A";"dolgih_umrus";"Канал";"https://t.me/dolgih_umrus"
"18";"N/A";"seriesenglishhh";"Канал";"https://t.me/seriesenglishhh"
"19";"N/A";"zapiski_redaktorki";"Канал";"https://t.me/zapiski_redaktorki"
"20";"N/A";"russiansculture";"Канал";"https://t.me/russiansculture"
"21";"N/A";"engslov";"Канал";"https://t.me/engslov"
"22";"N/A";"anglyskyi_yazyk";"Канал";"https://t.me/anglyskyi_yazyk"
"23";"N/A";"supremeenglish7";"Канал";"https://t.me/supremeenglish7"
"24";"N/A";"slovar_psikhologia";"Канал";"https://t.me/slovar_psikhologia"
"25";"N/A";"GoEnglishRus";"Канал";"https://t.me/GoEnglishRus"
"26";"N/A";"eng_every_day";"Канал";"https://t.me/eng_every_day"
"27";"N/A";"slovodna";"Канал";"https://t.me/slovodna"
"28";"N/A";"af-UwrqFNlo0NWIy";"Канал";"https://t.me/af-UwrqFNlo0NWIy"
"29";"N/A";"english_master_academy";"Канал";"https://t.me/english_master_academy"
"30";"N/A";"angliiskii_repetitor";"Канал";"https://t.me/angliiskii_repetitor"
"31";"N/A";"immersion_club";"Канал";"https://t.me/immersion_club"
"32";"N/A";"dailyeng";"Канал";"https://t.me/dailyeng"
"33";"N/A";"yazbezkos";"Канал";"https://t.me/yazbezkos"
"34";"N/A";"ieltstoeflcefrr";"Канал";"https://t.me/ieltstoeflcefrr"
"35";"N/A";"anglysky_yazyki";"Канал";"https://t.me/anglysky_yazyki"
"36";"N/A";"english_easyly";"Канал";"https://t.me/english_easyly"
"37";"N/A";"debilenglish";"Канал";"https://t.me/debilenglish"
"38";"N/A";"koreanlanguage2023";"Канал";"https://t.me/koreanlanguage2023"
"39";"N/A";"uunefedova_russ";"Канал";"https://t.me/uunefedova_russ"
"40";"N/A";"veryenglink";"Канал";"https://t.me/veryenglink"
"41";"N/A";"english_duolingo";"Канал";"https://t.me/english_duolingo"
"42";"N/A";"englishgalaxy_school";"Канал";"https://t.me/englishgalaxy_school"
"43";"N/A";"chinese_lingvistika_slovar";"Канал";"https://t.me/chinese_lingvistika_slovar"
"44";"N/A";"TurkishTG";"Канал";"https://t.me/TurkishTG"
"45";"N/A";"englishtg1";"Канал";"https://t.me/englishtg1"
"46";"N/A";"gJ6qYZZPHeRkOWJi";"Канал";"https://t.me/gJ6qYZZPHeRkOWJi"
"47";"N/A";"hot_idioms";"Канал";"https://t.me/hot_idioms"
"48";"N/A";"englex_school";"Канал";"https://t.me/englex_school"
"49";"N/A";"EnglishScript";"Канал";"https://t.me/EnglishScript"
"50";"N/A";"engl_use";"Канал";"https://t.me/engl_use"
"51";"N/A";"linguatimes";"Канал";"https://t.me/linguatimes"
