"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"2wNydf4venRmZTFi";"Канал";"https://t.me/2wNydf4venRmZTFi"
"2";"N/A";"magerya";"Канал";"https://t.me/magerya"
"3";"N/A";"2DUHJdFTKzgzMTFi";"Канал";"https://t.me/2DUHJdFTKzgzMTFi"
"4";"N/A";"martynovevgueni";"Канал";"https://t.me/martynovevgueni"
"5";"N/A";"AAAAAEyV1dfyyFw3zSRu0g";"Канал";"https://t.me/AAAAAEyV1dfyyFw3zSRu0g"
"6";"N/A";"shishonindoc";"Канал";"https://t.me/shishonindoc"
"7";"N/A";"mikeryna_sashaa";"Канал";"https://t.me/mikeryna_sashaa"
"8";"N/A";"drmyasnikov";"Канал";"https://t.me/drmyasnikov"
"9";"N/A";"sudmednotes";"Канал";"https://t.me/sudmednotes"
"10";"N/A";"drabakumof";"Канал";"https://t.me/drabakumof"
"11";"N/A";"doctor_sadovskaya";"Канал";"https://t.me/doctor_sadovskaya"
"12";"N/A";"Lt6ZnS80wlU5Nzg6";"Канал";"https://t.me/Lt6ZnS80wlU5Nzg6"
"13";"N/A";"rusmasgutov";"Канал";"https://t.me/rusmasgutov"
"14";"N/A";"qkuVi-SYBWdkN2Iy";"Канал";"https://t.me/qkuVi-SYBWdkN2Iy"
"15";"N/A";"khodorovich";"Канал";"https://t.me/khodorovich"
"16";"N/A";"AAAAAFKb7LFlFwFmrx12ew";"Канал";"https://t.me/AAAAAFKb7LFlFwFmrx12ew"
"17";"N/A";"cardiodokstories";"Канал";"https://t.me/cardiodokstories"
"18";"N/A";"lebedeva_dilyara";"Канал";"https://t.me/lebedeva_dilyara"
"19";"N/A";"f-qgtTwpKxdmMzFi";"Канал";"https://t.me/f-qgtTwpKxdmMzFi"
"20";"N/A";"DrButriy";"Канал";"https://t.me/DrButriy"
"21";"N/A";"mediamedics";"Канал";"https://t.me/mediamedics"
"22";"N/A";"4nJ-md8MXTNmMmRi";"Канал";"https://t.me/4nJ-md8MXTNmMmRi"
"23";"N/A";"blog_kardiologa";"Канал";"https://t.me/blog_kardiologa"
"24";"N/A";"komarova_88";"Канал";"https://t.me/komarova_88"
"25";"N/A";"AAAAAE8lpy5XZVYa4496Iw";"Канал";"https://t.me/AAAAAE8lpy5XZVYa4496Iw"
"26";"N/A";"medic_smith";"Канал";"https://t.me/medic_smith"
"27";"N/A";"dzdmos";"Канал";"https://t.me/dzdmos"
"28";"N/A";"iQikeHpCNDwxYWMy";"Канал";"https://t.me/iQikeHpCNDwxYWMy"
"29";"N/A";"smpvnutri";"Канал";"https://t.me/smpvnutri"
"30";"N/A";"immunobee1";"Канал";"https://t.me/immunobee1"
"31";"N/A";"aprelapteka";"Канал";"https://t.me/aprelapteka"
"32";"N/A";"XrAUNuJnqrNhODIy";"Канал";"https://t.me/XrAUNuJnqrNhODIy"
"33";"N/A";"vXEIfm7DeSliM2Qy";"Канал";"https://t.me/vXEIfm7DeSliM2Qy"
"34";"N/A";"doctor_annamama";"Канал";"https://t.me/doctor_annamama"
"35";"N/A";"doctorpavlova";"Канал";"https://t.me/doctorpavlova"
"36";"N/A";"kdl_ru";"Канал";"https://t.me/kdl_ru"
"37";"N/A";"drNikolaevaSandara";"Канал";"https://t.me/drNikolaevaSandara"
"38";"N/A";"BsQgvyJjFCExZTEy";"Канал";"https://t.me/BsQgvyJjFCExZTEy"
"39";"N/A";"JP-iK0YYaphiMTBi";"Канал";"https://t.me/JP-iK0YYaphiMTBi"
"40";"N/A";"medicalnews3000";"Канал";"https://t.me/medicalnews3000"
"41";"N/A";"80KjwPnFuhIyM2Uy";"Канал";"https://t.me/80KjwPnFuhIyM2Uy"
"42";"N/A";"dsemiryadov_official";"Канал";"https://t.me/dsemiryadov_official"
"43";"N/A";"-mayZTdCHLFhYWYy";"Канал";"https://t.me/-mayZTdCHLFhYWYy"
"44";"N/A";"dmitrylubnin";"Канал";"https://t.me/dmitrylubnin"
"45";"N/A";"invitro_ru";"Канал";"https://t.me/invitro_ru"
"46";"N/A";"drkarapetyan";"Канал";"https://t.me/drkarapetyan"
"47";"N/A";"clinic_medicina";"Канал";"https://t.me/clinic_medicina"
"48";"N/A";"doc_magomedova777";"Канал";"https://t.me/doc_magomedova777"
"49";"N/A";"GXShmWQLoHgyNTU6";"Канал";"https://t.me/GXShmWQLoHgyNTU6"
"50";"N/A";"gemotestlab";"Канал";"https://t.me/gemotestlab"
"51";"N/A";"dr_shefova";"Канал";"https://t.me/dr_shefova"
"52";"N/A";"medsigroup";"Канал";"https://t.me/medsigroup"
"53";"N/A";"khirurg_vrachi";"Канал";"https://t.me/khirurg_vrachi"
"54";"N/A";"glavmamarf";"Канал";"https://t.me/glavmamarf"
"55";"N/A";"stomach_lebedeva";"Канал";"https://t.me/stomach_lebedeva"
"56";"N/A";"doctor_dmolodoy";"Канал";"https://t.me/doctor_dmolodoy"
"57";"N/A";"docdeti_docmed";"Канал";"https://t.me/docdeti_docmed"
"58";"N/A";"fdoctor_ru";"Канал";"https://t.me/fdoctor_ru"
"59";"N/A";"pyrikov";"Канал";"https://t.me/pyrikov"
"60";"N/A";"nutrition_prof";"Канал";"https://t.me/nutrition_prof"
"61";"N/A";"nMs4EulkWJNlZGZi";"Канал";"https://t.me/nMs4EulkWJNlZGZi"
"62";"N/A";"dockonovalovamarija";"Канал";"https://t.me/dockonovalovamarija"
"63";"N/A";"namochimanturu";"Канал";"https://t.me/namochimanturu"
"64";"N/A";"dr_abramian";"Канал";"https://t.me/dr_abramian"
"65";"N/A";"kharitonov_ag";"Канал";"https://t.me/kharitonov_ag"
"66";"N/A";"fediatrix";"Канал";"https://t.me/fediatrix"
"67";"N/A";"cardiolog_chaykovskaya";"Канал";"https://t.me/cardiolog_chaykovskaya"
"68";"N/A";"tacticalmedicinecourses";"Канал";"https://t.me/tacticalmedicinecourses"
"69";"N/A";"zametki_nevrologa";"Канал";"https://t.me/zametki_nevrologa"
"70";"N/A";"minzdrav_ru";"Канал";"https://t.me/minzdrav_ru"
"71";"N/A";"dr_bykanov";"Канал";"https://t.me/dr_bykanov"
"72";"N/A";"doc_gastro_life";"Канал";"https://t.me/doc_gastro_life"
"73";"N/A";"kamenschiki";"Канал";"https://t.me/kamenschiki"
"74";"N/A";"Ant0HAlex";"Канал";"https://t.me/Ant0HAlex"
"75";"N/A";"z62c5ZeCWRtlMWI6";"Канал";"https://t.me/z62c5ZeCWRtlMWI6"
"76";"N/A";"rulikamed";"Канал";"https://t.me/rulikamed"
"77";"N/A";"h61UqSxNQNUyZjVi";"Канал";"https://t.me/h61UqSxNQNUyZjVi"
"78";"N/A";"inuclear_medicina";"Канал";"https://t.me/inuclear_medicina"
"79";"N/A";"1ex82N6PKkdmNDVi";"Канал";"https://t.me/1ex82N6PKkdmNDVi"
"80";"N/A";"5whEttZujx84M2Iy";"Канал";"https://t.me/5whEttZujx84M2Iy"
"81";"N/A";"naiznankuo";"Канал";"https://t.me/naiznankuo"
"82";"N/A";"dr_sychev";"Канал";"https://t.me/dr_sychev"
"83";"N/A";"epifanovnews";"Канал";"https://t.me/epifanovnews"
"84";"N/A";"doctor_razumnaya";"Канал";"https://t.me/doctor_razumnaya"
"85";"N/A";"ybody";"Канал";"https://t.me/ybody"
"86";"N/A";"malyshevalives";"Канал";"https://t.me/malyshevalives"
"87";"N/A";"yusipovacom";"Канал";"https://t.me/yusipovacom"
"88";"N/A";"dr_voenvrach";"Канал";"https://t.me/dr_voenvrach"
"89";"N/A";"msestra";"Канал";"https://t.me/msestra"
"90";"N/A";"5hkq-3b3jsc2YzYy";"Канал";"https://t.me/5hkq-3b3jsc2YzYy"
"91";"N/A";"ginecolog05";"Канал";"https://t.me/ginecolog05"
"92";"N/A";"Military_Medic_V";"Канал";"https://t.me/Military_Medic_V"
"93";"N/A";"mvmaltseva";"Канал";"https://t.me/mvmaltseva"
"94";"N/A";"doctor_rust";"Канал";"https://t.me/doctor_rust"
"95";"N/A";"ekaterinasugak";"Канал";"https://t.me/ekaterinasugak"
"96";"N/A";"mama_sinka";"Канал";"https://t.me/mama_sinka"
"97";"N/A";"gastrosmile";"Канал";"https://t.me/gastrosmile"
"98";"N/A";"doctor_sitkina";"Канал";"https://t.me/doctor_sitkina"
"99";"N/A";"Docma_ru";"Канал";"https://t.me/Docma_ru"
"100";"N/A";"doctorbloger_live";"Канал";"https://t.me/doctorbloger_live"
"101";"N/A";"mednight03";"Канал";"https://t.me/mednight03"
"102";"N/A";"tvoyaaptekaru";"Канал";"https://t.me/tvoyaaptekaru"
"103";"N/A";"drshagarova";"Канал";"https://t.me/drshagarova"
"104";"N/A";"synapse_channel1";"Канал";"https://t.me/synapse_channel1"
"105";"N/A";"anatomiyasilueta_orlov";"Канал";"https://t.me/anatomiyasilueta_orlov"
"106";"N/A";"mazaevdoc";"Канал";"https://t.me/mazaevdoc"
"107";"N/A";"tgnikitin";"Канал";"https://t.me/tgnikitin"
"108";"N/A";"allergo_doc";"Канал";"https://t.me/allergo_doc"
"109";"N/A";"dr_kondratev";"Канал";"https://t.me/dr_kondratev"
"110";"N/A";"pribytkov_psy";"Канал";"https://t.me/pribytkov_psy"
"111";"N/A";"teashopa";"Канал";"https://t.me/teashopa"
"112";"N/A";"JuliaSherbatova";"Канал";"https://t.me/JuliaSherbatova"
"113";"N/A";"kalinchenko_dlya_pacientov";"Канал";"https://t.me/kalinchenko_dlya_pacientov"
"114";"N/A";"reshetunalexey";"Канал";"https://t.me/reshetunalexey"
"115";"N/A";"zametkidoctora";"Канал";"https://t.me/zametkidoctora"
"116";"N/A";"drshnr";"Канал";"https://t.me/drshnr"
"117";"N/A";"shafalinov";"Канал";"https://t.me/shafalinov"
"118";"N/A";"aptekaru_official";"Канал";"https://t.me/aptekaru_official"
"119";"N/A";"korrektsiya_zreniya";"Канал";"https://t.me/korrektsiya_zreniya"
"120";"N/A";"gastrogram";"Канал";"https://t.me/gastrogram"
"121";"N/A";"zhivotovvladimir";"Канал";"https://t.me/zhivotovvladimir"
"122";"N/A";"gastroenterologist95";"Канал";"https://t.me/gastroenterologist95"
"123";"N/A";"doctor_grebeshkova";"Канал";"https://t.me/doctor_grebeshkova"
"124";"N/A";"doctorilyaegorov";"Канал";"https://t.me/doctorilyaegorov"
"125";"N/A";"detskiy_immunitet";"Канал";"https://t.me/detskiy_immunitet"
"126";"N/A";"doctors_memoirs";"Канал";"https://t.me/doctors_memoirs"
"127";"N/A";"Dr_Livsi_Ru";"Канал";"https://t.me/Dr_Livsi_Ru"
"128";"N/A";"annacheeta";"Канал";"https://t.me/annacheeta"
"129";"N/A";"ginekolog_oleg";"Канал";"https://t.me/ginekolog_oleg"
"130";"N/A";"PSOmedics";"Канал";"https://t.me/PSOmedics"
"131";"N/A";"doctor_neeshpapa";"Канал";"https://t.me/doctor_neeshpapa"
"132";"N/A";"uctm_official";"Канал";"https://t.me/uctm_official"
"133";"N/A";"radevich_researcher";"Канал";"https://t.me/radevich_researcher"
"134";"N/A";"fuckbiohacking";"Канал";"https://t.me/fuckbiohacking"
"135";"N/A";"medicinskie_lekcii";"Канал";"https://t.me/medicinskie_lekcii"
"136";"N/A";"doctorvyalov";"Канал";"https://t.me/doctorvyalov"
"137";"N/A";"medikazametki";"Канал";"https://t.me/medikazametki"
"138";"N/A";"doctor_steckaya";"Канал";"https://t.me/doctor_steckaya"
"139";"N/A";"anchabaranova";"Канал";"https://t.me/anchabaranova"
"140";"N/A";"wX2XA4TxXulkZDAy";"Канал";"https://t.me/wX2XA4TxXulkZDAy"
"141";"N/A";"reanimationss";"Канал";"https://t.me/reanimationss"
"142";"N/A";"eCyyQNnY8q4xODYy";"Канал";"https://t.me/eCyyQNnY8q4xODYy"
"143";"N/A";"IhPXEWhzL8AyMzQy";"Канал";"https://t.me/IhPXEWhzL8AyMzQy"
"144";"N/A";"nastasyacherryyy";"Канал";"https://t.me/nastasyacherryyy"
"145";"N/A";"kremlinmedicine";"Канал";"https://t.me/kremlinmedicine"
"146";"N/A";"WfiVNrp2zvo2NjE6";"Канал";"https://t.me/WfiVNrp2zvo2NjE6"
"147";"N/A";"pavelbaranov_md";"Канал";"https://t.me/pavelbaranov_md"
"148";"N/A";"bezrec";"Канал";"https://t.me/bezrec"
"149";"N/A";"yourreddoc";"Канал";"https://t.me/yourreddoc"
"150";"N/A";"uniprof_med";"Канал";"https://t.me/uniprof_med"
"151";"N/A";"doc_Filatov";"Канал";"https://t.me/doc_Filatov"
"152";"N/A";"baranovaia";"Канал";"https://t.me/baranovaia"
"153";"N/A";"drivashkov";"Канал";"https://t.me/drivashkov"
"154";"N/A";"medproblog";"Канал";"https://t.me/medproblog"
"155";"N/A";"stopherpes";"Канал";"https://t.me/stopherpes"
"156";"N/A";"_XOeif0iNRg1ODdi";"Канал";"https://t.me/_XOeif0iNRg1ODdi"
"157";"N/A";"doctor_demin";"Канал";"https://t.me/doctor_demin"
"158";"N/A";"doclana_mornatural";"Канал";"https://t.me/doclana_mornatural"
"159";"N/A";"lechteam";"Канал";"https://t.me/lechteam"
"160";"N/A";"clinirec";"Канал";"https://t.me/clinirec"
"161";"N/A";"firstaidschool";"Канал";"https://t.me/firstaidschool"
"162";"N/A";"ADKaprin";"Канал";"https://t.me/ADKaprin"
"163";"N/A";"medach";"Канал";"https://t.me/medach"
"164";"N/A";"docmedtg";"Канал";"https://t.me/docmedtg"
"165";"N/A";"doc_pesh";"Канал";"https://t.me/doc_pesh"
"166";"N/A";"planetazdorovo";"Канал";"https://t.me/planetazdorovo"
"167";"N/A";"arteria_03_blog";"Канал";"https://t.me/arteria_03_blog"
"168";"N/A";"MyLtML-opr1lN2My";"Канал";"https://t.me/MyLtML-opr1lN2My"
"169";"N/A";"atlant_yug";"Канал";"https://t.me/atlant_yug"
"170";"N/A";"doktorz_003";"Канал";"https://t.me/doktorz_003"
"171";"N/A";"golovameduza";"Канал";"https://t.me/golovameduza"
"172";"N/A";"oms_zdorovie";"Канал";"https://t.me/oms_zdorovie"
"173";"N/A";"for_doctors";"Канал";"https://t.me/for_doctors"
"174";"N/A";"medblognomer1";"Канал";"https://t.me/medblognomer1"
"175";"N/A";"planetamed";"Канал";"https://t.me/planetamed"
"176";"N/A";"sunxsteel";"Канал";"https://t.me/sunxsteel"
"177";"N/A";"rznstom";"Канал";"https://t.me/rznstom"
"178";"N/A";"psy_factum";"Канал";"https://t.me/psy_factum"
"179";"N/A";"urolog_mark";"Канал";"https://t.me/urolog_mark"
"180";"N/A";"romaleonchuk";"Канал";"https://t.me/romaleonchuk"
"181";"N/A";"inna_tulina_a";"Канал";"https://t.me/inna_tulina_a"
"182";"N/A";"_YK3pzSDIvE2ZDRi";"Канал";"https://t.me/_YK3pzSDIvE2ZDRi"
"183";"N/A";"drmelnikov";"Канал";"https://t.me/drmelnikov"
