"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"u1d9B7bJyWo3YWJi";"Канал";"https://t.me/u1d9B7bJyWo3YWJi"
"2";"N/A";"egorkreed";"Канал";"https://t.me/egorkreed"
"3";"N/A";"trek_remix";"Канал";"https://t.me/trek_remix"
"4";"N/A";"Buddy_music";"Канал";"https://t.me/Buddy_music"
"5";"N/A";"muzyka_xmusix";"Канал";"https://t.me/muzyka_xmusix"
"6";"N/A";"muzykapesnitreki";"Канал";"https://t.me/muzykapesnitreki"
"7";"N/A";"zeykanm_muzyka";"Канал";"https://t.me/zeykanm_muzyka"
"8";"N/A";"animewwp";"Канал";"https://t.me/animewwp"
"9";"N/A";"_xiVmSOz_0tlNThi";"Канал";"https://t.me/_xiVmSOz_0tlNThi"
"10";"N/A";"sad_tracky";"Канал";"https://t.me/sad_tracky"
"11";"N/A";"sextazy_muzika";"Канал";"https://t.me/sextazy_muzika"
"12";"N/A";"Xit_Bass_Music_Trend_Muzikalar";"Канал";"https://t.me/Xit_Bass_Music_Trend_Muzikalar"
"13";"N/A";"newschool_musicx";"Канал";"https://t.me/newschool_musicx"
"14";"N/A";"pgput_B3CE9lZmFi";"Канал";"https://t.me/pgput_B3CE9lZmFi"
"15";"N/A";"muscarx";"Канал";"https://t.me/muscarx"
"16";"N/A";"mqbpDQNjCIQ3MGJi";"Канал";"https://t.me/mqbpDQNjCIQ3MGJi"
"17";"N/A";"VC8MmMQNaiXtfHVR";"Канал";"https://t.me/VC8MmMQNaiXtfHVR"
"18";"N/A";"budaog";"Канал";"https://t.me/budaog"
"19";"N/A";"toxisslime4";"Канал";"https://t.me/toxisslime4"
"20";"N/A";"yandexmusic_live";"Канал";"https://t.me/yandexmusic_live"
"21";"N/A";"music_muzyka_2025";"Канал";"https://t.me/music_muzyka_2025"
"22";"N/A";"saveoffbot01";"Канал";"https://t.me/saveoffbot01"
"23";"N/A";"sovkusommI";"Канал";"https://t.me/sovkusommI"
"24";"N/A";"sosamuzik300";"Канал";"https://t.me/sosamuzik300"
"25";"N/A";"mudotalida";"Канал";"https://t.me/mudotalida"
"26";"N/A";"remix_pesny";"Канал";"https://t.me/remix_pesny"
"27";"N/A";"worldvushi";"Канал";"https://t.me/worldvushi"
"28";"N/A";"vkmusicbot1";"Канал";"https://t.me/vkmusicbot1"
"29";"N/A";"3OTfOxLpGv81ZmI6";"Канал";"https://t.me/3OTfOxLpGv81ZmI6"
"30";"N/A";"muzikavushi1";"Канал";"https://t.me/muzikavushi1"
"31";"N/A";"pesni_remix_2024";"Канал";"https://t.me/pesni_remix_2024"
"32";"N/A";"Fw1NNthKoRcyMTJi";"Канал";"https://t.me/Fw1NNthKoRcyMTJi"
"33";"N/A";"poshlayamollyofficial";"Канал";"https://t.me/poshlayamollyofficial"
"34";"N/A";"phonk_xmusic";"Канал";"https://t.me/phonk_xmusic"
"35";"N/A";"mayotofficialchannel";"Канал";"https://t.me/mayotofficialchannel"
"36";"N/A";"k376kk";"Канал";"https://t.me/k376kk"
"37";"N/A";"macan_official1";"Канал";"https://t.me/macan_official1"
"38";"N/A";"vibemusic_tg";"Канал";"https://t.me/vibemusic_tg"
"39";"N/A";"playlist_muzykaa";"Канал";"https://t.me/playlist_muzykaa"
"40";"N/A";"sayonaraboy";"Канал";"https://t.me/sayonaraboy"
"41";"N/A";"StrayKids_JYP";"Канал";"https://t.me/StrayKids_JYP"
"42";"N/A";"0zj0wpHb_Tc3NjZi";"Канал";"https://t.me/0zj0wpHb_Tc3NjZi"
"43";"N/A";"lovvdoublesix";"Канал";"https://t.me/lovvdoublesix"
"44";"N/A";"ksbmuz";"Канал";"https://t.me/ksbmuz"
"45";"N/A";"pepelnahudiAB";"Канал";"https://t.me/pepelnahudiAB"
"46";"N/A";"antihype_kpss";"Канал";"https://t.me/antihype_kpss"
"47";"N/A";"1tm8427FNII3ODFi";"Канал";"https://t.me/1tm8427FNII3ODFi"
"48";"N/A";"samchuklena";"Канал";"https://t.me/samchuklena"
"49";"N/A";"s1yuyaNHC2sxYWUy";"Канал";"https://t.me/s1yuyaNHC2sxYWUy"
"50";"N/A";"best_deeep";"Канал";"https://t.me/best_deeep"
"51";"N/A";"cnrnVcW5s7ZmZDZi";"Канал";"https://t.me/cnrnVcW5s7ZmZDZi"
"52";"N/A";"only_music17";"Канал";"https://t.me/only_music17"
"53";"N/A";"oligarchc";"Канал";"https://t.me/oligarchc"
"54";"N/A";"risazatvorchestvo";"Канал";"https://t.me/risazatvorchestvo"
"55";"N/A";"nogganobasta";"Канал";"https://t.me/nogganobasta"
"56";"N/A";"shaman_channel";"Канал";"https://t.me/shaman_channel"
"57";"N/A";"gspd2000";"Канал";"https://t.me/gspd2000"
"58";"N/A";"c3zlCiFowDhkODVi";"Канал";"https://t.me/c3zlCiFowDhkODVi"
"59";"N/A";"maxkorzh";"Канал";"https://t.me/maxkorzh"
"60";"N/A";"YNNV_REMiXX";"Канал";"https://t.me/YNNV_REMiXX"
"61";"N/A";"miyagi_black";"Канал";"https://t.me/miyagi_black"
"62";"N/A";"QemynYfxeOdjN2My";"Канал";"https://t.me/QemynYfxeOdjN2My"
"63";"N/A";"lisabon_mus";"Канал";"https://t.me/lisabon_mus"
"64";"N/A";"music_trekis";"Канал";"https://t.me/music_trekis"
"65";"N/A";"Fonki_funky";"Канал";"https://t.me/Fonki_funky"
"66";"N/A";"muztv";"Канал";"https://t.me/muztv"
