"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"VDK8qHBzKyevEjFR";"Канал";"https://t.me/VDK8qHBzKyevEjFR"
"2";"N/A";"h3atJD8y12EzOTZi";"Канал";"https://t.me/h3atJD8y12EzOTZi"
"3";"N/A";"B746KyAtAh1iM2Yy";"Канал";"https://t.me/B746KyAtAh1iM2Yy"
"4";"N/A";"koshkii_kotiki";"Канал";"https://t.me/koshkii_kotiki"
"5";"N/A";"8EkizoJF_TpjNmYy";"Канал";"https://t.me/8EkizoJF_TpjNmYy"
"6";"N/A";"I2-B4Pd4ThBhOGRi";"Канал";"https://t.me/I2-B4Pd4ThBhOGRi"
"7";"N/A";"AAAAAEVZR6NQqIVytzIEJQ";"Канал";"https://t.me/AAAAAEVZR6NQqIVytzIEJQ"
"8";"N/A";"Saoo2xkYQVowMmFi";"Канал";"https://t.me/Saoo2xkYQVowMmFi"
"9";"N/A";"NationGeographic";"Канал";"https://t.me/NationGeographic"
"10";"N/A";"JmCvauDzzAo5MzVi";"Канал";"https://t.me/JmCvauDzzAo5MzVi"
"11";"N/A";"Ni9KhP0qu94yNjhi";"Канал";"https://t.me/Ni9KhP0qu94yNjhi"
"12";"N/A";"dacha_my";"Канал";"https://t.me/dacha_my"
"13";"N/A";"TvG-CenuOdZlMmM6";"Канал";"https://t.me/TvG-CenuOdZlMmM6"
"14";"N/A";"fYMZ8IkTqp1mNjcy";"Канал";"https://t.me/fYMZ8IkTqp1mNjcy"
"15";"N/A";"kotya";"Канал";"https://t.me/kotya"
"16";"N/A";"pytPxXcUL7I0M2Ji";"Канал";"https://t.me/pytPxXcUL7I0M2Ji"
"17";"N/A";"AAAAAEW7PysA07Xr68XQgg";"Канал";"https://t.me/AAAAAEW7PysA07Xr68XQgg"
"18";"N/A";"dacha_ogorod";"Канал";"https://t.me/dacha_ogorod"
"19";"N/A";"ivJ3pbAXbdA4NTRi";"Канал";"https://t.me/ivJ3pbAXbdA4NTRi"
