"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"giftomania_community_ru";"Канал";"https://t.me/giftomania_community_ru"
"2";"N/A";"9hPmeb4zPTUxMDVi";"Канал";"https://t.me/9hPmeb4zPTUxMDVi"
"3";"N/A";"rucriminalinfo";"Канал";"https://t.me/rucriminalinfo"
"4";"N/A";"NexusGift";"Канал";"https://t.me/NexusGift"
"5";"N/A";"WealthCore_News";"Канал";"https://t.me/WealthCore_News"
"6";"N/A";"ZlBna-7n5Gk2MWNi";"Канал";"https://t.me/ZlBna-7n5Gk2MWNi"
"7";"N/A";"ZaSAxw4meV45NDM6";"Канал";"https://t.me/ZaSAxw4meV45NDM6"
"8";"N/A";"importflora77";"Канал";"https://t.me/importflora77"
"9";"N/A";"cJaOfi_gGhllYWJi";"Канал";"https://t.me/cJaOfi_gGhllYWJi"
"10";"N/A";"loveetaxz";"Канал";"https://t.me/loveetaxz"
"11";"N/A";"7IAY_Zc07TY4ZDVi";"Канал";"https://t.me/7IAY_Zc07TY4ZDVi"
"12";"N/A";"boevoe_sodrugestvo";"Канал";"https://t.me/boevoe_sodrugestvo"
"13";"N/A";"Futbol_RPLi";"Канал";"https://t.me/Futbol_RPLi"
"14";"N/A";"7DSHJa75Eis0OWE6";"Канал";"https://t.me/7DSHJa75Eis0OWE6"
"15";"N/A";"nikitakrivolapov";"Канал";"https://t.me/nikitakrivolapov"
"16";"N/A";"z0b2wqwmPr8wMDEy";"Канал";"https://t.me/z0b2wqwmPr8wMDEy"
"17";"N/A";"aialphacom";"Канал";"https://t.me/aialphacom"
"18";"N/A";"svocontract24";"Канал";"https://t.me/svocontract24"
"19";"N/A";"exxspolly";"Канал";"https://t.me/exxspolly"
"20";"N/A";"5H24BYGb6qc3OTQ0";"Канал";"https://t.me/5H24BYGb6qc3OTQ0"
"21";"N/A";"0a5ytGyu-NtiZjEy";"Канал";"https://t.me/0a5ytGyu-NtiZjEy"
"22";"N/A";"Z9Bwys2beL42YjM6";"Канал";"https://t.me/Z9Bwys2beL42YjM6"
"23";"N/A";"biznes_gol";"Канал";"https://t.me/biznes_gol"
"24";"N/A";"click_gr";"Канал";"https://t.me/click_gr"
"25";"N/A";"MLJI6ow7HZs2NDgy";"Канал";"https://t.me/MLJI6ow7HZs2NDgy"
"26";"N/A";"6VK2qJ8p4-AyZDAy";"Канал";"https://t.me/6VK2qJ8p4-AyZDAy"
"27";"N/A";"surascript";"Канал";"https://t.me/surascript"
"28";"N/A";"suawtf";"Канал";"https://t.me/suawtf"
"29";"N/A";"ControlNewsNFT";"Канал";"https://t.me/ControlNewsNFT"
"30";"N/A";"shpinhua";"Канал";"https://t.me/shpinhua"
"31";"N/A";"sranchik";"Канал";"https://t.me/sranchik"
"32";"N/A";"Uxf8V5KowG1kMzJi";"Канал";"https://t.me/Uxf8V5KowG1kMzJi"
"33";"N/A";"yologuu";"Канал";"https://t.me/yologuu"
"34";"N/A";"3m6BIeraQCxhNzIy";"Канал";"https://t.me/3m6BIeraQCxhNzIy"
"35";"N/A";"wifes_swo";"Канал";"https://t.me/wifes_swo"
"36";"N/A";"ishy_sp";"Канал";"https://t.me/ishy_sp"
"37";"N/A";"Click_Baiters";"Канал";"https://t.me/Click_Baiters"
"38";"N/A";"CroCnvbrPCI1OGI6";"Канал";"https://t.me/CroCnvbrPCI1OGI6"
"39";"N/A";"KtpGC8GM4OswMzQy";"Канал";"https://t.me/KtpGC8GM4OswMzQy"
"40";"N/A";"forcedropofficial";"Канал";"https://t.me/forcedropofficial"
"41";"N/A";"jobvahta24";"Канал";"https://t.me/jobvahta24"
"42";"N/A";"proavto_krd";"Канал";"https://t.me/proavto_krd"
"43";"N/A";"M7Jncs40ol8wNTYy";"Канал";"https://t.me/M7Jncs40ol8wNTYy"
"44";"N/A";"TGbvT8-0M6k4NGQy";"Канал";"https://t.me/TGbvT8-0M6k4NGQy"
"45";"N/A";"kuxa_yuliya";"Канал";"https://t.me/kuxa_yuliya"
"46";"N/A";"skinhousegg";"Канал";"https://t.me/skinhousegg"
"47";"N/A";"DariPoluchayInfo";"Канал";"https://t.me/DariPoluchayInfo"
"48";"N/A";"vIMTAHA87HA3MjZh";"Канал";"https://t.me/vIMTAHA87HA3MjZh"
"49";"N/A";"kldgift";"Канал";"https://t.me/kldgift"
"50";"N/A";"makszhluktov";"Канал";"https://t.me/makszhluktov"
"51";"N/A";"ActivDariPoluchay";"Канал";"https://t.me/ActivDariPoluchay"
"52";"N/A";"uFuE0tkZ7gU4MDQy";"Канал";"https://t.me/uFuE0tkZ7gU4MDQy"
"53";"N/A";"clinic_dr_aida";"Канал";"https://t.me/clinic_dr_aida"
"54";"N/A";"sam_sebe_perekup";"Канал";"https://t.me/sam_sebe_perekup"
"55";"N/A";"__iaPvHIBLAyMGUy";"Канал";"https://t.me/__iaPvHIBLAyMGUy"
"56";"N/A";"maxnatcorn";"Канал";"https://t.me/maxnatcorn"
"57";"N/A";"CcgkdxD_JqwyNjRi";"Канал";"https://t.me/CcgkdxD_JqwyNjRi"
"58";"N/A";"S1rex_NFT";"Канал";"https://t.me/S1rex_NFT"
"59";"N/A";"FUGzmWqx96MxNmEy";"Канал";"https://t.me/FUGzmWqx96MxNmEy"
"60";"N/A";"eI6lR4atiMY2MmUy";"Канал";"https://t.me/eI6lR4atiMY2MmUy"
"61";"N/A";"YDzlhSu9i8UyYzAy";"Канал";"https://t.me/YDzlhSu9i8UyYzAy"
"62";"N/A";"svorussiasvoi";"Канал";"https://t.me/svorussiasvoi"
"63";"N/A";"temaporadomoy";"Канал";"https://t.me/temaporadomoy"
"64";"N/A";"5blHFkaV_8g5YTky";"Канал";"https://t.me/5blHFkaV_8g5YTky"
"65";"N/A";"dproda";"Канал";"https://t.me/dproda"
"66";"N/A";"5QqQ3w1-mJ4yZWYy";"Канал";"https://t.me/5QqQ3w1-mJ4yZWYy"
"67";"N/A";"UvzE_stgByhjMGVi";"Канал";"https://t.me/UvzE_stgByhjMGVi"
"68";"N/A";"CfiwFAHlYr43MzIy";"Канал";"https://t.me/CfiwFAHlYr43MzIy"
"69";"N/A";"sglypa";"Канал";"https://t.me/sglypa"
"70";"N/A";"isvfest";"Канал";"https://t.me/isvfest"
"71";"N/A";"0MDmTYWniRhmNmY0";"Канал";"https://t.me/0MDmTYWniRhmNmY0"
"72";"N/A";"poiskraf";"Канал";"https://t.me/poiskraf"
"73";"N/A";"StarsPOPr";"Канал";"https://t.me/StarsPOPr"
"74";"N/A";"lovemebox_ru";"Канал";"https://t.me/lovemebox_ru"
"75";"N/A";"shushanna_is";"Канал";"https://t.me/shushanna_is"
"76";"N/A";"uk9ox-OJvHo2Zjcy";"Канал";"https://t.me/uk9ox-OJvHo2Zjcy"
"77";"N/A";"cosmoskidki";"Канал";"https://t.me/cosmoskidki"
"78";"N/A";"ProstiBro_uc";"Канал";"https://t.me/ProstiBro_uc"
"79";"N/A";"_6DhyN7LJiBhMjM6";"Канал";"https://t.me/_6DhyN7LJiBhMjM6"
"80";"N/A";"wowsymbols";"Канал";"https://t.me/wowsymbols"
"81";"N/A";"bgAVUhPMmfJjNGYy";"Канал";"https://t.me/bgAVUhPMmfJjNGYy"
"82";"N/A";"3Ceuczf-V-E1YjEy";"Канал";"https://t.me/3Ceuczf-V-E1YjEy"
"83";"N/A";"78DUyklYlgs3YTRi";"Канал";"https://t.me/78DUyklYlgs3YTRi"
"84";"N/A";"proverkapdpiski";"Канал";"https://t.me/proverkapdpiski"
"85";"N/A";"cfmot_filial";"Канал";"https://t.me/cfmot_filial"
"86";"N/A";"appbonus_official";"Канал";"https://t.me/appbonus_official"
"87";"N/A";"amourexpresss";"Канал";"https://t.me/amourexpresss"
"88";"N/A";"virtpoiskesteval";"Канал";"https://t.me/virtpoiskesteval"
"89";"N/A";"YA5Mvuf8dV4xZTBi";"Канал";"https://t.me/YA5Mvuf8dV4xZTBi"
"90";"N/A";"IW_5RjSA_mU1YmI0";"Канал";"https://t.me/IW_5RjSA_mU1YmI0"
"91";"N/A";"ReklamaTeleblog";"Канал";"https://t.me/ReklamaTeleblog"
"92";"N/A";"uvb76logs";"Канал";"https://t.me/uvb76logs"
"93";"N/A";"WindCrypton";"Канал";"https://t.me/WindCrypton"
"94";"N/A";"Screen_Aesthetic";"Канал";"https://t.me/Screen_Aesthetic"
"95";"N/A";"jwRpAs8SkzA5NGNi";"Канал";"https://t.me/jwRpAs8SkzA5NGNi"
"96";"N/A";"silllnt_off";"Канал";"https://t.me/silllnt_off"
