"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"temki_zvezdy";"Канал";"https://t.me/temki_zvezdy"
"2";"N/A";"stikery_emodzi_memy";"Канал";"https://t.me/stikery_emodzi_memy"
"3";"N/A";"temki_yazykii";"Канал";"https://t.me/temki_yazykii"
"4";"N/A";"anime_oboi2";"Канал";"https://t.me/anime_oboi2"
"5";"N/A";"psikhologia_flibustaq";"Канал";"https://t.me/psikhologia_flibustaq"
"6";"N/A";"presety";"Канал";"https://t.me/presety"
"7";"N/A";"smotretr";"Канал";"https://t.me/smotretr"
"8";"N/A";"dx8blS31ljE0OTUy";"Канал";"https://t.me/dx8blS31ljE0OTUy"
"9";"N/A";"AAAAAFO6c-gpZoYq2OrsoA";"Канал";"https://t.me/AAAAAFO6c-gpZoYq2OrsoA"
"10";"N/A";"folwixxx";"Канал";"https://t.me/folwixxx"
"11";"N/A";"VlD1KM2CgJdkNmM6";"Канал";"https://t.me/VlD1KM2CgJdkNmM6"
"12";"N/A";"vvczc5Z6dqQwYTBi";"Канал";"https://t.me/vvczc5Z6dqQwYTBi"
"13";"N/A";"DeuMWaJRHak0ZGFh";"Канал";"https://t.me/DeuMWaJRHak0ZGFh"
"14";"N/A";"or-61_GEPKU5NTM6";"Канал";"https://t.me/or-61_GEPKU5NTM6"
"15";"N/A";"minitatu";"Канал";"https://t.me/minitatu"
"16";"N/A";"midjourney_home";"Канал";"https://t.me/midjourney_home"
"17";"N/A";"8rx7F4kFhdMyZTIy";"Канал";"https://t.me/8rx7F4kFhdMyZTIy"
"18";"N/A";"estetika_fotograf";"Канал";"https://t.me/estetika_fotograf"
"19";"N/A";"iwalss";"Канал";"https://t.me/iwalss"
"20";"N/A";"neuroset_vidit";"Канал";"https://t.me/neuroset_vidit"
"21";"N/A";"fabula_community";"Канал";"https://t.me/fabula_community"
"22";"N/A";"jutsu_anime";"Канал";"https://t.me/jutsu_anime"
"23";"N/A";"AAAAAExWejU3XDHQuyTy_g";"Канал";"https://t.me/AAAAAExWejU3XDHQuyTy_g"
"24";"N/A";"Swmvtq2i5atlYmEy";"Канал";"https://t.me/Swmvtq2i5atlYmEy"
"25";"N/A";"ZFIcPFcKbdQ3YTAy";"Канал";"https://t.me/ZFIcPFcKbdQ3YTAy"
"26";"N/A";"temki_yaziparnye";"Канал";"https://t.me/temki_yaziparnye"
"27";"N/A";"a0dCSJh6x6I0MDRi";"Канал";"https://t.me/a0dCSJh6x6I0MDRi"
"28";"N/A";"9P8VXWauJf0zZTdi";"Канал";"https://t.me/9P8VXWauJf0zZTdi"
"29";"N/A";"s_utrom_dobrym";"Канал";"https://t.me/s_utrom_dobrym"
"30";"N/A";"s3bqEHZkuwdjNmEy";"Канал";"https://t.me/s3bqEHZkuwdjNmEy"
"31";"N/A";"KqA5dgdCCukxMmM0";"Канал";"https://t.me/KqA5dgdCCukxMmM0"
"32";"N/A";"5Yx1Way8Cpo2OWUy";"Канал";"https://t.me/5Yx1Way8Cpo2OWUy"
"33";"N/A";"Pozdravlenie";"Канал";"https://t.me/Pozdravlenie"
"34";"N/A";"stickers_vk";"Канал";"https://t.me/stickers_vk"
"35";"N/A";"HJ5Iwnu0128wMTUy";"Канал";"https://t.me/HJ5Iwnu0128wMTUy"
"36";"N/A";"Wa3hXsPwoS1kNDIy";"Канал";"https://t.me/Wa3hXsPwoS1kNDIy"
"37";"N/A";"akXxeq-KQcw1MmUy";"Канал";"https://t.me/akXxeq-KQcw1MmUy"
"38";"N/A";"SSEYxxxe2yw2NzNi";"Канал";"https://t.me/SSEYxxxe2yw2NzNi"
"39";"N/A";"bfSOJzl6CWc2NDdi";"Канал";"https://t.me/bfSOJzl6CWc2NDdi"
"40";"N/A";"tattoo_eskizy_sketches";"Канал";"https://t.me/tattoo_eskizy_sketches"
"41";"N/A";"avatarka_oboi7";"Канал";"https://t.me/avatarka_oboi7"
"42";"N/A";"AkgA5kFLOn5iNDIy";"Канал";"https://t.me/AkgA5kFLOn5iNDIy"
"43";"N/A";"otkrytki_kartinki222";"Канал";"https://t.me/otkrytki_kartinki222"
"44";"N/A";"E3_SMMKV1YlmZDky";"Канал";"https://t.me/E3_SMMKV1YlmZDky"
"45";"N/A";"fqf87t65NB5lOWEy";"Канал";"https://t.me/fqf87t65NB5lOWEy"
"46";"N/A";"wOPO-wECkYUzM2Iy";"Канал";"https://t.me/wOPO-wECkYUzM2Iy"
"47";"N/A";"Sense_of_photo";"Канал";"https://t.me/Sense_of_photo"
"48";"N/A";"s_dobrym_utrom0";"Канал";"https://t.me/s_dobrym_utrom0"
"49";"N/A";"pozdravlenia0";"Канал";"https://t.me/pozdravlenia0"
"50";"N/A";"3VTQwWGPg50yZjU0";"Канал";"https://t.me/3VTQwWGPg50yZjU0"
"51";"N/A";"E-7g7sqPcpBlMmEy";"Канал";"https://t.me/E-7g7sqPcpBlMmEy"
"52";"N/A";"6f2BR4stwcBlNGY6";"Канал";"https://t.me/6f2BR4stwcBlNGY6"
"53";"N/A";"AnimeAI2d";"Канал";"https://t.me/AnimeAI2d"
"54";"N/A";"Lh1N87uitZplZWVi";"Канал";"https://t.me/Lh1N87uitZplZWVi"
"55";"N/A";"j7ddmO-uhVI3NjUy";"Канал";"https://t.me/j7ddmO-uhVI3NjUy"
"56";"N/A";"G-k0478AdLc2OTky";"Канал";"https://t.me/G-k0478AdLc2OTky"
"57";"N/A";"Kazaksha_muzykalar_ander8";"Канал";"https://t.me/Kazaksha_muzykalar_ander8"
"58";"N/A";"gwUXEmUOdqkzY2Ni";"Канал";"https://t.me/gwUXEmUOdqkzY2Ni"
"59";"N/A";"PravoslavnieMolitva";"Канал";"https://t.me/PravoslavnieMolitva"
"60";"N/A";"Wallgif";"Канал";"https://t.me/Wallgif"
"61";"N/A";"790dMQgsq6E3Nzcy";"Канал";"https://t.me/790dMQgsq6E3Nzcy"
"62";"N/A";"mangabuff";"Канал";"https://t.me/mangabuff"
"63";"N/A";"f9rZQGPKVtcyMTEy";"Канал";"https://t.me/f9rZQGPKVtcyMTEy"
"64";"N/A";"forwardoboi";"Канал";"https://t.me/forwardoboi"
"65";"N/A";"7Jdir0cyS19hMWUy";"Канал";"https://t.me/7Jdir0cyS19hMWUy"
"66";"N/A";"AnyChars";"Канал";"https://t.me/AnyChars"
"67";"N/A";"FXKMcny3rBI2Mjgy";"Канал";"https://t.me/FXKMcny3rBI2Mjgy"
"68";"N/A";"OwjetqrpzLgxYjBk";"Канал";"https://t.me/OwjetqrpzLgxYjBk"
"69";"N/A";"iphonefotohd";"Канал";"https://t.me/iphonefotohd"
"70";"N/A";"krasivvie";"Канал";"https://t.me/krasivvie"
"71";"N/A";"B10WidHBnzs0ZDhi";"Канал";"https://t.me/B10WidHBnzs0ZDhi"
"72";"N/A";"pibotrus";"Канал";"https://t.me/pibotrus"
"73";"N/A";"17r_CkQKSiFjODQy";"Канал";"https://t.me/17r_CkQKSiFjODQy"
"74";"N/A";"E4n6Kmds2tw0ODJi";"Канал";"https://t.me/E4n6Kmds2tw0ODJi"
"75";"N/A";"kartinki_milye_poshlyez";"Канал";"https://t.me/kartinki_milye_poshlyez"
"76";"N/A";"uD8be9yMTDQ1OGUy";"Канал";"https://t.me/uD8be9yMTDQ1OGUy"
"77";"N/A";"aYAxGF-SxvQwZjli";"Канал";"https://t.me/aYAxGF-SxvQwZjli"
"78";"N/A";"photoloverr";"Канал";"https://t.me/photoloverr"
"79";"N/A";"h-B6esxqnKU1ZTQy";"Канал";"https://t.me/h-B6esxqnKU1ZTQy"
"80";"N/A";"presets1";"Канал";"https://t.me/presets1"
"81";"N/A";"TgEmojisFonts";"Канал";"https://t.me/TgEmojisFonts"
"82";"N/A";"Fs7fdssXhy0yY2Ey";"Канал";"https://t.me/Fs7fdssXhy0yY2Ey"
"83";"N/A";"i_S_wWhpJDI3MmUy";"Канал";"https://t.me/i_S_wWhpJDI3MmUy"
"84";"N/A";"kazaksha_ander0";"Канал";"https://t.me/kazaksha_ander0"
"85";"N/A";"L0ZZTWKE7nxkZWEy";"Канал";"https://t.me/L0ZZTWKE7nxkZWEy"
"86";"N/A";"temadly";"Канал";"https://t.me/temadly"
"87";"N/A";"mhte3-hgaqA1YmYy";"Канал";"https://t.me/mhte3-hgaqA1YmYy"
"88";"N/A";"otkritkitut";"Канал";"https://t.me/otkritkitut"
"89";"N/A";"oboi_foto_na_avu";"Канал";"https://t.me/oboi_foto_na_avu"
"90";"N/A";"p0zhORMAnpcxZGZk";"Канал";"https://t.me/p0zhORMAnpcxZGZk"
"91";"N/A";"pozdravlenyaa";"Канал";"https://t.me/pozdravlenyaa"
"92";"N/A";"1XO3rT0vt040OTIy";"Канал";"https://t.me/1XO3rT0vt040OTIy"
"93";"N/A";"fwalls";"Канал";"https://t.me/fwalls"
"94";"N/A";"parnyem";"Канал";"https://t.me/parnyem"
"95";"N/A";"MTThistory";"Канал";"https://t.me/MTThistory"
"96";"N/A";"rJuIG1XMZ2RlMzMy";"Канал";"https://t.me/rJuIG1XMZ2RlMzMy"
"97";"N/A";"VqkU2xWwgG1kYTFi";"Канал";"https://t.me/VqkU2xWwgG1kYTFi"
"98";"N/A";"fMW-Wr7F0WU3NjMy";"Канал";"https://t.me/fMW-Wr7F0WU3NjMy"
"99";"N/A";"n0L75bouU3Y2MzQ6";"Канал";"https://t.me/n0L75bouU3Y2MzQ6"
"100";"N/A";"ifonkupitemne";"Канал";"https://t.me/ifonkupitemne"
"101";"N/A";"s_dobrymi_pozhelaniami";"Канал";"https://t.me/s_dobrymi_pozhelaniami"
"102";"N/A";"KYV-3rD-XRViMTBi";"Канал";"https://t.me/KYV-3rD-XRViMTBi"
"103";"N/A";"lera_simka_tg";"Канал";"https://t.me/lera_simka_tg"
"104";"N/A";"ilovelightroomcc";"Канал";"https://t.me/ilovelightroomcc"
"105";"N/A";"wppv3Mrs6admYjRk";"Канал";"https://t.me/wppv3Mrs6admYjRk"
"106";"N/A";"svyazkaa";"Канал";"https://t.me/svyazkaa"
"107";"N/A";"StableWaifu";"Канал";"https://t.me/StableWaifu"
"108";"N/A";"lGynPNTjZmJhYzNi";"Канал";"https://t.me/lGynPNTjZmJhYzNi"
"109";"N/A";"6vlUcSnmqhAxMTYy";"Канал";"https://t.me/6vlUcSnmqhAxMTYy"
"110";"N/A";"PhotoideasTG";"Канал";"https://t.me/PhotoideasTG"
"111";"N/A";"rai_otkr";"Канал";"https://t.me/rai_otkr"
"112";"N/A";"TO0hSXyVRRs5OTgy";"Канал";"https://t.me/TO0hSXyVRRs5OTgy"
"113";"N/A";"parnavichki";"Канал";"https://t.me/parnavichki"
"114";"N/A";"morninggoods";"Канал";"https://t.me/morninggoods"
"115";"N/A";"wlpr8k";"Канал";"https://t.me/wlpr8k"
"116";"N/A";"aBzb7voADHplN2Fi";"Канал";"https://t.me/aBzb7voADHplN2Fi"
"117";"N/A";"pN_tIYTkf3cxZDEy";"Канал";"https://t.me/pN_tIYTkf3cxZDEy"
"118";"N/A";"nrajqB6eDgc4MTVi";"Канал";"https://t.me/nrajqB6eDgc4MTVi"
"119";"N/A";"demonrumanga";"Канал";"https://t.me/demonrumanga"
