"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"RKadyrov_95";"Канал";"https://t.me/RKadyrov_95"
"2";"N/A";"medvedev_telegram";"Канал";"https://t.me/medvedev_telegram"
"3";"N/A";"adelimkhanov_95";"Канал";"https://t.me/adelimkhanov_95"
"4";"N/A";"RVvoenkor";"Канал";"https://t.me/RVvoenkor"
"5";"N/A";"rybar";"Канал";"https://t.me/rybar"
"6";"N/A";"vv_volodin";"Канал";"https://t.me/vv_volodin"
"7";"N/A";"MDaudov_95";"Канал";"https://t.me/MDaudov_95"
"8";"N/A";"SolovievLive";"Канал";"https://t.me/SolovievLive"
"9";"N/A";"sanya_florida";"Канал";"https://t.me/sanya_florida"
"10";"N/A";"boris_rozhin";"Канал";"https://t.me/boris_rozhin"
"11";"N/A";"mfhcUYNSXBtkY2Iy";"Канал";"https://t.me/mfhcUYNSXBtkY2Iy"
"12";"N/A";"dmitrynikotin";"Канал";"https://t.me/dmitrynikotin"
"13";"N/A";"obshina_ru";"Канал";"https://t.me/obshina_ru"
"14";"N/A";"mod_russia";"Канал";"https://t.me/mod_russia"
"15";"N/A";"ejdailyru";"Канал";"https://t.me/ejdailyru"
"16";"N/A";"margaritasimonyan";"Канал";"https://t.me/margaritasimonyan"
"17";"N/A";"vysokygovorit";"Канал";"https://t.me/vysokygovorit"
"18";"N/A";"MariaVladimirovnaZakharova";"Канал";"https://t.me/MariaVladimirovnaZakharova"
"19";"N/A";"mig41";"Канал";"https://t.me/mig41"
"20";"N/A";"rlz_the_kraken";"Канал";"https://t.me/rlz_the_kraken"
"21";"N/A";"vvgladkov";"Канал";"https://t.me/vvgladkov"
"22";"N/A";"opersvodki";"Канал";"https://t.me/opersvodki"
"23";"N/A";"SergeyKolyasnikov";"Канал";"https://t.me/SergeyKolyasnikov"
"24";"N/A";"eschulmann";"Канал";"https://t.me/eschulmann"
"25";"N/A";"vatnoeboloto";"Канал";"https://t.me/vatnoeboloto"
"26";"N/A";"nikitabsg";"Канал";"https://t.me/nikitabsg"
"27";"N/A";"Taynaya_kantselyariya";"Канал";"https://t.me/Taynaya_kantselyariya"
"28";"N/A";"mnogonazi";"Канал";"https://t.me/mnogonazi"
"29";"N/A";"7-d9TpFiSpplMzVi";"Канал";"https://t.me/7-d9TpFiSpplMzVi"
"30";"N/A";"russicaRU";"Канал";"https://t.me/russicaRU"
"31";"N/A";"ehtKrVptq_YwNTky";"Канал";"https://t.me/ehtKrVptq_YwNTky"
"32";"N/A";"strelkovii";"Канал";"https://t.me/strelkovii"
"33";"N/A";"aleksandr_skif";"Канал";"https://t.me/aleksandr_skif"
"34";"N/A";"dimsmirnov175";"Канал";"https://t.me/dimsmirnov175"
"35";"N/A";"voenkorKotenok";"Канал";"https://t.me/voenkorKotenok"
"36";"N/A";"mos_sobyanin";"Канал";"https://t.me/mos_sobyanin"
"37";"N/A";"Putin_tramp_mobilizaciya_migrant";"Канал";"https://t.me/Putin_tramp_mobilizaciya_migrant"
"38";"N/A";"stalin_gulag";"Канал";"https://t.me/stalin_gulag"
"39";"N/A";"obzorpolita";"Канал";"https://t.me/obzorpolita"
"40";"N/A";"slvn_pomet";"Канал";"https://t.me/slvn_pomet"
"41";"N/A";"generalsvr";"Канал";"https://t.me/generalsvr"
"42";"N/A";"maester";"Канал";"https://t.me/maester"
"43";"N/A";"GardeZ66";"Канал";"https://t.me/GardeZ66"
"44";"N/A";"NeoficialniyBeZsonoV";"Канал";"https://t.me/NeoficialniyBeZsonoV"
