"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"etoznakmag";"Канал";"https://t.me/etoznakmag"
"2";"N/A";"veronikastepanova20011";"Канал";"https://t.me/veronikastepanova20011"
"3";"N/A";"kristina_egiazarova14";"Канал";"https://t.me/kristina_egiazarova14"
"4";"N/A";"females";"Канал";"https://t.me/females"
"5";"N/A";"sexology_vasilenko";"Канал";"https://t.me/sexology_vasilenko"
"6";"N/A";"psihzh";"Канал";"https://t.me/psihzh"
"7";"N/A";"Seda_Kasparova_news";"Канал";"https://t.me/Seda_Kasparova_news"
"8";"N/A";"Psychologs";"Канал";"https://t.me/Psychologs"
"9";"N/A";"ss5eamUC9Lc4N2Ey";"Канал";"https://t.me/ss5eamUC9Lc4N2Ey"
"10";"N/A";"labkovskiy";"Канал";"https://t.me/labkovskiy"
"11";"N/A";"neirografica_formagiclife";"Канал";"https://t.me/neirografica_formagiclife"
"12";"N/A";"tinderbye";"Канал";"https://t.me/tinderbye"
"13";"N/A";"_Pd7NBtsWlBlNjAy";"Канал";"https://t.me/_Pd7NBtsWlBlNjAy"
"14";"N/A";"satyadas_official";"Канал";"https://t.me/satyadas_official"
"15";"N/A";"AAAAAEluz5-ddFBJQZkBPA";"Канал";"https://t.me/AAAAAEluz5-ddFBJQZkBPA"
"16";"N/A";"potok_samarina";"Канал";"https://t.me/potok_samarina"
"17";"N/A";"lpetranovskaya";"Канал";"https://t.me/lpetranovskaya"
"18";"N/A";"deparpower";"Канал";"https://t.me/deparpower"
"19";"N/A";"muzhitskaya";"Канал";"https://t.me/muzhitskaya"
"20";"N/A";"helga18plus";"Канал";"https://t.me/helga18plus"
"21";"N/A";"happy_intelligence";"Канал";"https://t.me/happy_intelligence"
"22";"N/A";"neuropsychology";"Канал";"https://t.me/neuropsychology"
"23";"N/A";"transerfing_realnosti_tyt";"Канал";"https://t.me/transerfing_realnosti_tyt"
"24";"N/A";"samorazvition";"Канал";"https://t.me/samorazvition"
"25";"N/A";"MeDkraO_YRg1ZWEy";"Канал";"https://t.me/MeDkraO_YRg1ZWEy"
"26";"N/A";"philosophicaI_thoughts";"Канал";"https://t.me/philosophicaI_thoughts"
"27";"N/A";"Adaconde1";"Канал";"https://t.me/Adaconde1"
"28";"N/A";"psyxo1";"Канал";"https://t.me/psyxo1"
"29";"N/A";"milana_tarba";"Канал";"https://t.me/milana_tarba"
"30";"N/A";"kurs_obrazovanie";"Канал";"https://t.me/kurs_obrazovanie"
"31";"N/A";"Master_of_Habits";"Канал";"https://t.me/Master_of_Habits"
"32";"N/A";"Csj8DhvkfDBjN2Iy";"Канал";"https://t.me/Csj8DhvkfDBjN2Iy"
"33";"N/A";"SilaSlov";"Канал";"https://t.me/SilaSlov"
"34";"N/A";"psyhoIogy";"Канал";"https://t.me/psyhoIogy"
"35";"N/A";"silaslovv";"Канал";"https://t.me/silaslovv"
"36";"N/A";"larangsovetme";"Канал";"https://t.me/larangsovetme"
"37";"N/A";"babazoyka";"Канал";"https://t.me/babazoyka"
"38";"N/A";"psychologiy_tg";"Канал";"https://t.me/psychologiy_tg"
"39";"N/A";"accto_freud";"Канал";"https://t.me/accto_freud"
"40";"N/A";"takoerasskaju";"Канал";"https://t.me/takoerasskaju"
"41";"N/A";"KHp5usgbiiNhNzky";"Канал";"https://t.me/KHp5usgbiiNhNzky"
"42";"N/A";"alinaguess";"Канал";"https://t.me/alinaguess"
"43";"N/A";"_e9H2MO0Lgw4ZWZi";"Канал";"https://t.me/_e9H2MO0Lgw4ZWZi"
"44";"N/A";"MGz4Dr6rUzhhMDdi";"Канал";"https://t.me/MGz4Dr6rUzhhMDdi"
"45";"N/A";"motivation_psychoIogy";"Канал";"https://t.me/motivation_psychoIogy"
"46";"N/A";"2vyCJKUvPI8xZmRi";"Канал";"https://t.me/2vyCJKUvPI8xZmRi"
"47";"N/A";"olga_prokopova_s";"Канал";"https://t.me/olga_prokopova_s"
"48";"N/A";"psy4love";"Канал";"https://t.me/psy4love"
"49";"N/A";"tvchernigovskya";"Канал";"https://t.me/tvchernigovskya"
"50";"N/A";"markbarton_mb";"Канал";"https://t.me/markbarton_mb"
"51";"N/A";"drSit";"Канал";"https://t.me/drSit"
"52";"N/A";"bestijaia";"Канал";"https://t.me/bestijaia"
"53";"N/A";"perexodvtak";"Канал";"https://t.me/perexodvtak"
"54";"N/A";"yapsihologya";"Канал";"https://t.me/yapsihologya"
"55";"N/A";"psihologiyaaaaaa0";"Канал";"https://t.me/psihologiyaaaaaa0"
"56";"N/A";"nesovetchik";"Канал";"https://t.me/nesovetchik"
"57";"N/A";"yasno_live";"Канал";"https://t.me/yasno_live"
"58";"N/A";"books_things";"Канал";"https://t.me/books_things"
"59";"N/A";"motivationdushevn01";"Канал";"https://t.me/motivationdushevn01"
"60";"N/A";"vse_o_socionike";"Канал";"https://t.me/vse_o_socionike"
"61";"N/A";"high_ver";"Канал";"https://t.me/high_ver"
"62";"N/A";"structure_happy";"Канал";"https://t.me/structure_happy"
"63";"N/A";"Samopoznanie_Psiholoanaliz";"Канал";"https://t.me/Samopoznanie_Psiholoanaliz"
"64";"N/A";"womancan_mb";"Канал";"https://t.me/womancan_mb"
"65";"N/A";"girlss_say";"Канал";"https://t.me/girlss_say"
"66";"N/A";"etiketmaneri";"Канал";"https://t.me/etiketmaneri"
"67";"N/A";"sheis10l10";"Канал";"https://t.me/sheis10l10"
"68";"N/A";"ekaterina_sokalskaya";"Канал";"https://t.me/ekaterina_sokalskaya"
"69";"N/A";"huH9ZhYKUARhYWEy";"Канал";"https://t.me/huH9ZhYKUARhYWEy"
"70";"N/A";"belovainnapsy";"Канал";"https://t.me/belovainnapsy"
"71";"N/A";"mamazonija";"Канал";"https://t.me/mamazonija"
"72";"N/A";"av_kiryanova";"Канал";"https://t.me/av_kiryanova"
"73";"N/A";"womenspsi";"Канал";"https://t.me/womenspsi"
"74";"N/A";"-Ar-gRiDSYE1ZmZi";"Канал";"https://t.me/-Ar-gRiDSYE1ZmZi"
"75";"N/A";"drevs108";"Канал";"https://t.me/drevs108"
"76";"N/A";"twitchs_blogery_strimery";"Канал";"https://t.me/twitchs_blogery_strimery"
"77";"N/A";"ka6nztnB51sxNDJi";"Канал";"https://t.me/ka6nztnB51sxNDJi"
"78";"N/A";"podkasti_audioknigi";"Канал";"https://t.me/podkasti_audioknigi"
"79";"N/A";"ikyklovod";"Канал";"https://t.me/ikyklovod"
"80";"N/A";"natalkoz_fm";"Канал";"https://t.me/natalkoz_fm"
"81";"N/A";"7WWpH3FBTF1kY2Y6";"Канал";"https://t.me/7WWpH3FBTF1kY2Y6"
"82";"N/A";"motivator_inc";"Канал";"https://t.me/motivator_inc"
"83";"N/A";"tsitatyf";"Канал";"https://t.me/tsitatyf"
"84";"N/A";"zelandbox";"Канал";"https://t.me/zelandbox"
"85";"N/A";"YQYakf2bDoE2NmRi";"Канал";"https://t.me/YQYakf2bDoE2NmRi"
"86";"N/A";"tim_philosophy";"Канал";"https://t.me/tim_philosophy"
"87";"N/A";"idemvmeste_dimagukhman";"Канал";"https://t.me/idemvmeste_dimagukhman"
"88";"N/A";"kurpatov_tg";"Канал";"https://t.me/kurpatov_tg"
"89";"N/A";"estetika_x";"Канал";"https://t.me/estetika_x"
"90";"N/A";"Depth_Reason";"Канал";"https://t.me/Depth_Reason"
"91";"N/A";"so_smislomtg";"Канал";"https://t.me/so_smislomtg"
"92";"N/A";"verdiktt";"Канал";"https://t.me/verdiktt"
"93";"N/A";"Selfdevelopment_money";"Канал";"https://t.me/Selfdevelopment_money"
"94";"N/A";"ZinaShamoyan";"Канал";"https://t.me/ZinaShamoyan"
"95";"N/A";"nQG8z4fARaJmMzE6";"Канал";"https://t.me/nQG8z4fARaJmMzE6"
