"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"tresh_voina";"Канал";"https://t.me/tresh_voina"
"2";"N/A";"YQXiJVXEe883Y2Ri";"Канал";"https://t.me/YQXiJVXEe883Y2Ri"
"3";"N/A";"love_thxs";"Канал";"https://t.me/love_thxs"
"4";"N/A";"evodays";"Канал";"https://t.me/evodays"
"5";"N/A";"cafe_citaty";"Канал";"https://t.me/cafe_citaty"
"6";"N/A";"wexsavi";"Канал";"https://t.me/wexsavi"
"7";"N/A";"zhellaniie";"Канал";"https://t.me/zhellaniie"
"8";"N/A";"podkaadttsss";"Канал";"https://t.me/podkaadttsss"
"9";"N/A";"mind_ru";"Канал";"https://t.me/mind_ru"
"10";"N/A";"worldthought";"Канал";"https://t.me/worldthought"
"11";"N/A";"Galirey";"Канал";"https://t.me/Galirey"
"12";"N/A";"summerposl";"Канал";"https://t.me/summerposl"
"13";"N/A";"absoulluve";"Канал";"https://t.me/absoulluve"
"14";"N/A";"astrologia_znaki_zodiaka";"Канал";"https://t.me/astrologia_znaki_zodiaka"
"15";"N/A";"GoTodayGo";"Канал";"https://t.me/GoTodayGo"
"16";"N/A";"Citaty_M";"Канал";"https://t.me/Citaty_M"
"17";"N/A";"ilowe_you";"Канал";"https://t.me/ilowe_you"
"18";"N/A";"motivatsia_psikhologia";"Канал";"https://t.me/motivatsia_psikhologia"
"19";"N/A";"tebe_znaki";"Канал";"https://t.me/tebe_znaki"
"20";"N/A";"flibustabooks";"Канал";"https://t.me/flibustabooks"
"21";"N/A";"the_best_tgm";"Канал";"https://t.me/the_best_tgm"
"22";"N/A";"roozhkova";"Канал";"https://t.me/roozhkova"
"23";"N/A";"etot_tvoimi_tebem";"Канал";"https://t.me/etot_tvoimi_tebem"
"24";"N/A";"happiness00_0";"Канал";"https://t.me/happiness00_0"
"25";"N/A";"golossaaa";"Канал";"https://t.me/golossaaa"
"26";"N/A";"happymir";"Канал";"https://t.me/happymir"
"27";"N/A";"yv5n0K-3NxQ3N2Yy";"Канал";"https://t.me/yv5n0K-3NxQ3N2Yy"
"28";"N/A";"my_golos_serdca";"Канал";"https://t.me/my_golos_serdca"
"29";"N/A";"tyt_znaki";"Канал";"https://t.me/tyt_znaki"
"30";"N/A";"loveznaks";"Канал";"https://t.me/loveznaks"
"31";"N/A";"f_VnGbLq_zQxNzVi";"Канал";"https://t.me/f_VnGbLq_zQxNzVi"
"32";"N/A";"madam_jpavlovna";"Канал";"https://t.me/madam_jpavlovna"
"33";"N/A";"tainoeposl";"Канал";"https://t.me/tainoeposl"
"34";"N/A";"my_hamka";"Канал";"https://t.me/my_hamka"
"35";"N/A";"fory7o";"Канал";"https://t.me/fory7o"
"36";"N/A";"psikhologiae";"Канал";"https://t.me/psikhologiae"
"37";"N/A";"jnAck0ATD8lhNDli";"Канал";"https://t.me/jnAck0ATD8lhNDli"
"38";"N/A";"GMEDP5fkInliMWJi";"Канал";"https://t.me/GMEDP5fkInliMWJi"
"39";"N/A";"ruh_parcassi";"Канал";"https://t.me/ruh_parcassi"
"40";"N/A";"hoNoXHJzy9FjMjhi";"Канал";"https://t.me/hoNoXHJzy9FjMjhi"
"41";"N/A";"NovostiNaZavtra";"Канал";"https://t.me/NovostiNaZavtra"
"42";"N/A";"psysoul_info";"Канал";"https://t.me/psysoul_info"
"43";"N/A";"vseonas99";"Канал";"https://t.me/vseonas99"
"44";"N/A";"UhfjWd9cuZc5ODE6";"Канал";"https://t.me/UhfjWd9cuZc5ODE6"
"45";"N/A";"znak_nastya";"Канал";"https://t.me/znak_nastya"
"46";"N/A";"meridianov";"Канал";"https://t.me/meridianov"
"47";"N/A";"azash3_mp3";"Канал";"https://t.me/azash3_mp3"
"48";"N/A";"mudr_str";"Канал";"https://t.me/mudr_str"
"49";"N/A";"Citaty_zhizni";"Канал";"https://t.me/Citaty_zhizni"
"50";"N/A";"Fotkioboiie";"Канал";"https://t.me/Fotkioboiie"
"51";"N/A";"ya_lyblyu";"Канал";"https://t.me/ya_lyblyu"
"52";"N/A";"zavtrayou";"Канал";"https://t.me/zavtrayou"
"53";"N/A";"poslanie_tebee";"Канал";"https://t.me/poslanie_tebee"
"54";"N/A";"Starpluss_pl";"Канал";"https://t.me/Starpluss_pl"
"55";"N/A";"iloveeyoustill";"Канал";"https://t.me/iloveeyoustill"
"56";"N/A";"besit_stroki";"Канал";"https://t.me/besit_stroki"
"57";"N/A";"napomynanie";"Канал";"https://t.me/napomynanie"
"58";"N/A";"asyassoul";"Канал";"https://t.me/asyassoul"
"59";"N/A";"znak_dasha";"Канал";"https://t.me/znak_dasha"
"60";"N/A";"Ilolx";"Канал";"https://t.me/Ilolx"
"61";"N/A";"treki444";"Канал";"https://t.me/treki444"
"62";"N/A";"mon1amii";"Канал";"https://t.me/mon1amii"
"63";"N/A";"totznak";"Канал";"https://t.me/totznak"
"64";"N/A";"avatarki_oboi_temkim";"Канал";"https://t.me/avatarki_oboi_temkim"
"65";"N/A";"chekhov_life";"Канал";"https://t.me/chekhov_life"
"66";"N/A";"jas_statham";"Канал";"https://t.me/jas_statham"
"67";"N/A";"aforizmy_statusyl";"Канал";"https://t.me/aforizmy_statusyl"
"68";"N/A";"psikhologiak";"Канал";"https://t.me/psikhologiak"
"69";"N/A";"rozhdenia_dnem_s";"Канал";"https://t.me/rozhdenia_dnem_s"
"70";"N/A";"oknoVmir";"Канал";"https://t.me/oknoVmir"
"71";"N/A";"samstyless";"Канал";"https://t.me/samstyless"
"72";"N/A";"tisumnihmislei";"Канал";"https://t.me/tisumnihmislei"
"73";"N/A";"tesamiyegolosoviy";"Канал";"https://t.me/tesamiyegolosoviy"
"74";"N/A";"vashaleyli";"Канал";"https://t.me/vashaleyli"
"75";"N/A";"lovemesto_77";"Канал";"https://t.me/lovemesto_77"
"76";"N/A";"adskoe_poslanie";"Канал";"https://t.me/adskoe_poslanie"
"77";"N/A";"lyublyuq";"Канал";"https://t.me/lyublyuq"
"78";"N/A";"the_end_sz";"Канал";"https://t.me/the_end_sz"
"79";"N/A";"znak_sonya";"Канал";"https://t.me/znak_sonya"
"80";"N/A";"exomisleyy";"Канал";"https://t.me/exomisleyy"
"81";"N/A";"znak_vika";"Канал";"https://t.me/znak_vika"
"82";"N/A";"vo_vkus";"Канал";"https://t.me/vo_vkus"
"83";"N/A";"tolstoy_life";"Канал";"https://t.me/tolstoy_life"
"84";"N/A";"it_muzik";"Канал";"https://t.me/it_muzik"
"85";"N/A";"Thoughts_Korea";"Канал";"https://t.me/Thoughts_Korea"
"86";"N/A";"Dragon_Easternn";"Канал";"https://t.me/Dragon_Easternn"
"87";"N/A";"dolce_khaifa";"Канал";"https://t.me/dolce_khaifa"
"88";"N/A";"ahuellaa";"Канал";"https://t.me/ahuellaa"
"89";"N/A";"JIXIp-5acSxhZjhi";"Канал";"https://t.me/JIXIp-5acSxhZjhi"
"90";"N/A";"vsplessski";"Канал";"https://t.me/vsplessski"
"91";"N/A";"znak_anya";"Канал";"https://t.me/znak_anya"
"92";"N/A";"vpdett";"Канал";"https://t.me/vpdett"
"93";"N/A";"cyberbestie";"Канал";"https://t.me/cyberbestie"
"94";"N/A";"bcbbtr";"Канал";"https://t.me/bcbbtr"
"95";"N/A";"The_charm_of_femininity_1";"Канал";"https://t.me/The_charm_of_femininity_1"
"96";"N/A";"nevinoshyy";"Канал";"https://t.me/nevinoshyy"
"97";"N/A";"islamskietsitaty";"Канал";"https://t.me/islamskietsitaty"
"98";"N/A";"loathe_thxs";"Канал";"https://t.me/loathe_thxs"
"99";"N/A";"znak_polina";"Канал";"https://t.me/znak_polina"
"100";"N/A";"znak_masha";"Канал";"https://t.me/znak_masha"
"101";"N/A";"hhoottii";"Канал";"https://t.me/hhoottii"
"102";"N/A";"mypozdravlenie";"Канал";"https://t.me/mypozdravlenie"
"103";"N/A";"2d64SVQIGHZmMDFi";"Канал";"https://t.me/2d64SVQIGHZmMDFi"
"104";"N/A";"quotes_teacher";"Канал";"https://t.me/quotes_teacher"
"105";"N/A";"newlovechanell";"Канал";"https://t.me/newlovechanell"
"106";"N/A";"kdvN9pVFRsI0ZTYy";"Канал";"https://t.me/kdvN9pVFRsI0ZTYy"
"107";"N/A";"sms_kaa";"Канал";"https://t.me/sms_kaa"
"108";"N/A";"love_is_dp";"Канал";"https://t.me/love_is_dp"
"109";"N/A";"esthochu";"Канал";"https://t.me/esthochu"
"110";"N/A";"znak_katya";"Канал";"https://t.me/znak_katya"
"111";"N/A";"QyDAoHLQRAk4OTdi";"Канал";"https://t.me/QyDAoHLQRAk4OTdi"
"112";"N/A";"slovosudba";"Канал";"https://t.me/slovosudba"
"113";"N/A";"znak_eto";"Канал";"https://t.me/znak_eto"
