"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"kvmalofeev";"Канал";"https://t.me/kvmalofeev"
"2";"N/A";"videotca_Andrea";"Канал";"https://t.me/videotca_Andrea"
"3";"N/A";"nashidy";"Канал";"https://t.me/nashidy"
"4";"N/A";"molitvaikona";"Канал";"https://t.me/molitvaikona"
"5";"N/A";"pavelostrovski";"Канал";"https://t.me/pavelostrovski"
"6";"N/A";"MSOREkTEj5ozNDJi";"Канал";"https://t.me/MSOREkTEj5ozNDJi"
"7";"N/A";"HL733xKl2_g3ZTdi";"Канал";"https://t.me/HL733xKl2_g3ZTdi"
"8";"N/A";"vremenierr";"Канал";"https://t.me/vremenierr"
"9";"N/A";"o_andrey_tkachev";"Канал";"https://t.me/o_andrey_tkachev"
"10";"N/A";"R7BiwRf_aPs1Y2Iy";"Канал";"https://t.me/R7BiwRf_aPs1Y2Iy"
"11";"N/A";"xxZ3ZDd6MY01NTky";"Канал";"https://t.me/xxZ3ZDd6MY01NTky"
"12";"N/A";"kniga_pdf";"Канал";"https://t.me/kniga_pdf"
"13";"N/A";"nasheed_mp3";"Канал";"https://t.me/nasheed_mp3"
"14";"N/A";"pravoslavieVtelege";"Канал";"https://t.me/pravoslavieVtelege"
"15";"N/A";"Pravoslav_molitvoslov";"Канал";"https://t.me/Pravoslav_molitvoslov"
"16";"N/A";"spastv";"Канал";"https://t.me/spastv"
"17";"N/A";"VyMNqBXtBCtmOTQ6";"Канал";"https://t.me/VyMNqBXtBCtmOTQ6"
"18";"N/A";"azbible";"Канал";"https://t.me/azbible"
"19";"N/A";"ZjcMcHzvrDwwODNi";"Канал";"https://t.me/ZjcMcHzvrDwwODNi"
"20";"N/A";"7ZiNikfRDlFlM2Y6";"Канал";"https://t.me/7ZiNikfRDlFlM2Y6"
"21";"N/A";"foma_ru_glavnoe";"Канал";"https://t.me/foma_ru_glavnoe"
"22";"N/A";"orthodoxpsiholog";"Канал";"https://t.me/orthodoxpsiholog"
"23";"N/A";"azprayer";"Канал";"https://t.me/azprayer"
"24";"N/A";"xxwaXvqHtXNiNzJi";"Канал";"https://t.me/xxwaXvqHtXNiNzJi"
"25";"N/A";"pravoslavnyy_kanal";"Канал";"https://t.me/pravoslavnyy_kanal"
"26";"N/A";"usmankhamys";"Канал";"https://t.me/usmankhamys"
"27";"N/A";"nickolaybabkin";"Канал";"https://t.me/nickolaybabkin"
"28";"N/A";"pravoslavie_i_deti";"Канал";"https://t.me/pravoslavie_i_deti"
"29";"N/A";"umma_ru";"Канал";"https://t.me/umma_ru"
"30";"N/A";"optina";"Канал";"https://t.me/optina"
"31";"N/A";"uLLawk03r8w1MDMy";"Канал";"https://t.me/uLLawk03r8w1MDMy"
"32";"N/A";"AkSz07ahzXk2ZWUy";"Канал";"https://t.me/AkSz07ahzXk2ZWUy"
"33";"N/A";"ageevschool";"Канал";"https://t.me/ageevschool"
