"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"tiktokprime";"Канал";"https://t.me/tiktokprime"
"2";"N/A";"AAAAAFBMygPj1a66vL0Itg";"Канал";"https://t.me/AAAAAFBMygPj1a66vL0Itg"
"3";"N/A";"poblat";"Канал";"https://t.me/poblat"
"4";"N/A";"ozonru";"Канал";"https://t.me/ozonru"
"5";"N/A";"H5PdPxdDJvVkZjk6";"Канал";"https://t.me/H5PdPxdDJvVkZjk6"
"6";"N/A";"AAAAAFJrDnftVdZXwOb6Tg";"Канал";"https://t.me/AAAAAFJrDnftVdZXwOb6Tg"
"7";"N/A";"yndx_market";"Канал";"https://t.me/yndx_market"
"8";"N/A";"rzNRnT8VyDc2MmEx";"Канал";"https://t.me/rzNRnT8VyDc2MmEx"
"9";"N/A";"5Tfst_xanm8xNTVi";"Канал";"https://t.me/5Tfst_xanm8xNTVi"
"10";"N/A";"megamrkt";"Канал";"https://t.me/megamrkt"
"11";"N/A";"LAW3vJa0s_JkZjY0";"Канал";"https://t.me/LAW3vJa0s_JkZjY0"
"12";"N/A";"marketbenefit";"Канал";"https://t.me/marketbenefit"
"13";"N/A";"halyavshiki";"Канал";"https://t.me/halyavshiki"
"14";"N/A";"lwlLqVkp2i84ZjAy";"Канал";"https://t.me/lwlLqVkp2i84ZjAy"
"15";"N/A";"alfa_vygodno";"Канал";"https://t.me/alfa_vygodno"
"16";"N/A";"sliv_halyavy";"Канал";"https://t.me/sliv_halyavy"
"17";"N/A";"myspar";"Канал";"https://t.me/myspar"
"18";"N/A";"Lentacom";"Канал";"https://t.me/Lentacom"
"19";"N/A";"Ostorozhnobloggers";"Канал";"https://t.me/Ostorozhnobloggers"
"20";"N/A";"cashback_afisha";"Канал";"https://t.me/cashback_afisha"
"21";"N/A";"ckWyQxLMSd82MmU6";"Канал";"https://t.me/ckWyQxLMSd82MmU6"
"22";"N/A";"cI6DHehQ1v8zOTAy";"Канал";"https://t.me/cI6DHehQ1v8zOTAy"
"23";"N/A";"sunlight_brilliant";"Канал";"https://t.me/sunlight_brilliant"
"24";"N/A";"sportmasterofficial";"Канал";"https://t.me/sportmasterofficial"
"25";"N/A";"zyPuvT0wmmE0MTYy";"Канал";"https://t.me/zyPuvT0wmmE0MTYy"
"26";"N/A";"32qGOBzCvsdkNjRi";"Канал";"https://t.me/32qGOBzCvsdkNjRi"
"27";"N/A";"rEYS4G1VDmA4ZTky";"Канал";"https://t.me/rEYS4G1VDmA4ZTky"
"28";"N/A";"zkKzJThD2TNmNzRi";"Канал";"https://t.me/zkKzJThD2TNmNzRi"
"29";"N/A";"ZigMGv2d6WFmZTQy";"Канал";"https://t.me/ZigMGv2d6WFmZTQy"
"30";"N/A";"skidkimamaa";"Канал";"https://t.me/skidkimamaa"
"31";"N/A";"avito";"Канал";"https://t.me/avito"
"32";"N/A";"snzZuMQ1lbM0NzEy";"Канал";"https://t.me/snzZuMQ1lbM0NzEy"
"33";"N/A";"skidki";"Канал";"https://t.me/skidki"
"34";"N/A";"alikzbs_aliexpress";"Канал";"https://t.me/alikzbs_aliexpress"
"35";"N/A";"HalyavshikiAli";"Канал";"https://t.me/HalyavshikiAli"
