"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"ScL1FOCgJCbFNJK1";"Канал";"https://t.me/ScL1FOCgJCbFNJK1"
"2";"N/A";"algGOzXN7sRhNGVi";"Канал";"https://t.me/algGOzXN7sRhNGVi"
"3";"N/A";"ptX_z_fUlY8wMzhi";"Канал";"https://t.me/ptX_z_fUlY8wMzhi"
"4";"N/A";"zhestnovosty";"Канал";"https://t.me/zhestnovosty"
"5";"N/A";"i4AIn7aMACk0ZmEy";"Канал";"https://t.me/i4AIn7aMACk0ZmEy"
"6";"N/A";"rusich_army";"Канал";"https://t.me/rusich_army"
"7";"N/A";"AAAAAEG9D2xsO4xhFP_EFQ";"Канал";"https://t.me/AAAAAEG9D2xsO4xhFP_EFQ"
"8";"N/A";"__QHr5SUZ-cwNjBi";"Канал";"https://t.me/__QHr5SUZ-cwNjBi"
"9";"N/A";"lpr1_treugolnik";"Канал";"https://t.me/lpr1_treugolnik"
"10";"N/A";"Sladkov_plus";"Канал";"https://t.me/Sladkov_plus"
"11";"N/A";"jYI7LNDcvFw2ODRh";"Канал";"https://t.me/jYI7LNDcvFw2ODRh"
"12";"N/A";"AAAAAFICycTTzCsGbBIwFg";"Канал";"https://t.me/AAAAAFICycTTzCsGbBIwFg"
"13";"N/A";"rI5D3hwU7f1mMDUy";"Канал";"https://t.me/rI5D3hwU7f1mMDUy"
"14";"N/A";"cb_ai";"Канал";"https://t.me/cb_ai"
"15";"N/A";"epoddubny";"Канал";"https://t.me/epoddubny"
"16";"N/A";"uxJFa1f63VphZWYy";"Канал";"https://t.me/uxJFa1f63VphZWYy"
"17";"N/A";"BVV8meRPiHkwNDdi";"Канал";"https://t.me/BVV8meRPiHkwNDdi"
"18";"N/A";"AAAAAFElevcbuyK0EeBX9Q";"Канал";"https://t.me/AAAAAFElevcbuyK0EeBX9Q"
"19";"N/A";"wIk-Hp6ghMRkZDEy";"Канал";"https://t.me/wIk-Hp6ghMRkZDEy"
"20";"N/A";"novosti_days18";"Канал";"https://t.me/novosti_days18"
"21";"N/A";"6CpGNHCyGyBmZTFi";"Канал";"https://t.me/6CpGNHCyGyBmZTFi"
"22";"N/A";"TiX9zQzcsTI2MTMy";"Канал";"https://t.me/TiX9zQzcsTI2MTMy"
"23";"N/A";"AAAAAEZpXWl_yw-M6mrz5w";"Канал";"https://t.me/AAAAAEZpXWl_yw-M6mrz5w"
"24";"N/A";"vzDRQu2A9GgzNTRi";"Канал";"https://t.me/vzDRQu2A9GgzNTRi"
"25";"N/A";"AAAAAEr2OL3_qM0FQdEzcw";"Канал";"https://t.me/AAAAAEr2OL3_qM0FQdEzcw"
"26";"N/A";"TOmT436B1_BkMjIy";"Канал";"https://t.me/TOmT436B1_BkMjIy"
"27";"N/A";"6VsBVWAMik4wZmEy";"Канал";"https://t.me/6VsBVWAMik4wZmEy"
"28";"N/A";"dGGWxiFJ8FVkMmYy";"Канал";"https://t.me/dGGWxiFJ8FVkMmYy"
"29";"N/A";"vgostyaxman";"Канал";"https://t.me/vgostyaxman"
"30";"N/A";"iK54Mo7_5OAxYjBi";"Канал";"https://t.me/iK54Mo7_5OAxYjBi"
"31";"N/A";"AAAAAEsrQsiEvxHoFXMtwQ";"Канал";"https://t.me/AAAAAEsrQsiEvxHoFXMtwQ"
"32";"N/A";"aO_sr1FyxLtiODgy";"Канал";"https://t.me/aO_sr1FyxLtiODgy"
"33";"N/A";"AAAAAEjdcgYjXcxOf3uJ2g";"Канал";"https://t.me/AAAAAEjdcgYjXcxOf3uJ2g"
"34";"N/A";"4722jeM1N5EwYzBi";"Канал";"https://t.me/4722jeM1N5EwYzBi"
"35";"N/A";"bLbiOOhNmDNjYWVi";"Канал";"https://t.me/bLbiOOhNmDNjYWVi"
"36";"N/A";"notes_veterans";"Канал";"https://t.me/notes_veterans"
"37";"N/A";"sienews";"Канал";"https://t.me/sienews"
"38";"N/A";"uf3xSkKR_2U2MjMy";"Канал";"https://t.me/uf3xSkKR_2U2MjMy"
