"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"Match_TV";"Канал";"https://t.me/Match_TV"
"2";"N/A";"9zTVMXxicDNmMDli";"Канал";"https://t.me/9zTVMXxicDNmMDli"
"3";"N/A";"GOAL24Main";"Канал";"https://t.me/GOAL24Main"
"4";"N/A";"sportsru";"Канал";"https://t.me/sportsru"
"5";"N/A";"ufceurasia";"Канал";"https://t.me/ufceurasia"
"6";"N/A";"footbaza";"Канал";"https://t.me/footbaza"
"7";"N/A";"zhfootballll";"Канал";"https://t.me/zhfootballll"
"8";"N/A";"Interesi_Sporta";"Канал";"https://t.me/Interesi_Sporta"
"9";"N/A";"tutvseosporte";"Канал";"https://t.me/tutvseosporte"
"10";"N/A";"matchpremier";"Канал";"https://t.me/matchpremier"
"11";"N/A";"World_Sports_Live";"Канал";"https://t.me/World_Sports_Live"
"12";"N/A";"myachPRO";"Канал";"https://t.me/myachPRO"
"13";"N/A";"hardcore_fightingtg";"Канал";"https://t.me/hardcore_fightingtg"
"14";"N/A";"realmadridcdf";"Канал";"https://t.me/realmadridcdf"
"15";"N/A";"fcsmtg";"Канал";"https://t.me/fcsmtg"
"16";"N/A";"newsbarca";"Канал";"https://t.me/newsbarca"
"17";"N/A";"khl_official_telegram";"Канал";"https://t.me/khl_official_telegram"
"18";"N/A";"ftlive";"Канал";"https://t.me/ftlive"
"19";"N/A";"twodrotsshow";"Канал";"https://t.me/twodrotsshow"
"20";"N/A";"XOFHiy53FYIzNzEy";"Канал";"https://t.me/XOFHiy53FYIzNzEy"
"21";"N/A";"AAAAAEKqw43gyemJenqlqg";"Канал";"https://t.me/AAAAAEKqw43gyemJenqlqg"
"22";"N/A";"match_new";"Канал";"https://t.me/match_new"
"23";"N/A";"rflive";"Канал";"https://t.me/rflive"
"24";"N/A";"rotenberg81";"Канал";"https://t.me/rotenberg81"
"25";"N/A";"championat";"Канал";"https://t.me/championat"
"26";"N/A";"hbIyWfgJbekwNjIy";"Канал";"https://t.me/hbIyWfgJbekwNjIy"
"27";"N/A";"omskiyavangard";"Канал";"https://t.me/omskiyavangard"
"28";"N/A";"artpo17";"Канал";"https://t.me/artpo17"
"29";"N/A";"2iI34Sz_0rtjNDZi";"Канал";"https://t.me/2iI34Sz_0rtjNDZi"
"30";"N/A";"pfccskamoscow";"Канал";"https://t.me/pfccskamoscow"
"31";"N/A";"premierliga";"Канал";"https://t.me/premierliga"
"32";"N/A";"K80bveFe5ENmMTcy";"Канал";"https://t.me/K80bveFe5ENmMTcy"
"33";"N/A";"simply_formula";"Канал";"https://t.me/simply_formula"
"34";"N/A";"sportonkp";"Канал";"https://t.me/sportonkp"
"35";"N/A";"RealGuberniev";"Канал";"https://t.me/RealGuberniev"
"36";"N/A";"trtrrtryy";"Канал";"https://t.me/trtrrtryy"
"37";"N/A";"teamrussia";"Канал";"https://t.me/teamrussia"
