"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"TgEmojis";"Канал";"https://t.me/TgEmojis"
"2";"N/A";"iris_cm";"Канал";"https://t.me/iris_cm"
"3";"N/A";"temki_parnye";"Канал";"https://t.me/temki_parnye"
"4";"N/A";"stikery4";"Канал";"https://t.me/stikery4"
"5";"N/A";"emoji1";"Канал";"https://t.me/emoji1"
"6";"N/A";"silero_voice_news";"Канал";"https://t.me/silero_voice_news"
"7";"N/A";"durov_russia";"Канал";"https://t.me/durov_russia"
"8";"N/A";"TgSticker";"Канал";"https://t.me/TgSticker"
"9";"N/A";"sokhryb";"Канал";"https://t.me/sokhryb"
"10";"N/A";"ahnoee";"Канал";"https://t.me/ahnoee"
"11";"N/A";"steosvoice";"Канал";"https://t.me/steosvoice"
"12";"N/A";"AlphaTtradeNews";"Канал";"https://t.me/AlphaTtradeNews"
"13";"N/A";"gifthub";"Канал";"https://t.me/gifthub"
"14";"N/A";"Stikery_Emodzi_Emoji";"Канал";"https://t.me/Stikery_Emodzi_Emoji"
"15";"N/A";"kiR4XgOctVk1OTZi";"Канал";"https://t.me/kiR4XgOctVk1OTZi"
"16";"N/A";"knifee";"Канал";"https://t.me/knifee"
"17";"N/A";"telegaru";"Канал";"https://t.me/telegaru"
"18";"N/A";"izOPI1LW7u41NmM0";"Канал";"https://t.me/izOPI1LW7u41NmM0"
"19";"N/A";"yoo_stars";"Канал";"https://t.me/yoo_stars"
"20";"N/A";"fStikBlog";"Канал";"https://t.me/fStikBlog"
"21";"N/A";"oboiparnyea";"Канал";"https://t.me/oboiparnyea"
"22";"N/A";"AudioBotBlog";"Канал";"https://t.me/AudioBotBlog"
"23";"N/A";"oyoAFA4YklI5NmE0";"Канал";"https://t.me/oyoAFA4YklI5NmE0"
"24";"N/A";"yazyki_dlya_tg";"Канал";"https://t.me/yazyki_dlya_tg"
"25";"N/A";"stickers_temy_emodzi";"Канал";"https://t.me/stickers_temy_emodzi"
"26";"N/A";"mamavikoinazvala";"Канал";"https://t.me/mamavikoinazvala"
"27";"N/A";"save_download";"Канал";"https://t.me/save_download"
"28";"N/A";"StarsovEarn";"Канал";"https://t.me/StarsovEarn"
"29";"N/A";"GIFT_PODARKI";"Канал";"https://t.me/GIFT_PODARKI"
"30";"N/A";"lavandeyaz";"Канал";"https://t.me/lavandeyaz"
"31";"N/A";"EQHUIS8ckK8zMjQ6";"Канал";"https://t.me/EQHUIS8ckK8zMjQ6"
"32";"N/A";"sindyrov";"Канал";"https://t.me/sindyrov"
"33";"N/A";"xyKbMOhV4O02NjUy";"Канал";"https://t.me/xyKbMOhV4O02NjUy"
"34";"N/A";"geor0za";"Канал";"https://t.me/geor0za"
"35";"N/A";"knigyuy";"Канал";"https://t.me/knigyuy"
"36";"N/A";"oboi_dlyas";"Канал";"https://t.me/oboi_dlyas"
"37";"N/A";"anonbox_club";"Канал";"https://t.me/anonbox_club"
"38";"N/A";"tghelp_ru";"Канал";"https://t.me/tghelp_ru"
"39";"N/A";"GiftGo";"Канал";"https://t.me/GiftGo"
"40";"N/A";"f3lvixx";"Канал";"https://t.me/f3lvixx"
"41";"N/A";"yazyki_dlya";"Канал";"https://t.me/yazyki_dlya"
"42";"N/A";"stikerk877";"Канал";"https://t.me/stikerk877"
"43";"N/A";"fan_dyrova";"Канал";"https://t.me/fan_dyrova"
"44";"N/A";"temkiavatarkiyaz";"Канал";"https://t.me/temkiavatarkiyaz"
