"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"tachki";"Канал";"https://t.me/tachki"
"2";"N/A";"auto_manya";"Канал";"https://t.me/auto_manya"
"3";"N/A";"wengallbi1_tm";"Канал";"https://t.me/wengallbi1_tm"
"4";"N/A";"dubrovskiy_444";"Канал";"https://t.me/dubrovskiy_444"
"5";"N/A";"auto_instruktor";"Канал";"https://t.me/auto_instruktor"
"6";"N/A";"bomber_fighter";"Канал";"https://t.me/bomber_fighter"
"7";"N/A";"Garage54official";"Канал";"https://t.me/Garage54official"
"8";"N/A";"driverone";"Канал";"https://t.me/driverone"
"9";"N/A";"carsnosleep";"Канал";"https://t.me/carsnosleep"
"10";"N/A";"porshee_auto";"Канал";"https://t.me/porshee_auto"
"11";"N/A";"most_official";"Канал";"https://t.me/most_official"
"12";"N/A";"Eric_Davidich_D3";"Канал";"https://t.me/Eric_Davidich_D3"
"13";"N/A";"proautoruu";"Канал";"https://t.me/proautoruu"
"14";"N/A";"Autogidrf";"Канал";"https://t.me/Autogidrf"
"15";"N/A";"GGWP_NewsChannel";"Канал";"https://t.me/GGWP_NewsChannel"
"16";"N/A";"auto_zakazz25";"Канал";"https://t.me/auto_zakazz25"
"17";"N/A";"imehanik";"Канал";"https://t.me/imehanik"
"18";"N/A";"SWYxZJz-lL7aWSOk";"Канал";"https://t.me/SWYxZJz-lL7aWSOk"
"19";"N/A";"JpXNid6wC5Q5YmEy";"Канал";"https://t.me/JpXNid6wC5Q5YmEy"
"20";"N/A";"AvtoPulse_news";"Канал";"https://t.me/AvtoPulse_news"
"21";"N/A";"eoxaZsgu4mVhNmQy";"Канал";"https://t.me/eoxaZsgu4mVhNmQy"
"22";"N/A";"lisarulitsales";"Канал";"https://t.me/lisarulitsales"
"23";"N/A";"Pontorezka7777";"Канал";"https://t.me/Pontorezka7777"
"24";"N/A";"NIKITOSTEAM";"Канал";"https://t.me/NIKITOSTEAM"
"25";"N/A";"AutoStyleNews";"Канал";"https://t.me/AutoStyleNews"
"26";"N/A";"Avtoiporyadok";"Канал";"https://t.me/Avtoiporyadok"
"27";"N/A";"AAAAAE7B4wbJG-A833kfvw";"Канал";"https://t.me/AAAAAE7B4wbJG-A833kfvw"
"28";"N/A";"q0wEd3hpgBZmZTVi";"Канал";"https://t.me/q0wEd3hpgBZmZTVi"
"29";"N/A";"cars_trends";"Канал";"https://t.me/cars_trends"
"30";"N/A";"moscowauto";"Канал";"https://t.me/moscowauto"
"31";"N/A";"proboknet";"Канал";"https://t.me/proboknet"
"32";"N/A";"auto_inspektor";"Канал";"https://t.me/auto_inspektor"
"33";"N/A";"perekupchino_on";"Канал";"https://t.me/perekupchino_on"
"34";"N/A";"7RZ5x9mhncNiYjVi";"Канал";"https://t.me/7RZ5x9mhncNiYjVi"
"35";"N/A";"evgenavtooo";"Канал";"https://t.me/evgenavtooo"
"36";"N/A";"kchau";"Канал";"https://t.me/kchau"
"37";"N/A";"mtsurent";"Канал";"https://t.me/mtsurent"
"38";"N/A";"volkov815";"Канал";"https://t.me/volkov815"
"39";"N/A";"Glavnayadoroga_tg";"Канал";"https://t.me/Glavnayadoroga_tg"
"40";"N/A";"firstgear_channel";"Канал";"https://t.me/firstgear_channel"
"41";"N/A";"changanrf";"Канал";"https://t.me/changanrf"
"42";"N/A";"lisarulit777";"Канал";"https://t.me/lisarulit777"
"43";"N/A";"forsazh_youtube";"Канал";"https://t.me/forsazh_youtube"
"44";"N/A";"klubniy_servis";"Канал";"https://t.me/klubniy_servis"
"45";"N/A";"tresha_videom_novostim";"Канал";"https://t.me/tresha_videom_novostim"
"46";"N/A";"UiZXcR5bKb4yNTcy";"Канал";"https://t.me/UiZXcR5bKb4yNTcy"
"47";"N/A";"Ib3IJV5KtFoxZmMy";"Канал";"https://t.me/Ib3IJV5KtFoxZmMy"
"48";"N/A";"TGuOfElsQyRmZGVi";"Канал";"https://t.me/TGuOfElsQyRmZGVi"
"49";"N/A";"ildar_auto_podbor";"Канал";"https://t.me/ildar_auto_podbor"
