"№";"Число подписчиков";"Username";"Тип";"Ссылка Telegram"
"1";"N/A";"PobedaAirlines";"Канал";"https://t.me/PobedaAirlines"
"2";"N/A";"aeroflot_official";"Канал";"https://t.me/aeroflot_official"
"3";"N/A";"fpcrussia";"Канал";"https://t.me/fpcrussia"
"4";"N/A";"yandex_travel";"Канал";"https://t.me/yandex_travel"
"5";"N/A";"vandroukiru";"Канал";"https://t.me/vandroukiru"
"6";"N/A";"ozontravel_official";"Канал";"https://t.me/ozontravel_official"
"7";"N/A";"tutu_travel";"Канал";"https://t.me/tutu_travel"
"8";"N/A";"aviasales";"Канал";"https://t.me/aviasales"
"9";"N/A";"pc9yUEhco4Q0OGUy";"Канал";"https://t.me/pc9yUEhco4Q0OGUy"
"10";"N/A";"s7airlines";"Канал";"https://t.me/s7airlines"
"11";"N/A";"The_Travel_book";"Канал";"https://t.me/The_Travel_book"
"12";"N/A";"explore_this_planet";"Канал";"https://t.me/explore_this_planet"
"13";"N/A";"travel_insid";"Канал";"https://t.me/travel_insid"
"14";"N/A";"moscowafishi";"Канал";"https://t.me/moscowafishi"
"15";"N/A";"eur99";"Канал";"https://t.me/eur99"
"16";"N/A";"HalyavshikiTravel";"Канал";"https://t.me/HalyavshikiTravel"
"17";"N/A";"ZM1pj_4MpNc3NmIy";"Канал";"https://t.me/ZM1pj_4MpNc3NmIy"
"18";"N/A";"travelradar";"Канал";"https://t.me/travelradar"
"19";"N/A";"selipoehaliTG";"Канал";"https://t.me/selipoehaliTG"
"20";"N/A";"4lXIfieAmHEyOTE6";"Канал";"https://t.me/4lXIfieAmHEyOTE6"
"21";"N/A";"moskvichca";"Канал";"https://t.me/moskvichca"
"22";"N/A";"trvlclick";"Канал";"https://t.me/trvlclick"
"23";"N/A";"sutochnoru";"Канал";"https://t.me/sutochnoru"
"24";"N/A";"travelmir_tg";"Канал";"https://t.me/travelmir_tg"
"25";"N/A";"Moscow_happy";"Канал";"https://t.me/Moscow_happy"
"26";"N/A";"travel_russia1";"Канал";"https://t.me/travel_russia1"
"27";"N/A";"ushli_s_marshruta";"Канал";"https://t.me/ushli_s_marshruta"
"28";"N/A";"vandroukitours";"Канал";"https://t.me/vandroukitours"
"29";"N/A";"tq5sU692-UpiMGMy";"Канал";"https://t.me/tq5sU692-UpiMGMy"
"30";"N/A";"mikearoundtheworld";"Канал";"https://t.me/mikearoundtheworld"
"31";"N/A";"vSC9Gp9GWeY0Yjk6";"Канал";"https://t.me/vSC9Gp9GWeY0Yjk6"
"32";"N/A";"national_geograph1c";"Канал";"https://t.me/national_geograph1c"
"33";"N/A";"9q7QksvGCa5jZDYy";"Канал";"https://t.me/9q7QksvGCa5jZDYy"
"34";"N/A";"tr_media";"Канал";"https://t.me/tr_media"
"35";"N/A";"h-9il_D4GXk0OWM6";"Канал";"https://t.me/h-9il_D4GXk0OWM6"
"36";"N/A";"piratesru";"Канал";"https://t.me/piratesru"
"37";"N/A";"samokatus";"Канал";"https://t.me/samokatus"
"38";"N/A";"ChemodanoGram";"Канал";"https://t.me/ChemodanoGram"
"39";"N/A";"mscculture";"Канал";"https://t.me/mscculture"
"40";"N/A";"idemmsk";"Канал";"https://t.me/idemmsk"
"41";"N/A";"oJlZPJC-8iA4YmEy";"Канал";"https://t.me/oJlZPJC-8iA4YmEy"
"42";"N/A";"dmitry_lukyanchuk";"Канал";"https://t.me/dmitry_lukyanchuk"
"43";"N/A";"yHACAsBxEXo4OGEy";"Канал";"https://t.me/yHACAsBxEXo4OGEy"
"44";"N/A";"travelata";"Канал";"https://t.me/travelata"
"45";"N/A";"pognaliofficial";"Канал";"https://t.me/pognaliofficial"
"46";"N/A";"0lOFJXRdluplYzMy";"Канал";"https://t.me/0lOFJXRdluplYzMy"
"47";"N/A";"OneTwoTrip";"Канал";"https://t.me/OneTwoTrip"
"48";"N/A";"ranarod";"Канал";"https://t.me/ranarod"
"49";"N/A";"gokzn";"Канал";"https://t.me/gokzn"
"50";"N/A";"natasakado_official";"Канал";"https://t.me/natasakado_official"
"51";"N/A";"sochidar";"Канал";"https://t.me/sochidar"
"52";"N/A";"mostrips";"Канал";"https://t.me/mostrips"
"53";"N/A";"9HAW1K65z_xiMGQy";"Канал";"https://t.me/9HAW1K65z_xiMGQy"
"54";"N/A";"travelnews";"Канал";"https://t.me/travelnews"
"55";"N/A";"1ggAkxAj5shmODli";"Канал";"https://t.me/1ggAkxAj5shmODli"
"56";"N/A";"rutravellers";"Канал";"https://t.me/rutravellers"
"57";"N/A";"sS198umIFwM5YjI6";"Канал";"https://t.me/sS198umIFwM5YjI6"
"58";"N/A";"ifGDRKFR-4RlM2Yy";"Канал";"https://t.me/ifGDRKFR-4RlM2Yy"
"59";"N/A";"nlevshitstelegram";"Канал";"https://t.me/nlevshitstelegram"
"60";"N/A";"travel_from_siberia";"Канал";"https://t.me/travel_from_siberia"
"61";"N/A";"V84D6QSAjL8yNThi";"Канал";"https://t.me/V84D6QSAjL8yNThi"
"62";"N/A";"realbeingamerican";"Канал";"https://t.me/realbeingamerican"
"63";"N/A";"hellocuva";"Канал";"https://t.me/hellocuva"
"64";"N/A";"tmvYeCD7IfxhOWMy";"Канал";"https://t.me/tmvYeCD7IfxhOWMy"
"65";"N/A";"msk_af";"Канал";"https://t.me/msk_af"
"66";"N/A";"2wvcloapcLE3OTIy";"Канал";"https://t.me/2wvcloapcLE3OTIy"
"67";"N/A";"first_tourist1";"Канал";"https://t.me/first_tourist1"
"68";"N/A";"4_Vcs53YnPg2ZDUy";"Канал";"https://t.me/4_Vcs53YnPg2ZDUy"
"69";"N/A";"triptodreamru";"Канал";"https://t.me/triptodreamru"
"70";"N/A";"rXJm3AwwpJxkMDVi";"Канал";"https://t.me/rXJm3AwwpJxkMDVi"
"71";"N/A";"-tJ30t13gqcyOTY6";"Канал";"https://t.me/-tJ30t13gqcyOTY6"
"72";"N/A";"_1bdubf-LpE2N2Zi";"Канал";"https://t.me/_1bdubf-LpE2N2Zi"
"73";"N/A";"mosreview";"Канал";"https://t.me/mosreview"
"74";"N/A";"afishamska";"Канал";"https://t.me/afishamska"
"75";"N/A";"KcP666gNMcJjMzRi";"Канал";"https://t.me/KcP666gNMcJjMzRi"
"76";"N/A";"uralairlines";"Канал";"https://t.me/uralairlines"
"77";"N/A";"pgL734oa3ss1NTMy";"Канал";"https://t.me/pgL734oa3ss1NTMy"
"78";"N/A";"uletet_1";"Канал";"https://t.me/uletet_1"
"79";"N/A";"rusweekend";"Канал";"https://t.me/rusweekend"
"80";"N/A";"wB6NZECiDko3YmYy";"Канал";"https://t.me/wB6NZECiDko3YmYy"
"81";"N/A";"arina_travels";"Канал";"https://t.me/arina_travels"
"82";"N/A";"v_poiskax_chuda";"Канал";"https://t.me/v_poiskax_chuda"
"83";"N/A";"piter_daily";"Канал";"https://t.me/piter_daily"
"84";"N/A";"moscowvtrend";"Канал";"https://t.me/moscowvtrend"
"85";"N/A";"jcw3zKvJVzJjYWI0";"Канал";"https://t.me/jcw3zKvJVzJjYWI0"
"86";"N/A";"N-QDx1S5FKU2MTQ6";"Канал";"https://t.me/N-QDx1S5FKU2MTQ6"
"87";"N/A";"e1_afisha";"Канал";"https://t.me/e1_afisha"
"88";"N/A";"mos_gid";"Канал";"https://t.me/mos_gid"
"89";"N/A";"kudapiter24";"Канал";"https://t.me/kudapiter24"
"90";"N/A";"-3PuWy632HNmMzQy";"Канал";"https://t.me/-3PuWy632HNmMzQy"
"91";"N/A";"RoIJ6qxWY-T9-s62";"Канал";"https://t.me/RoIJ6qxWY-T9-s62"
"92";"N/A";"travel_tema";"Канал";"https://t.me/travel_tema"
"93";"N/A";"moskvatravel";"Канал";"https://t.me/moskvatravel"
"94";"N/A";"turs_sale";"Канал";"https://t.me/turs_sale"
"95";"N/A";"TOlZBHaXYL42OTZi";"Канал";"https://t.me/TOlZBHaXYL42OTZi"
"96";"N/A";"-0FY4usHu1o3ZmEy";"Канал";"https://t.me/-0FY4usHu1o3ZmEy"
"97";"N/A";"green_cord";"Канал";"https://t.me/green_cord"
"98";"N/A";"wrenjapan";"Канал";"https://t.me/wrenjapan"
"99";"N/A";"OQO4INSvR4M2MGIy";"Канал";"https://t.me/OQO4INSvR4M2MGIy"
"100";"N/A";"Utair";"Канал";"https://t.me/Utair"
"101";"N/A";"TsqnsiHQVHQzODcy";"Канал";"https://t.me/TsqnsiHQVHQzODcy"
"102";"N/A";"afishapeterburga";"Канал";"https://t.me/afishapeterburga"
"103";"N/A";"Wf55nzBK7NAwYzU6";"Канал";"https://t.me/Wf55nzBK7NAwYzU6"
"104";"N/A";"moscowinmyheart";"Канал";"https://t.me/moscowinmyheart"
"105";"N/A";"wondermoscow";"Канал";"https://t.me/wondermoscow"
"106";"N/A";"go_vrn";"Канал";"https://t.me/go_vrn"
"107";"N/A";"CoyfyMNcRPBmMThi";"Канал";"https://t.me/CoyfyMNcRPBmMThi"
"108";"N/A";"anex_ru";"Канал";"https://t.me/anex_ru"
"109";"N/A";"dmitrii_visanews";"Канал";"https://t.me/dmitrii_visanews"
"110";"N/A";"berkovskaya_elena";"Канал";"https://t.me/berkovskaya_elena"
"111";"N/A";"EWP0JwVe-mg0Njcy";"Канал";"https://t.me/EWP0JwVe-mg0Njcy"
"112";"N/A";"zFwxDz0YCpYwMjYy";"Канал";"https://t.me/zFwxDz0YCpYwMjYy"
"113";"N/A";"omsk_putevoditel";"Канал";"https://t.me/omsk_putevoditel"
"114";"N/A";"tourdom";"Канал";"https://t.me/tourdom"
"115";"N/A";"anytour";"Канал";"https://t.me/anytour"
"116";"N/A";"pereezd_relocation";"Канал";"https://t.me/pereezd_relocation"
"117";"N/A";"travelgram";"Канал";"https://t.me/travelgram"
"118";"N/A";"moscomtourism";"Канал";"https://t.me/moscomtourism"
"119";"N/A";"compassle";"Канал";"https://t.me/compassle"
"120";"N/A";"mmc_help";"Канал";"https://t.me/mmc_help"
"121";"N/A";"spb_walk";"Канал";"https://t.me/spb_walk"
"122";"N/A";"Bot7AKZ7HIA2MjBi";"Канал";"https://t.me/Bot7AKZ7HIA2MjBi"
"123";"N/A";"ostrovok_travel";"Канал";"https://t.me/ostrovok_travel"
"124";"N/A";"travelbelka";"Канал";"https://t.me/travelbelka"
"125";"N/A";"SvetoforTravel";"Канал";"https://t.me/SvetoforTravel"
"126";"N/A";"emigriceps";"Канал";"https://t.me/emigriceps"
"127";"N/A";"hkt_bkk";"Канал";"https://t.me/hkt_bkk"
"128";"N/A";"crimealove";"Канал";"https://t.me/crimealove"
"129";"N/A";"ciNH0mLUD3BiMDQy";"Канал";"https://t.me/ciNH0mLUD3BiMDQy"
"130";"N/A";"moscowtopafisha";"Канал";"https://t.me/moscowtopafisha"
"131";"N/A";"BabyMosk";"Канал";"https://t.me/BabyMosk"
"132";"N/A";"mycheaptravels";"Канал";"https://t.me/mycheaptravels"
"133";"N/A";"P97aInLtWkdhNGYy";"Канал";"https://t.me/P97aInLtWkdhNGYy"
"134";"N/A";"9-Q6YQ1uPH03NjEy";"Канал";"https://t.me/9-Q6YQ1uPH03NjEy"
"135";"N/A";"nachemodanah";"Канал";"https://t.me/nachemodanah"
"136";"N/A";"kudaspbb";"Канал";"https://t.me/kudaspbb"
"137";"N/A";"freepeterburg";"Канал";"https://t.me/freepeterburg"
"138";"N/A";"giznnamore";"Канал";"https://t.me/giznnamore"
"139";"N/A";"russianroutes";"Канал";"https://t.me/russianroutes"
"140";"N/A";"wheretogonsk";"Канал";"https://t.me/wheretogonsk"
"141";"N/A";"russpass_msk";"Канал";"https://t.me/russpass_msk"
"142";"N/A";"ritmMoscow";"Канал";"https://t.me/ritmMoscow"
"143";"N/A";"checkintime";"Канал";"https://t.me/checkintime"
"144";"N/A";"travelstrelets";"Канал";"https://t.me/travelstrelets"
"145";"N/A";"yEMv63-VPIM3OTE6";"Канал";"https://t.me/yEMv63-VPIM3OTE6"
"146";"N/A";"only_park";"Канал";"https://t.me/only_park"
"147";"N/A";"viewrussia";"Канал";"https://t.me/viewrussia"
"148";"N/A";"pasport_visa_tickets";"Канал";"https://t.me/pasport_visa_tickets"
