№;Количество подписчиков;Username;Тип;Ссылка Telegram
1;4 557;sasha_mikeryna;Чат;https://t.me/sasha_mikeryna
2;23 503;haytq;Чат;https://t.me/haytq
3;13 238;beremennost2025;Чат;https://t.me/beremennost2025
4;6 615;hNv0mbuD5cEyMWQy;Чат;https://t.me/hNv0mbuD5cEyMWQy
5;11 447;detskie_posobiy_chel;Чат;https://t.me/detskie_posobiy_chel
6;5 665;CF6zRS3_tUtjOTQy;Чат;https://t.me/CF6zRS3_tUtjOTQy
7;11 712;primbaraholka;Чат;https://t.me/primbaraholka
8;11 966;posobie_detyam;Чат;https://t.me/posobie_detyam
9;8 946;posobieTymeniobl;Чат;https://t.me/posobieTymeniobl
10;3 458;chat_vsekroham;Чат;https://t.me/chat_vsekroham
11;18 892;roditeli_lnr;Чат;https://t.me/roditeli_lnr
12;3 125;PSGLhF66KvBlMjNi;Чат;https://t.me/PSGLhF66KvBlMjNi
13;9 775;XqQoYhEVtgMyNzJi;Чат;https://t.me/XqQoYhEVtgMyNzJi
14;3 670;_WssInWdk8A5Y2Ri;Чат;https://t.me/_WssInWdk8A5Y2Ri
15;8 666;YmzzJqQ4nlczMjVi;Чат;https://t.me/YmzzJqQ4nlczMjVi
16;5 621;malisch2025;Чат;https://t.me/malisch2025
17;6 775;mama_na_svyazii;Чат;https://t.me/mama_na_svyazii
18;5 945;detskie_posobiy_novosib;Чат;https://t.me/detskie_posobiy_novosib
19;5 426;Krasnodarskiy_krai;Чат;https://t.me/Krasnodarskiy_krai
20;8 243;ecochat;Чат;https://t.me/ecochat
21;6 866;ChatUzni;Чат;https://t.me/ChatUzni
22;21 097;mamapapa_chat;Чат;https://t.me/mamapapa_chat
23;4 706;mamochki_sochi_centr;Чат;https://t.me/mamochki_sochi_centr
24;10 524;caring_mom;Чат;https://t.me/caring_mom
25;4 249;chatroddom;Чат;https://t.me/chatroddom
26;3 274;murinomom;Чат;https://t.me/murinomom
27;2 639;royal_HSUM;Чат;https://t.me/royal_HSUM
28;4 513;detskie70;Чат;https://t.me/detskie70
29;3 129;qKr7p0j9OmU0NWY6;Чат;https://t.me/qKr7p0j9OmU0NWY6
30;4 693;skazkovomam;Чат;https://t.me/skazkovomam
31;2 310;sentyabryata2025;Чат;https://t.me/sentyabryata2025
32;2 455;otmamikmameperm;Чат;https://t.me/otmamikmameperm
33;2 771;posobie33vladimir;Чат;https://t.me/posobie33vladimir
34;3 307;salemomchat;Чат;https://t.me/salemomchat
35;2 725;junata_2025_chat;Чат;https://t.me/junata_2025_chat
36;6 061;n9SzeHXpWkcxMmRi;Чат;https://t.me/n9SzeHXpWkcxMmRi
37;3 723;detskayayarmarkaTINAO;Чат;https://t.me/detskayayarmarkaTINAO
38;2 908;mamochkisurguta;Чат;https://t.me/mamochkisurguta
39;8 097;futureforkidschat;Чат;https://t.me/futureforkidschat
40;12 273;diakids;Чат;https://t.me/diakids
41;3 606;detskie_posobiy_spb;Чат;https://t.me/detskie_posobiy_spb
42;9 189;trybaby_app;Чат;https://t.me/trybaby_app
43;2 304;oktyabryata2025;Чат;https://t.me/oktyabryata2025
44;4 116;znakomstvo_lnr;Чат;https://t.me/znakomstvo_lnr
45;58;valyaumchat;Чат;https://t.me/valyaumchat
46;5 649;opg_mamki;Чат;https://t.me/opg_mamki
47;10 642;temparplus;Чат;https://t.me/temparplus
48;3 464;mamyssi2023;Чат;https://t.me/mamyssi2023
49;3 822;detskie_posobiy_ekb;Чат;https://t.me/detskie_posobiy_ekb
50;2 856;grudnoe_vs;Чат;https://t.me/grudnoe_vs
51;4 600;BrCJEKSB5SwxNWUy;Чат;https://t.me/BrCJEKSB5SwxNWUy
52;5 273;MamSovet1;Чат;https://t.me/MamSovet1
53;2 133;augustyata2025;Чат;https://t.me/augustyata2025
54;4 396;magnitalia_school;Чат;https://t.me/magnitalia_school
55;3 454;mamochki_nekrasovki;Чат;https://t.me/mamochki_nekrasovki
56;6 685;dcpdeti;Чат;https://t.me/dcpdeti
57;5 801;aJ1exxmuy3I5MGVi;Чат;https://t.me/aJ1exxmuy3I5MGVi
58;1 921;ijulyata2025;Чат;https://t.me/ijulyata2025
59;2 855;BabiesINJune_AndMoms;Чат;https://t.me/BabiesINJune_AndMoms
60;4 073;children_dubai;Чат;https://t.me/children_dubai
61;4 298;RhByHFEauNUzNjQy;Чат;https://t.me/RhByHFEauNUzNjQy
62;3 722;SovetRoditeleyRostova;Чат;https://t.me/SovetRoditeleyRostova
63;1 853;promaterinstvo_comments;Чат;https://t.me/promaterinstvo_comments
64;1 721;janvaryata26;Чат;https://t.me/janvaryata26
65;424;beceda_zamov;Чат;https://t.me/beceda_zamov
66;1 624;ryazanmam;Чат;https://t.me/ryazanmam
67;1 624;noyabryata2025;Чат;https://t.me/noyabryata2025
68;7 129;mamy_pitera;Чат;https://t.me/mamy_pitera
69;2 759;detskie_posobia_leningradskay;Чат;https://t.me/detskie_posobia_leningradskay
70;4 154;BZ7uICpyRYwzMGNi;Чат;https://t.me/BZ7uICpyRYwzMGNi
71;2 472;surgut_ugra;Чат;https://t.me/surgut_ugra
72;3 249;DetskayKRK75;Чат;https://t.me/DetskayKRK75
73;1 553;mamochki_essentykov_kmv;Чат;https://t.me/mamochki_essentykov_kmv
74;4 042;starieotcenki;Чат;https://t.me/starieotcenki
75;3 199;mymamy_shelk;Чат;https://t.me/mymamy_shelk
76;2 550;momtobe_chat;Чат;https://t.me/momtobe_chat
77;1 299;martyata26;Чат;https://t.me/martyata26
78;10 673;motherbaby65;Чат;https://t.me/motherbaby65
79;1 367;mamasmariupol;Чат;https://t.me/mamasmariupol
80;2 577;hometeachingink;Чат;https://t.me/hometeachingink
81;3 569;mama_walk;Чат;https://t.me/mama_walk
82;3 873;mommyschat_reserv;Чат;https://t.me/mommyschat_reserv
83;3 899;detskie_posobia_rossia;Чат;https://t.me/detskie_posobia_rossia
84;3 628;endo_ped;Чат;https://t.me/endo_ped
85;3 575;nagaevo_mama;Чат;https://t.me/nagaevo_mama
86;3 916;kidslettersclub;Чат;https://t.me/kidslettersclub
87;1 672;bO2JAKJ07N8yNzEy;Чат;https://t.me/bO2JAKJ07N8yNzEy
88;1 527;fevralyata26;Чат;https://t.me/fevralyata26
89;4 506;oktyabrski_tuimazy_baraholka;Чат;https://t.me/oktyabrski_tuimazy_baraholka
90;6 569;chat_sadovod_001;Чат;https://t.me/chat_sadovod_001
91;381;legko_v_dekrete_chat;Чат;https://t.me/legko_v_dekrete_chat
92;4 687;prognoz_rod;Чат;https://t.me/prognoz_rod
93;2 527;mkrYantarnybalashihadistrict;Чат;https://t.me/mkrYantarnybalashihadistrict
94;1 848;berebennashkimamy;Чат;https://t.me/berebennashkimamy
95;1 319;90E8M6uFQQIyMDRi;Чат;https://t.me/90E8M6uFQQIyMDRi
96;4 978;deti_kp;Чат;https://t.me/deti_kp
97;938;mitravaruni;Чат;https://t.me/mitravaruni
98;2 239;mom_don_chat;Чат;https://t.me/mom_don_chat
99;5 663;rnOpen;Чат;https://t.me/rnOpen
100;7 682;skidosikimamusiki;Чат;https://t.me/skidosikimamusiki
