№;Количество подписчиков;Username;Тип;Ссылка Telegram
1;4 152;vkusvill_comm;Чат;https://t.me/vkusvill_comm
2;27 321;Shef_kraba_Kazan;Чат;https://t.me/Shef_kraba_Kazan
3;25 406;konditer_chat;Чат;https://t.me/konditer_chat
4;18 492;shef_craba_perm;Чат;https://t.me/shef_craba_perm
5;19 297;Shef_kraba_mgn;Чат;https://t.me/Shef_kraba_mgn
6;35 403;fishmarket65;Чат;https://t.me/fishmarket65
7;868;hohloduhota;Чат;https://t.me/hohloduhota
8;5 114;mishkabarchat;Чат;https://t.me/mishkabarchat
9;13 838;shef_kraba_chelny;Чат;https://t.me/shef_kraba_chelny
10;3 304;irksushi38;Чат;https://t.me/irksushi38
11;3 817;id1731118245;Чат;https://t.me/id1731118245
12;16 683;oficianty_barmeny;Чат;https://t.me/oficianty_barmeny
13;28 120;chat_konditer;Чат;https://t.me/chat_konditer
14;7 867;fishome777;Чат;https://t.me/fishome777
15;9 873;shef_craba_Izhevsk;Чат;https://t.me/shef_craba_Izhevsk
16;6 662;freshfood_kemerovo;Чат;https://t.me/freshfood_kemerovo
17;1 327;id1840337903;Чат;https://t.me/id1840337903
18;8 429;biblioteka_konditera;Чат;https://t.me/biblioteka_konditera
19;7 966;rybmagnit;Чат;https://t.me/rybmagnit
20;4 965;zv_kulinariya;Чат;https://t.me/zv_kulinariya
21;10 071;shef_craba_nizniy_novgorod;Чат;https://t.me/shef_craba_nizniy_novgorod
22;15 942;gsd_recept;Чат;https://t.me/gsd_recept
23;8 529;shef_craba_nizhnekamsk;Чат;https://t.me/shef_craba_nizhnekamsk
24;10 916;ovoshhi_frukti_yagodi;Чат;https://t.me/ovoshhi_frukti_yagodi
25;7 771;shef_craba_samara;Чат;https://t.me/shef_craba_samara
26;3 166;fermerisadovod74ru;Чат;https://t.me/fermerisadovod74ru
27;4 463;markirovka_moloko;Чат;https://t.me/markirovka_moloko
28;2 574;unitebroker;Чат;https://t.me/unitebroker
29;10 474;ZjiKRUuG9Wg2ZTAy;Чат;https://t.me/ZjiKRUuG9Wg2ZTAy
30;7 540;konditer_image;Чат;https://t.me/konditer_image
31;1 304;meat_rb21vek;Чат;https://t.me/meat_rb21vek
32;7 845;akademferma;Чат;https://t.me/akademferma
33;1 777;truedrinksfleamarket;Чат;https://t.me/truedrinksfleamarket
34;12 726;UrozhaiUlov;Чат;https://t.me/UrozhaiUlov
35;7 725;shef_kraba_kirov;Чат;https://t.me/shef_kraba_kirov
36;1 254;moscow_restaurants;Чат;https://t.me/moscow_restaurants
37;9 369;resto_business;Чат;https://t.me/resto_business
38;3 549;moroshka124;Чат;https://t.me/moroshka124
39;11 888;the_restorator_chat;Чат;https://t.me/the_restorator_chat
40;3 471;Pandao_panazia;Чат;https://t.me/Pandao_panazia
41;1 833;receptsushilka_chat;Чат;https://t.me/receptsushilka_chat
42;6 602;freshfood_nsk;Чат;https://t.me/freshfood_nsk
43;21 557;chat_konditerov_ru;Чат;https://t.me/chat_konditerov_ru
44;1 194;vse_konditery_chat;Чат;https://t.me/vse_konditery_chat
45;1 660;knifechannel;Чат;https://t.me/knifechannel
46;6 849;eda_kp;Чат;https://t.me/eda_kp
47;3 977;Olga_Araslanova_pro_ketoCHAT;Чат;https://t.me/Olga_Araslanova_pro_ketoCHAT
48;7 214;WEEXMENA;Чат;https://t.me/WEEXMENA
49;7 204;konditeri_vse;Чат;https://t.me/konditeri_vse
50;15 831;hostes_chat;Чат;https://t.me/hostes_chat
51;20 845;klubmalina_irkutsk;Чат;https://t.me/klubmalina_irkutsk
52;2 698;craft_brewery;Чат;https://t.me/craft_brewery
53;8 706;ryba_magadan;Чат;https://t.me/ryba_magadan
54;2 309;InnoMaxcafe;Чат;https://t.me/InnoMaxcafe
55;5 376;jgtqkMGZ8ZA3OWZk;Чат;https://t.me/jgtqkMGZ8ZA3OWZk
56;2 834;all_plov;Чат;https://t.me/all_plov
57;3 711;foodsafety_ru;Чат;https://t.me/foodsafety_ru
58;9 393;shef_craba_Almetyevsk;Чат;https://t.me/shef_craba_Almetyevsk
59;2 421;fruitinfo;Чат;https://t.me/fruitinfo
60;14 456;horecapersonal_chat;Чат;https://t.me/horecapersonal_chat
61;2 395;granatkafe;Чат;https://t.me/granatkafe
62;2 075;3pbz7c4saHU0NGEy;Чат;https://t.me/3pbz7c4saHU0NGEy
63;7 415;ltdQuji_JjM4OTVi;Чат;https://t.me/ltdQuji_JjM4OTVi
64;912;1VwcKEFNs0kzZDBi;Чат;https://t.me/1VwcKEFNs0kzZDBi
65;13 765;oficiant_moskva;Чат;https://t.me/oficiant_moskva
66;287;zavali_edalnik_chat;Чат;https://t.me/zavali_edalnik_chat
67;4 660;barista_south;Чат;https://t.me/barista_south
68;2 015;chesterfieldpeople;Чат;https://t.me/chesterfieldpeople
69;4 516;delovkusamariupol;Чат;https://t.me/delovkusamariupol
70;6 099;myasoforum;Чат;https://t.me/myasoforum
71;422;pro_figurnoe_chat;Чат;https://t.me/pro_figurnoe_chat
72;1 599;Balashikha_Fruktonius;Чат;https://t.me/Balashikha_Fruktonius
73;1 203;dostavka05rus;Чат;https://t.me/dostavka05rus
74;3 320;kleshnichat;Чат;https://t.me/kleshnichat
75;1 886;kofezavr;Чат;https://t.me/kofezavr
76;906;kg40telegramchat;Чат;https://t.me/kg40telegramchat
77;5 403;ferma_chelni;Чат;https://t.me/ferma_chelni
78;1 765;grib_yagoda;Чат;https://t.me/grib_yagoda
79;2 744;Pekar_tandirshikm;Чат;https://t.me/Pekar_tandirshikm
80;3 870;klsfood;Чат;https://t.me/klsfood
81;11 591;chepocemchat;Чат;https://t.me/chepocemchat
82;689;tastyfoodinmiami;Чат;https://t.me/tastyfoodinmiami
83;2 412;want_fish;Чат;https://t.me/want_fish
84;1 867;bogatiykonditer;Чат;https://t.me/bogatiykonditer
85;3 344;IPaWEoMADUlkN2Iy;Чат;https://t.me/IPaWEoMADUlkN2Iy
86;4 377;danang_food;Чат;https://t.me/danang_food
87;1 343;varka01;Чат;https://t.me/varka01
88;5 287;crystalfish_nsk;Чат;https://t.me/crystalfish_nsk
89;2 187;roasting_coffee;Чат;https://t.me/roasting_coffee
90;1 634;domashnyaya_produktsiya03;Чат;https://t.me/domashnyaya_produktsiya03
91;713;OmlSOfU6iG0yYmQy;Чат;https://t.me/OmlSOfU6iG0yYmQy
92;2 105;eda_rs;Чат;https://t.me/eda_rs
93;4 398;samogonb12;Чат;https://t.me/samogonb12
94;602;fishlook_chat;Чат;https://t.me/fishlook_chat
95;4 701;shef_craba_moscow;Чат;https://t.me/shef_craba_moscow
96;1 512;chtopoest_sakh;Чат;https://t.me/chtopoest_sakh
97;1 076;produktasia;Чат;https://t.me/produktasia
98;1 456;7fzuwbY-hDU3ZDE6;Чат;https://t.me/7fzuwbY-hDU3ZDE6
99;1 591;ekb_chatik1;Чат;https://t.me/ekb_chatik1
100;1 208;pinograd_trading;Чат;https://t.me/pinograd_trading
