№;Количество подписчиков;Username;Тип;Ссылка Telegram
1;146 851;growagardenp;Чат;https://t.me/growagardenp
2;153 976;steal_a_brainrottl;Чат;https://t.me/steal_a_brainrottl
3;32 251;_GKpQcF3hTY4MDli;Чат;https://t.me/_GKpQcF3hTY4MDli
4;30 145;Tradehub_SaB;Чат;https://t.me/Tradehub_SaB
5;33 777;StealABrainrotTrade;Чат;https://t.me/StealABrainrotTrade
6;34 238;supercellchat;Чат;https://t.me/supercellchat
7;29 086;nights_in_the_forest_chats;Чат;https://t.me/nights_in_the_forest_chats
8;54 886;irokeclub_chat;Чат;https://t.me/irokeclub_chat
9;15 500;csgo4at;Чат;https://t.me/csgo4at
10;37 786;Steal_a_BrainrotW;Чат;https://t.me/Steal_a_BrainrotW
11;28 572;grow_garden_r;Чат;https://t.me/grow_garden_r
12;71 052;GrowAGardenChatin;Чат;https://t.me/GrowAGardenChatin
13;4 029;BladeBalles;Чат;https://t.me/BladeBalles
14;29 280;BloxFruitsTradin;Чат;https://t.me/BloxFruitsTradin
15;64 520;BloxFruits_Kx;Чат;https://t.me/BloxFruits_Kx
16;16 330;deadp47chatik;Чат;https://t.me/deadp47chatik
17;36 751;Plantss_Vs_Brainrotts;Чат;https://t.me/Plantss_Vs_Brainrotts
18;35 847;Blox_Fruitsk;Чат;https://t.me/Blox_Fruitsk
19;6 975;stalcraft_x_comments;Чат;https://t.me/stalcraft_x_comments
20;39 716;plants_vs_brainrotas;Чат;https://t.me/plants_vs_brainrotas
21;25 928;jenyasha2;Чат;https://t.me/jenyasha2
22;15 550;vyrasti_sadi;Чат;https://t.me/vyrasti_sadi
23;126 610;RobloxFleep;Чат;https://t.me/RobloxFleep
24;52 124;BloxFruits_H;Чат;https://t.me/BloxFruits_H
25;50 604;Garden_a_grow;Чат;https://t.me/Garden_a_grow
26;37 209;brainrot_steal1;Чат;https://t.me/brainrot_steal1
27;37 389;stendoff_chatz;Чат;https://t.me/stendoff_chatz
28;27 374;bloxFruitsV;Чат;https://t.me/bloxFruitsV
29;32 778;BloxFruitsRange;Чат;https://t.me/BloxFruitsRange
30;70 047;standleo_public_chat;Чат;https://t.me/standleo_public_chat
31;117 272;adopt_me;Чат;https://t.me/adopt_me
32;25 022;arzmarket_vice;Чат;https://t.me/arzmarket_vice
33;143 581;httpsvzaimny_podpiska;Чат;https://t.me/httpsvzaimny_podpiska
34;33 340;genshindropchat;Чат;https://t.me/genshindropchat
35;16 285;PydalJoin;Чат;https://t.me/PydalJoin
36;42 275;AdoptMeArena;Чат;https://t.me/AdoptMeArena
37;11 289;klub_romantiki6;Чат;https://t.me/klub_romantiki6
38;11 903;grandmobilechat;Чат;https://t.me/grandmobilechat
