№;Количество подписчиков;Username;Тип;Ссылка Telegram
1;5 685;5pSWSges4UEwOTIy;Чат;https://t.me/5pSWSges4UEwOTIy
2;12 142;biology_kdl;Чат;https://t.me/biology_kdl
3;5 286;pediatricchat;Чат;https://t.me/pediatricchat
4;8 887;oncochat;Чат;https://t.me/oncochat
5;15 573;ekz_dzm_all;Чат;https://t.me/ekz_dzm_all
6;10 898;nyak_bk_vzk;Чат;https://t.me/nyak_bk_vzk
7;30 470;dentist_book;Чат;https://t.me/dentist_book
8;10 638;vrachi_chat;Чат;https://t.me/vrachi_chat
9;5 523;ThyroidCancer1;Чат;https://t.me/ThyroidCancer1
10;3 351;womenhealthdmitrov;Чат;https://t.me/womenhealthdmitrov
11;2 385;Bimmunal9;Чат;https://t.me/Bimmunal9
12;3 104;sputnikv_or_not_to_be;Чат;https://t.me/sputnikv_or_not_to_be
13;2 350;helpnavigator_1;Чат;https://t.me/helpnavigator_1
14;2 728;oncolyachat;Чат;https://t.me/oncolyachat
15;3 643;temida_peresadka;Чат;https://t.me/temida_peresadka
16;14 296;vrachi_nvrsk;Чат;https://t.me/vrachi_nvrsk
17;15 325;pharmorden;Чат;https://t.me/pharmorden
18;13 986;SDwLLZlkBew3ZTIy;Чат;https://t.me/SDwLLZlkBew3ZTIy
19;12 252;C7LuzBjBrV1X6KOI-ij0Pw;Чат;https://t.me/C7LuzBjBrV1X6KOI-ij0Pw
20;15 024;EbSnA-ZZUVA3MjQy;Чат;https://t.me/EbSnA-ZZUVA3MjQy
21;3 896;RtEJaQP3BwCjsapf;Чат;https://t.me/RtEJaQP3BwCjsapf
22;4 211;psy03chat;Чат;https://t.me/psy03chat
23;6 838;lechebnoe_delo;Чат;https://t.me/lechebnoe_delo
24;4 065;CtAl-fJZ13FhMDZi;Чат;https://t.me/CtAl-fJZ13FhMDZi
25;11 848;china_zub;Чат;https://t.me/china_zub
26;15 026;E7EjsEo2Dp_Q7HPdddwMqw;Чат;https://t.me/E7EjsEo2Dp_Q7HPdddwMqw
27;5 764;FMBA31;Чат;https://t.me/FMBA31
28;13 538;dubai_forum_russkei;Чат;https://t.me/dubai_forum_russkei
29;8 242;AGynec;Чат;https://t.me/AGynec
30;7 790;ExoCadl;Чат;https://t.me/ExoCadl
31;2 588;vrach_krdr;Чат;https://t.me/vrach_krdr
32;5 869;krasnogorsk_roddom;Чат;https://t.me/krasnogorsk_roddom
33;7 565;stomdental_khirurgiya;Чат;https://t.me/stomdental_khirurgiya
34;11 557;chat_dubai_bisnes;Чат;https://t.me/chat_dubai_bisnes
35;2 037;wettynosechat;Чат;https://t.me/wettynosechat
36;6 628;covid_vaccine_covid;Чат;https://t.me/covid_vaccine_covid
37;15 353;C7LuzBoVECm_IiZSvHzJTw;Чат;https://t.me/C7LuzBoVECm_IiZSvHzJTw
38;13 797;xgJnsK9A3Ts1MGU6;Чат;https://t.me/xgJnsK9A3Ts1MGU6
39;6 483;x4F7iP8XSvVlYjli;Чат;https://t.me/x4F7iP8XSvVlYjli
40;10 997;C7LuzEo5Sw58crftQf259A;Чат;https://t.me/C7LuzEo5Sw58crftQf259A
41;789;medbirzha;Чат;https://t.me/medbirzha
42;9 174;NsieRU7kncYTm0Erg4dKnQ;Чат;https://t.me/NsieRU7kncYTm0Erg4dKnQ
43;8 962;Diaresurs;Чат;https://t.me/Diaresurs
44;4 560;lekar_lnr;Чат;https://t.me/lekar_lnr
45;6 472;XwHUzmJ-atxlZmUy;Чат;https://t.me/XwHUzmJ-atxlZmUy
46;7 261;24ZxlSLGie0wZjMy;Чат;https://t.me/24ZxlSLGie0wZjMy
47;3 460;epilepsydisorder;Чат;https://t.me/epilepsydisorder
48;5 788;chat_dubai_russia;Чат;https://t.me/chat_dubai_russia
49;16 617;meddiagnostik;Чат;https://t.me/meddiagnostik
50;3 393;bal_roddom;Чат;https://t.me/bal_roddom
51;1 505;med_kamenka;Чат;https://t.me/med_kamenka
52;9 645;C7LuzFckrQBS7gD2N3W-OQ;Чат;https://t.me/C7LuzFckrQBS7gD2N3W-OQ
53;1 013;id1749402516;Чат;https://t.me/id1749402516
54;11 069;sibionics;Чат;https://t.me/sibionics
55;4 824;elonakov_revm;Чат;https://t.me/elonakov_revm
56;10 612;vraciicliniki;Чат;https://t.me/vraciicliniki
57;6 780;vet_i_cats;Чат;https://t.me/vet_i_cats
58;3 036;chatmcf;Чат;https://t.me/chatmcf
59;14 027;QGP5IGJj8ylhODZi;Чат;https://t.me/QGP5IGJj8ylhODZi
60;2 092;hopefortb;Чат;https://t.me/hopefortb
61;6 653;cpkrb;Чат;https://t.me/cpkrb
62;2 882;pochkaspb;Чат;https://t.me/pochkaspb
63;11 485;chatstomatology_dentist;Чат;https://t.me/chatstomatology_dentist
64;2 633;srklub;Чат;https://t.me/srklub
65;5 408;medicinakbr07;Чат;https://t.me/medicinakbr07
66;4 084;VisionTeamClub;Чат;https://t.me/VisionTeamClub
67;7 756;B9iB1U7B2QVzcgXzg7cWOg;Чат;https://t.me/B9iB1U7B2QVzcgXzg7cWOg
68;13 157;vrachirussiamedic;Чат;https://t.me/vrachirussiamedic
69;3 953;mila_insulin_chat;Чат;https://t.me/mila_insulin_chat
70;5 616;C7LuzFLa6YNE9XeJKyMMHw;Чат;https://t.me/C7LuzFLa6YNE9XeJKyMMHw
71;10 611;C7LuzBxDcCQnYLN6A-qAYg;Чат;https://t.me/C7LuzBxDcCQnYLN6A-qAYg
72;1 616;DonorSearchers;Чат;https://t.me/DonorSearchers
73;5 459;medicinaeiska;Чат;https://t.me/medicinaeiska
74;3 296;klindetstvo;Чат;https://t.me/klindetstvo
75;5 854;VrachGalitskaya;Чат;https://t.me/VrachGalitskaya
76;8 394;medradiology;Чат;https://t.me/medradiology
77;28 281;7hiaQOdic4wxMmU6;Чат;https://t.me/7hiaQOdic4wxMmU6
78;4 182;XjJA_cl_G885NzNi;Чат;https://t.me/XjJA_cl_G885NzNi
