№;Количество подписчиков;Username;Тип;Ссылка Telegram
1;19 688;kadyrov_95chat;Чат;https://t.me/kadyrov_95chat
2;21 296;J0dG679LlsEyZjQy;Чат;https://t.me/J0dG679LlsEyZjQy
3;8 432;GGxr9jUCwDsyYzNi;Чат;https://t.me/GGxr9jUCwDsyYzNi
4;2 040;fgEc-wuiDstlYjYy;Чат;https://t.me/fgEc-wuiDstlYjYy
5;18 198;PZr6q2w49GY0MDk6;Чат;https://t.me/PZr6q2w49GY0MDk6
6;6 807;skurchat;Чат;https://t.me/skurchat
7;404;sharansky_chat;Чат;https://t.me/sharansky_chat
8;9 122;kozhemiako_chat;Чат;https://t.me/kozhemiako_chat
9;8 158;BPchat_VO;Чат;https://t.me/BPchat_VO
10;5 337;BPchat_RV;Чат;https://t.me/BPchat_RV
11;3 438;riamelitopol_chat;Чат;https://t.me/riamelitopol_chat
12;5 162;pro_krasnodar;Чат;https://t.me/pro_krasnodar
13;5 401;BPchat_KE;Чат;https://t.me/BPchat_KE
14;2 046;MJIg_tLAkqk0Y2Iy;Чат;https://t.me/MJIg_tLAkqk0Y2Iy
15;7 473;lidia_nevzorova;Чат;https://t.me/lidia_nevzorova
16;7 011;teamnavalny_chat;Чат;https://t.me/teamnavalny_chat
17;1 699;ZhirinovskyDiscuss;Чат;https://t.me/ZhirinovskyDiscuss
18;7 247;krympodslushano;Чат;https://t.me/krympodslushano
19;2 385;tokmak_chat;Чат;https://t.me/tokmak_chat
20;8 130;dobrodelmo_chat;Чат;https://t.me/dobrodelmo_chat
21;3 659;soloviev_chats;Чат;https://t.me/soloviev_chats
22;253;Truha_Chat;Чат;https://t.me/Truha_Chat
23;2 005;USA_singles_group;Чат;https://t.me/USA_singles_group
24;3 723;Chat_Rakushek;Чат;https://t.me/Chat_Rakushek
25;1 901;dCcAyOa-w3tiMmNi;Чат;https://t.me/dCcAyOa-w3tiMmNi
26;391;oprichnikchat;Чат;https://t.me/oprichnikchat
27;1 843;MNENIEChat;Чат;https://t.me/MNENIEChat
28;3 460;coomentomir;Чат;https://t.me/coomentomir
29;2 865;Kvy3mYtlw4Y3MzYy;Чат;https://t.me/Kvy3mYtlw4Y3MzYy
30;2 610;novoaydar_chat;Чат;https://t.me/novoaydar_chat
31;827;lugovoyandrey_chat;Чат;https://t.me/lugovoyandrey_chat
32;1 048;chatkubani;Чат;https://t.me/chatkubani
33;982;lpch_tg;Чат;https://t.me/lpch_tg
34;947;OErohanovaSPChat;Чат;https://t.me/OErohanovaSPChat
35;1 665;OMON27;Чат;https://t.me/OMON27
36;1 909;chatsvoidanashih;Чат;https://t.me/chatsvoidanashih
37;2 741;lohmatiyZ;Чат;https://t.me/lohmatiyZ
38;2 629;zymogirya;Чат;https://t.me/zymogirya
39;1 094;RMV_chat;Чат;https://t.me/RMV_chat
40;1 199;tsarkrest_comments;Чат;https://t.me/tsarkrest_comments
41;1 982;chatbp22;Чат;https://t.me/chatbp22
42;772;id1187256915;Чат;https://t.me/id1187256915
43;594;CJwQekB3wXowYWJi;Чат;https://t.me/CJwQekB3wXowYWJi
44;1 338;normudm;Чат;https://t.me/normudm
45;3 038;ROSSIA_SEGODNYA_SEYCHAS;Чат;https://t.me/ROSSIA_SEGODNYA_SEYCHAS
46;1 814;mitvvg;Чат;https://t.me/mitvvg
47;3 476;zahab2020;Чат;https://t.me/zahab2020
48;2 585;ratsionalnoye_vyzhivaniye;Чат;https://t.me/ratsionalnoye_vyzhivaniye
49;1 565;chat_komileaks;Чат;https://t.me/chat_komileaks
50;1 532;ArhMnenie;Чат;https://t.me/ArhMnenie
51;4 238;RussianOppositionRus;Чат;https://t.me/RussianOppositionRus
52;1 269;policevoice;Чат;https://t.me/policevoice
53;446;MIG_INFO_chat;Чат;https://t.me/MIG_INFO_chat
54;2 754;zaitsev24_chat;Чат;https://t.me/zaitsev24_chat
55;1 351;group_opr;Чат;https://t.me/group_opr
56;10 328;mediapartisanschat;Чат;https://t.me/mediapartisanschat
57;431;zalpA1917;Чат;https://t.me/zalpA1917
58;691;St_Yob_Chat;Чат;https://t.me/St_Yob_Chat
59;5 395;QRBOYKOT;Чат;https://t.me/QRBOYKOT
60;2 312;operlinechat;Чат;https://t.me/operlinechat
61;5 222;migrantychat;Чат;https://t.me/migrantychat
62;681;Lesorubtaxi;Чат;https://t.me/Lesorubtaxi
63;1 165;chatofnomad;Чат;https://t.me/chatofnomad
64;5 873;GPP_Russia;Чат;https://t.me/GPP_Russia
65;1 074;sturmconf;Чат;https://t.me/sturmconf
66;4 302;SHGdoc;Чат;https://t.me/SHGdoc
67;139;id1179335747;Чат;https://t.me/id1179335747
68;1 915;Kartinsky_chat;Чат;https://t.me/Kartinsky_chat
69;2 172;rabkorchat;Чат;https://t.me/rabkorchat
70;3 701;narod_chat;Чат;https://t.me/narod_chat
71;2 172;JqX_iMhbc61hYWZi;Чат;https://t.me/JqX_iMhbc61hYWZi
72;1 820;pochtasizo212;Чат;https://t.me/pochtasizo212
73;2 538;sozvsndsssr;Чат;https://t.me/sozvsndsssr
74;276;is_Goncharov;Чат;https://t.me/is_Goncharov
75;84;id1452829816;Чат;https://t.me/id1452829816
76;764;begunchat;Чат;https://t.me/begunchat
77;1 696;R89KMd106NxsAwkh;Чат;https://t.me/R89KMd106NxsAwkh
78;76;id1285547601;Чат;https://t.me/id1285547601
79;807;ChelFuture_chat;Чат;https://t.me/ChelFuture_chat
80;137;dobroum_chat;Чат;https://t.me/dobroum_chat
81;1 646;little_russian;Чат;https://t.me/little_russian
82;321;TEODxmd_2FIyMzli;Чат;https://t.me/TEODxmd_2FIyMzli
83;637;keep_Russia;Чат;https://t.me/keep_Russia
84;2 818;PriemnayaCHAT;Чат;https://t.me/PriemnayaCHAT
85;818;ProtestVladimir;Чат;https://t.me/ProtestVladimir
